順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","59,390","+4,930","+9.05","3","1,804,335","+188,834","+11.7%","2","－","13.15","－"
"2","→","0","2","9984","ＳＢＧ","東Ｐ","6,200","+610","+10.91","0","480,092","+81,894","+20.6%","2","－","1.92","0.18"
"3","↑1","1","4","6857","アドテスト","東Ｐ","34,290","+1,200","+3.63","3","302,274","+82,645","+37.6%","1","37.5","23.74","－"
"4","↓1","0","3","6976","太陽誘電","東Ｐ","9,795","+369","+3.91","0","261,839","-25,954","-9.0%","0","44.7","3.52","0.92"
"5","↑3","1","8","4062","イビデン","東Ｐ","22,170","+1,695","+8.28","2","198,327","+47,020","+31.1%","1","74.6","10.93","0.16"
"6","↑6","2","12","278A","テラドローン","東Ｇ","19,900","-570","-2.78","0","182,378","+70,384","+62.8%","2","－","46.19","－"
"7","↑4","1","11","593A","ティアフォー","東Ｇ","2,394","-476","-16.59","1","174,013","+60,281","+53.0%","1","－","15.53","－"
"8","↓3","0","5","5803","フジクラ","東Ｐ","5,241","+188","+3.72","3","156,484","-11,815","-7.0%","0","26.6","14.26","0.73"
"9","↓2","0","7","1570","日経レバ","東Ｅ","69,540","+2,560","+3.82","3","152,383","-3,889","-2.5%","0","－","－","－"
"10","↓1","0","9","6981","村田製","東Ｐ","7,605","+414","+5.76","3","144,240","+18,173","+14.4%","2","41.0","5.02","0.92"
"11","↓1","0","10","8035","東エレク","東Ｐ","56,020","+2,700","+5.06","3","143,803","+25,727","+21.8%","1","－","11.96","－"
"12","↓6","0","6","8306","三菱ＵＦＪ","東Ｐ","3,717","-68","-1.80","0","130,061","-35,162","-21.3%","0","15.5","1.84","2.58"
"13","→","0","13","6920","レーザーテク","東Ｐ","35,460","+2,280","+6.87","1","111,347","+10,051","+9.9%","1","35.3","12.88","0.99"
"14","↑13","1","27","5016","ＪＸ金属","東Ｐ","3,676.0","+57.0","+1.58","0","90,110","+49,121","+119.8%","1","23.3","5.11","0.54"
"15","↑10","1","25","6525","コクサイエレ","東Ｐ","8,925","+630","+7.59","1","84,943","+42,267","+99.0%","1","37.5","9.25","0.73"
"16","↑1","2","17","5801","古河電","東Ｐ","3,835","-9","-0.23","0","73,145","+300","+0.4%","2","25.7","6.17","0.57"
"17","↓2","0","15","8316","三井住友ＦＧ","東Ｐ","6,967","-116","-1.64","0","65,304","-18,016","-21.6%","0","15.5","1.64","2.58"
"18","↑2","1","20","6146","ディスコ","東Ｐ","56,850","+2,390","+4.39","3","59,398","-153","-0.3%","0","－","10.62","－"
"19","↓1","0","18","8411","みずほＦＧ","東Ｐ","8,705","-69","-0.79","0","58,339","-8,586","-12.8%","0","15.1","1.83","1.72"
"20","↑6","1","26","7974","任天堂","東Ｐ","8,742","-97","-1.10","0","47,775","+6,523","+15.8%","1","32.5","3.45","1.85"
"21","↓2","0","19","9983","ファストリ","東Ｐ","69,240","+140","+0.20","0","47,587","-15,910","-25.1%","0","42.5","7.79","0.92"
"22","↑9","1","31","6758","ソニーＧ","東Ｐ","3,775","-110","-2.83","0","43,824","+11,970","+37.6%","1","18.2","2.64","0.93"
"23","↑7","1","30","5706","三井金属","東Ｐ","25,690","+55","+0.21","0","35,082","+1,064","+3.1%","1","18.4","3.48","1.09"
"24","↑8","1","32","3436","ＳＵＭＣＯ","東Ｐ","3,322.0","+93.0","+2.88","3","34,633","+3,233","+10.3%","1","－","2.04","－"
"25","↓3","0","22","7011","三菱重","東Ｐ","3,838","+84","+2.24","1","33,633","-13,606","-28.8%","0","33.9","4.07","0.76"
"26","↓10","0","16","6098","リクルート","東Ｐ","16,125","-110","-0.68","1","33,061","-42,657","-56.3%","0","29.6","12.59","0.16"
"27","↑16","1","43","6723","ルネサス","東Ｐ","3,413.0","+111.0","+3.36","1","32,804","+5,355","+19.5%","1","－","2.19","－"
"28","↑17","1","45","9432","ＮＴＴ","東Ｐ","168.9","-3.7","-2.14","0","32,781","+8,069","+32.7%","1","14.0","1.39","3.20"
"29","↑12","2","41","7013","ＩＨＩ","東Ｐ","2,731.0","+106.5","+4.06","1","32,262","+4,534","+16.4%","2","16.8","4.16","0.84"
"30","↓16","0","14","336A","ダイナマップ","東Ｇ","1,444","-53","-3.54","1","31,393","-57,071","-64.5%","0","－","5.40","－"
