順位,順位変動,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,PER,PBR,利回り
"165","","","8830","住友不","東Ｐ","3,859","+12","+0.31","7,367","","","16.0","1.44","1.35"
"166","","","5020","ＥＮＥＯＳ","東Ｐ","1,260.0","+39.0","+3.19","7,333","","","8.1","1.00","2.70"
"167","","","9024","西武ＨＤ","東Ｐ","3,590.0","+188.0","+5.53","7,325","","","33.8","1.60","1.17"
"168","","","4186","東応化","東Ｐ","10,470","-385","-3.55","7,287","","","35.9","5.34","0.76"
"169","","","4188","三菱ケミＧ","東Ｐ","1,207.5","+44.5","+3.83","7,229","","","12.9","0.93","2.65"
"170","","","7832","バンナムＨＤ","東Ｐ","4,007","+91","+2.32","7,224","","","19.8","2.99","－"
"171","","","9022","ＪＲ東海","東Ｐ","3,559.0","+45.0","+1.28","7,211","","","7.6","0.67","0.90"
"172","","","3905","データセク","東Ｇ","2,999","-161","-5.09","7,043","","","11.0","5.16","－"
"173","","","6997","日ケミコン","東Ｐ","5,020","-550","-9.87","7,028","","","33.7","2.76","0.50"
"174","","","9766","コナミＧ","東Ｐ","18,750","+485","+2.66","6,957","","","25.2","4.50","1.19"
"175","","","1802","大林組","東Ｐ","3,405.0","+100.0","+3.03","6,945","","","14.9","1.86","2.76"
"176","","","5332","ＴＯＴＯ","東Ｐ","8,551","-35","-0.41","6,901","","","30.6","2.66","1.40"
"177","","","7550","ゼンショＨＤ","東Ｐ","8,746","+514","+6.24","6,738","","","28.9","5.25","0.91"
"178","","","6134","ＦＵＪＩ","東Ｐ","8,650","-98","-1.12","6,685","","","23.0","3.27","2.20"
"179","","","8729","ソニーＦＧ","東Ｐ","6,737","-148","-2.15","6,659","","","18.6","0.96","3.12"
"180","","","7272","ヤマハ発","東Ｐ","1,274.0","+25.0","+2.00","6,650","","","12.4","1.06","3.92"
"181","","","186A","アストロＨＤ","東Ｇ","7,723","-61","-0.78","6,560","","","38.1","3.43","2.38"
"182","","","8601","大和","東Ｐ","1,713.5","+29.5","+1.75","6,524","","","－","1.35","－"
"183","","","6988","日東電","東Ｐ","3,231.0","+9.0","+0.28","6,435","","","15.3","1.88","1.98"
"184","","","5334","特殊陶","東Ｐ","10,800","-190","-1.73","6,383","","","20.1","2.74","1.94"
"185","","","5831","しずおかＦＧ","東Ｐ","3,341.0","+109.0","+3.37","6,357","","","16.9","1.44","2.93"
"186","","","429A","テクセンド","東Ｐ","4,550","-225","-4.71","6,341","","","19.1","2.59","1.54"
"187","","","589A","ネイス","東Ｇ","1,487","+139","+10.31","6,285","","","13.9","11.93","－"
"188","","","9735","セコム","東Ｐ","6,637","+64","+0.97","6,264","","","25.2","2.02","1.81"
"189","","","6407","ＣＫＤ","東Ｐ","7,480","-10","-0.13","6,245","","","30.7","3.26","1.27"
"190","","","5844","京都ＦＧ","東Ｐ","4,805","+95","+2.02","6,239","","","26.1","1.19","2.19"
"191","","","4543","テルモ","東Ｐ","2,293.5","+35.5","+1.57","6,216","","","20.5","2.14","1.57"
"192","","","4911","資生堂","東Ｐ","2,812.5","+43.5","+1.57","6,193","","","26.8","1.85","2.13"
"193","","","7220","武蔵精密","東Ｐ","3,855","-270","-6.55","6,168","","","38.9","2.07","1.04"
"194","","","9147","ＮＸＨＤ","東Ｐ","5,552","+126","+2.32","6,125","","","22.2","1.61","1.80"
"195","","","7911","ＴＯＰＰＡＮ","東Ｐ","5,425","+112","+2.11","6,080","","","27.7","1.14","1.07"
"196","","","1329","ｉＳ日経","東Ｅ","7,273","-7","-0.10","5,970","","","－","－","－"
