順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","57,550","-1,980","-3.33","0","2,038,437","+234,102","+13.0%","3","－","12.74","－"
"2","→","0","2","9984","ＳＢＧ","東Ｐ","6,552","+335","+5.39","0","700,187","+220,095","+45.8%","3","－","2.03","0.17"
"3","→","0","3","6857","アドテスト","東Ｐ","33,910","-570","-1.65","0","314,608","+12,334","+4.1%","2","37.1","23.48","－"
"4","→","0","4","6976","太陽誘電","東Ｐ","9,069","-755","-7.69","0","232,792","-29,047","-11.1%","0","41.4","3.26","0.99"
"5","↑2","2","7","593A","ティアフォー","東Ｇ","2,316","-93","-3.86","2","175,959","+1,946","+1.1%","2","－","15.02","－"
"6","↓1","0","5","4062","イビデン","東Ｐ","20,745","-1,455","-6.55","0","175,780","-22,547","-11.4%","0","69.8","10.23","0.17"
"7","↑1","1","8","5803","フジクラ","東Ｐ","5,095","-146","-2.79","0","174,513","+18,029","+11.5%","1","25.9","13.86","0.75"
"8","↑1","1","9","1570","日経レバ","東Ｅ","67,550","-2,070","-2.97","0","145,015","-7,368","-4.8%","0","－","－","－"
"9","↑1","1","10","6981","村田製","東Ｐ","7,051","-569","-7.47","0","131,292","-12,948","-9.0%","0","37.8","4.63","0.99"
"10","↑1","1","11","8035","東エレク","東Ｐ","54,320","-1,520","-2.72","0","109,382","-34,421","-23.9%","0","－","11.60","－"
"11","↑3","2","14","5016","ＪＸ金属","東Ｐ","3,740.0","+55.0","+1.49","0","103,859","+13,749","+15.3%","2","23.7","5.20","0.53"
"12","→","0","12","8306","三菱ＵＦＪ","東Ｐ","3,671","-40","-1.08","1","103,546","-26,515","-20.4%","0","15.3","1.82","2.62"
"13","↓7","0","6","278A","テラドローン","東Ｇ","20,310","+210","+1.04","1","94,724","-87,654","-48.1%","0","－","47.15","－"
"14","↓1","0","13","6920","レーザーテク","東Ｐ","35,020","-570","-1.60","0","90,947","-20,400","-18.3%","0","34.9","12.72","1.00"
"15","→","0","15","6525","コクサイエレ","東Ｐ","8,787","-142","-1.59","0","90,692","+5,749","+6.8%","2","36.9","9.11","0.74"
"16","↑16","1","32","7203","トヨタ","東Ｐ","2,975.5","-120.5","-3.89","0","75,162","+44,852","+148.0%","1","10.8","0.94","3.36"
"17","↑1","2","18","6146","ディスコ","東Ｐ","54,090","-3,060","-5.35","0","71,915","+12,517","+21.1%","1","－","10.10","－"
"18","↓2","0","16","5801","古河電","東Ｐ","3,702","-138","-3.59","0","58,257","-14,888","-20.4%","0","24.8","5.96","0.59"
"19","↓2","0","17","8316","三井住友ＦＧ","東Ｐ","6,944","-32","-0.46","1","57,248","-8,056","-12.3%","0","15.5","1.63","2.59"
"20","→","0","20","7974","任天堂","東Ｐ","8,777","+27","+0.31","1","53,962","+6,187","+13.0%","2","32.6","3.47","1.85"
"21","↓2","0","19","8411","みずほＦＧ","東Ｐ","8,642","-68","-0.78","1","50,837","-7,502","-12.9%","0","14.9","1.82","1.74"
"22","→","0","22","6758","ソニーＧ","東Ｐ","3,667","-113","-2.99","0","45,371","+1,547","+3.5%","2","17.7","2.56","0.95"
"23","↑40","1","63","6203","豊和工","東Ｓ","2,183","+271","+14.17","0","39,405","+22,921","+139.0%","1","24.3","1.17","0.92"
"24","↑1","1","25","7011","三菱重","東Ｐ","3,711","-118","-3.08","0","38,224","+4,591","+13.7%","1","32.8","3.93","0.78"
"25","↓4","0","21","9983","ファストリ","東Ｐ","69,140","-20","-0.03","0","36,402","-11,185","-23.5%","0","42.4","7.78","0.93"
"26","↑12","3","38","4063","信越化","東Ｐ","5,720","-98","-1.68","0","33,755","+6,662","+24.6%","1","19.8","2.28","2.03"
"27","↓1","0","26","6098","リクルート","東Ｐ","15,690","-450","-2.79","0","33,007","-54","-0.2%","0","28.8","12.25","0.17"
"28","↑18","2","46","7012","川重","東Ｐ","2,384.5","-103.5","-4.16","0","31,776","+8,705","+37.7%","2","18.1","2.35","1.68"
"29","↓5","0","24","3436","ＳＵＭＣＯ","東Ｐ","3,100.0","-215.0","-6.49","0","31,232","-3,401","-9.8%","0","－","1.91","－"
"30","↑3","1","33","8058","三菱商","東Ｐ","4,933","-57","-1.14","0","31,141","+1,865","+6.4%","1","16.4","1.88","2.53"
"31","↑9","2","40","5802","住友電","東Ｐ","2,081.0","-120.5","-5.47","0","30,913","+4,817","+18.5%","2","19.1","2.29","1.87"
"32","↓5","0","27","6723","ルネサス","東Ｐ","3,247.0","-156.0","-4.58","0","30,003","-2,801","-8.5%","0","－","2.08","－"
"33","↑2","2","35","4004","レゾナック","東Ｐ","15,730","-850","-5.13","0","28,846","+503","+1.8%","2","26.5","3.79","0.41"
"34","→","0","34","8001","伊藤忠","東Ｐ","2,272.0","+7.5","+0.33","0","27,924","-1,076","-3.7%","0","16.7","2.35","1.94"
"35","↑2","1","37","6501","日立","東Ｐ","5,204","-154","-2.87","0","27,821","+208","+0.8%","1","25.7","3.52","－"
"36","↓13","0","23","5706","三井金属","東Ｐ","25,030","-770","-2.98","0","27,655","-7,427","-21.2%","0","17.9","3.39","1.12"
"37","↑22","1","59","6330","東洋エンジ","東Ｐ","2,722","+65","+2.45","0","26,717","+7,192","+36.8%","1","26.6","4.10","0.92"
