順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","50,630","-3,400","-6.29","1","1,406,462","-79,206","-5.3%","0","－","11.21","－"
"2","→","0","2","9984","ＳＢＧ","東Ｐ","5,832","-708","-10.83","0","369,419","-57,139","-13.4%","0","－","1.80","0.19"
"3","→","0","3","6857","アドテスト","東Ｐ","31,240","-480","-1.51","1","229,572","-100,731","-30.5%","0","34.2","21.63","－"
"4","→","0","4","6976","太陽誘電","東Ｐ","8,712","-497","-5.40","0","217,240","-63,362","-22.6%","0","39.8","3.13","1.03"
"5","↑1","1","6","5803","フジクラ","東Ｐ","4,847","-135","-2.71","2","163,398","-21,072","-11.4%","0","24.6","13.19","0.78"
"6","↑4","1","10","4062","イビデン","東Ｐ","19,140","-420","-2.15","1","152,579","-5,204","-3.3%","0","64.4","9.44","0.18"
"7","↓2","0","5","1570","日経レバ","東Ｅ","63,930","-720","-1.11","1","145,460","-44,623","-23.5%","0","－","－","－"
"8","↑1","1","9","6981","村田製","東Ｐ","7,153","-199","-2.71","0","139,419","-22,726","-14.0%","0","38.3","4.70","0.98"
"9","↓2","0","7","8035","東エレク","東Ｐ","51,150","-310","-0.60","1","119,763","-56,545","-32.1%","0","－","10.92","－"
"10","↓2","0","8","8306","三菱ＵＦＪ","東Ｐ","3,716.0","+55.0","+1.50","1","118,213","-52,787","-30.9%","0","15.5","1.84","2.58"
"11","→","0","11","6920","レーザーテク","東Ｐ","34,490","-80","-0.23","1","93,569","-5,638","-5.7%","0","34.3","12.52","1.02"
"12","→","0","12","5801","古河電","東Ｐ","3,873","-108","-2.71","0","82,905","-6,959","-7.7%","0","25.9","6.24","0.57"
"13","↑3","1","16","7974","任天堂","東Ｐ","8,298","+205","+2.53","2","67,436","-4,392","-6.1%","0","30.9","3.28","1.95"
"14","↑5","1","19","6098","リクルート","東Ｐ","16,470","+970","+6.26","1","63,484","+2,733","+4.5%","2","30.2","12.86","0.16"
"15","↓2","0","13","8316","三井住友ＦＧ","東Ｐ","7,021","+110","+1.59","1","61,420","-24,885","-28.8%","0","15.7","1.65","2.56"
"16","↓2","0","14","8411","みずほＦＧ","東Ｐ","8,794","+140","+1.62","1","58,781","-26,519","-31.1%","0","15.2","1.85","1.71"
"17","↑3","1","20","6525","コクサイエレ","東Ｐ","8,028","-134","-1.64","1","58,235","-1,470","-2.5%","0","33.7","8.32","0.81"
"18","↓1","0","17","6146","ディスコ","東Ｐ","51,670","-310","-0.60","1","55,197","-13,192","-19.3%","0","－","9.65","－"
"19","↓1","0","18","7203","トヨタ","東Ｐ","3,030.0","-1.0","-0.03","0","53,811","-13,974","-20.6%","0","11.0","0.96","3.30"
"20","↑1","1","21","5016","ＪＸ金属","東Ｐ","3,623.0","-72.0","-1.95","1","53,203","-3,056","-5.4%","0","23.0","5.04","0.55"
"21","↑4","5","25","8766","東京海上","東Ｐ","8,246","+276","+3.46","3","49,893","+7,458","+17.6%","2","18.8","1.90","2.97"
"22","↑2","1","24","6203","豊和工","東Ｓ","2,344","-500","-17.58","0","48,037","+3,983","+9.0%","1","26.1","1.26","0.85"
"23","↑6","2","29","4004","レゾナック","東Ｐ","13,435","-860","-6.02","1","45,602","+6,324","+16.1%","2","22.7","3.23","0.48"
"24","↑2","2","26","6758","ソニーＧ","東Ｐ","3,785.0","+153.0","+4.21","1","40,135","-2,228","-5.3%","0","18.3","2.64","0.92"
"25","↓10","0","15","9983","ファストリ","東Ｐ","67,200","+720","+1.08","3","38,784","-44,072","-53.2%","0","41.2","7.56","0.95"
"26","↓4","0","22","485A","ＰｏｗｅｒＸ","東Ｇ","2,260","+115","+5.36","2","38,326","-9,055","-19.1%","0","209","40.62","－"
"27","↑29","2","56","6702","富士通","東Ｐ","4,023","+274","+7.31","1","36,984","+13,401","+56.8%","2","22.4","3.42","1.37"
"28","→","0","28","6501","日立","東Ｐ","5,338","+139","+2.67","2","35,621","-3,970","-10.0%","0","26.4","3.61","－"
"29","↑18","1","47","5802","住友電","東Ｐ","2,008.5","-69.0","-3.32","0","33,975","+7,760","+29.6%","1","18.4","2.21","1.94"
"30","→","0","30","6861","キーエンス","東Ｐ","76,430","+430","+0.57","1","33,604","-5,243","-13.5%","0","－","5.22","0.72"
"31","↑3","2","34","8001","伊藤忠","東Ｐ","2,351.5","+57.5","+2.51","2","33,550","-3,671","-9.9%","0","17.3","2.43","1.87"
"32","↑34","1","66","6701","ＮＥＣ","東Ｐ","4,845","+309","+6.81","1","32,648","+13,614","+71.5%","2","－","2.88","0.83"
"33","↓10","0","23","7011","三菱重","東Ｐ","3,747","+42","+1.13","2","30,670","-13,930","-31.2%","0","33.1","3.97","0.77"
"34","↓2","0","32","278A","テラドローン","東Ｇ","20,540","-460","-2.19","0","30,148","-7,699","-20.3%","0","－","47.68","－"
"35","↑1","1","36","9432","ＮＴＴ","東Ｐ","177.5","+1.8","+1.02","1","29,687","-2,693","-8.3%","0","14.7","1.46","3.04"
"36","↓5","0","31","5706","三井金属","東Ｐ","22,825","-415","-1.79","2","27,734","-10,939","-28.3%","0","16.3","3.09","1.23"
"37","↑3","1","40","3436","ＳＵＭＣＯ","東Ｐ","2,844.5","-114.5","-3.87","0","27,716","-2,946","-9.6%","0","－","1.75","－"
"38","↑10","2","48","6723","ルネサス","東Ｐ","3,191.0","-1.0","-0.03","1","25,696","+31","+0.1%","2","－","2.05","－"
"39","↓12","0","27","8058","三菱商","東Ｐ","5,005","0","0.00%","2","24,926","-16,572","-39.9%","0","16.7","1.90","2.50"
"40","↓2","0","38","8031","三井物","東Ｐ","5,165","+105","+2.08","2","24,130","-8,169","-25.3%","0","15.9","1.63","2.71"
"41","↑42","1","83","8136","サンリオ","東Ｐ","1,235.5","+47.0","+3.95","3","23,890","+8,227","+52.5%","1","23.5","9.18","1.30"
"42","↓9","0","33","4063","信越化","東Ｐ","5,741","+3","+0.05","1","23,762","-13,917","-36.9%","0","19.8","2.29","2.02"
"43","↓1","0","42","7013","ＩＨＩ","東Ｐ","2,728.0","+63.0","+2.36","2","23,743","-4,707","-16.5%","0","16.8","4.15","0.84"
"44","↓9","0","35","1605","ＩＮＰＥＸ","東Ｐ","3,973","+43","+1.09","0","19,815","-14,915","-42.9%","0","9.0","0.90","2.82"
"45","↓2","0","43","6752","パナＨＤ","東Ｐ","4,177","-23","-0.55","1","19,631","-8,300","-29.7%","0","21.7","1.80","1.29"
"46","↑28","1","74","1357","日経Ｄインバ","東Ｅ","2,950","+35","+1.20","0","19,110","+2,147","+12.7%","1","－","－","－"
"47","↓1","0","46","6330","東洋エンジ","東Ｐ","2,643","-93","-3.40","0","18,909","-7,314","-27.9%","0","25.8","3.98","0.95"
"48","↑2","4","50","1321","野村日経平均","東Ｅ","65,890","-360","-0.54","1","18,683","-6,593","-26.1%","0","－","－","－"
"49","↓8","0","41","8308","りそなＨＤ","東Ｐ","2,542.5","+20.5","+0.81","1","18,571","-10,844","-36.9%","0","17.2","1.89","1.46"
"50","↑97","1","147","1801","大成建","東Ｐ","12,395","-75","-0.60","2","18,107","+9,758","+116.9%","3","13.4","2.17","3.07"
"51","↓14","0","37","6954","ファナック","東Ｐ","5,775","+40","+0.70","2","17,628","-14,725","-45.5%","0","27.1","2.84","－"
"52","↑2","1","54","7012","川重","東Ｐ","2,358.0","+39.0","+1.68","2","17,596","-6,417","-26.7%","0","17.9","2.33","1.70"
"53","↑9","1","62","7735","スクリン","東Ｐ","12,100","-155","-1.26","1","17,275","-2,618","-13.2%","0","19.9","4.60","1.51"
"54","↓5","0","49","6503","三菱電","東Ｐ","5,137","+110","+2.19","2","16,250","-9,273","-36.3%","0","21.2","2.30","1.17"
"55","↑2","7","57","9434","ＳＢ","東Ｐ","251.0","+4.1","+1.66","1","16,086","-6,350","-28.3%","0","21.8","4.56","3.51"
"56","↓3","0","53","9104","商船三井","東Ｐ","7,118","+72","+1.02","3","15,847","-8,251","-34.2%","0","10.2","0.82","2.88"
"57","↑14","1","71","9501","東電ＨＤ","東Ｐ","540.3","-0.6","-0.11","2","15,459","-2,515","-14.0%","0","－","0.36","－"
"58","↑14","2","72","9101","郵船","東Ｐ","7,327","+65","+0.90","4","15,363","-2,279","-12.9%","0","12.3","0.95","3.28"
"59","NEW","0","","6191","エアトリ","東Ｐ","1,666","+593","+55.27","0","15,122","","","0","16.9","1.96","9.60"
"60","↓21","0","39","5713","住友鉱","東Ｐ","9,557","+73","+0.77","1","15,109","-16,110","-51.6%","0","11.9","1.20","2.17"
"61","↑12","1","73","6871","日本マイクロ","東Ｐ","12,180","-500","-3.94","1","14,714","-2,909","-16.5%","0","20.5","5.17","1.46"
"62","↓1","0","61","7741","ＨＯＹＡ","東Ｐ","22,425","-265","-1.17","1","14,631","-5,473","-27.2%","0","－","7.37","－"
"63","↑12","1","75","7936","アシックス","東Ｐ","4,092","+103","+2.58","2","13,639","-3,209","-19.0%","0","24.2","8.09","1.08"
"64","↑61","1","125","3563","Ｆ＆ＬＣ","東Ｐ","5,111","-60","-1.16","2","13,636","+4,090","+42.8%","1","36.9","9.32","0.39"
"65","↑31","1","96","3110","日東紡","東Ｐ","2,870","+35","+1.23","1","13,579","-115","-0.8%","0","26.1","2.95","0.98"
"66","↑3","3","69","7182","ゆうちょ銀","東Ｐ","3,308.0","+18.0","+0.55","1","13,459","-5,127","-27.6%","0","17.9","1.28","2.81"
"67","↑53","1","120","4588","オンコリス","東Ｇ","6,150","+410","+7.14","1","13,423","+3,566","+36.2%","1","－","55.73","－"
"68","↓13","0","55","8002","丸紅","東Ｐ","5,113","+64","+1.27","2","13,267","-10,428","-44.0%","0","14.3","1.86","2.25"
"69","↓25","0","44","6762","ＴＤＫ","東Ｐ","2,838.5","+30.0","+1.07","1","13,082","-14,658","-52.8%","0","23.9","2.34","1.41"
"70","↑16","2","86","7832","バンナムＨＤ","東Ｐ","5,640","+281","+5.24","2","12,986","-1,597","-11.0%","0","27.8","4.08","－"
"71","↓26","0","45","9433","ＫＤＤＩ","東Ｐ","3,074.0","+43.0","+1.42","3","12,923","-14,816","-53.4%","0","16.0","2.28","2.73"
"72","↓9","0","63","593A","ティアフォー","東Ｇ","2,133","-1","-0.05","1","12,726","-6,815","-34.9%","0","－","13.83","－"
"73","↑18","1","91","4661","ＯＬＣ","東Ｐ","3,117.0","+32.0","+1.04","1","12,662","-1,687","-11.8%","0","44.9","4.53","0.51"
"74","↑54","4","128","9502","中部電","東Ｐ","2,869.5","-122.5","-4.09","0","12,464","+3,086","+32.9%","4","13.5","0.68","2.44"
"75","↑14","2","89","4568","第一三共","東Ｐ","2,833.0","+61.0","+2.20","0","12,258","-2,222","-15.3%","0","20.5","3.03","3.53"
"76","↑1","3","77","6963","ローム","東Ｐ","4,428","-149","-3.26","1","12,094","-4,415","-26.7%","0","58.9","2.21","1.13"
"77","↓26","0","51","2914","ＪＴ","東Ｐ","6,766","+73","+1.09","0","11,903","-12,997","-52.2%","0","18.7","2.73","4.02"
"78","↓19","0","59","8725","ＭＳ＆ＡＤ","東Ｐ","5,201","+110","+2.16","0","11,488","-9,466","-45.2%","0","17.5","1.11","3.27"
"79","↑28","2","107","2802","味の素","東Ｐ","4,898","-76","-1.53","1","11,389","-242","-2.1%","0","37.8","6.02","1.02"
"80","↑23","3","103","1579","日経ブル２","東Ｅ","690.6","-8.7","-1.24","1","11,304","-1,486","-11.6%","0","－","－","－"
"81","↑75","1","156","4307","野村総研","東Ｐ","5,207","+306","+6.24","1","10,637","+2,806","+35.8%","2","24.5","7.80","1.61"
"82","↑86","1","168","3038","神戸物産","東Ｐ","3,195.0","+229.5","+7.74","1","10,617","+3,361","+46.3%","2","24.0","4.05","1.00"
"83","↓2","0","81","5108","ブリヂストン","東Ｐ","3,731","-46","-1.22","0","10,570","-5,196","-33.0%","0","13.5","1.22","3.35"
"84","↑22","4","106","4543","テルモ","東Ｐ","2,281.5","+35.5","+1.58","3","10,168","-1,554","-13.3%","0","17.4","2.03","1.58"
"85","↓15","0","70","7267","ホンダ","東Ｐ","1,676.0","+12.0","+0.72","0","10,149","-8,214","-44.7%","0","16.3","0.53","4.18"
"86","↓26","0","60","6971","京セラ","東Ｐ","3,524.0","-27.0","-0.76","0","10,047","-10,837","-51.9%","0","28.1","1.35","1.59"
"87","↑8","1","95","5401","日本製鉄","東Ｐ","683.5","-2.9","-0.42","1","10,001","-3,793","-27.5%","0","12.3","0.63","3.51"
"88","↓9","0","79","9107","川崎汽","東Ｐ","3,425.0","+28.0","+0.82","0","9,922","-6,002","-37.7%","0","15.0","1.17","3.50"
"89","↓21","0","68","6506","安川電","東Ｐ","4,323","+22","+0.51","1","9,921","-8,838","-47.1%","0","23.9","2.31","1.67"
"90","↑23","1","113","9503","関西電","東Ｐ","3,000.0","+35.5","+1.20","2","9,716","-1,196","-11.0%","0","10.8","0.94","2.67"
"91","↓4","0","87","8750","第一ライフ","東Ｐ","1,907.5","+24.5","+1.30","0","9,456","-5,036","-34.8%","0","13.4","1.50","3.77"
"92","↓4","0","88","1360","日経ベア２","東Ｅ","72.5","+1.0","+1.40","0","9,422","-5,061","-34.9%","0","－","－","－"
"93","↑163","1","256","6787","メイコー","東Ｐ","19,760","+740","+3.89","1","9,298","+5,215","+127.7%","1","19.0","3.93","0.81"
"94","↓14","0","80","8267","イオン","東Ｐ","1,364.5","+32.0","+2.40","1","9,239","-6,561","-41.5%","0","51.7","3.12","1.10"
"95","↑65","1","160","4684","オービック","東Ｐ","5,088","+195","+3.99","1","9,145","+1,583","+20.9%","2","26.6","4.43","1.85"
"96","↓38","0","58","6367","ダイキン","東Ｐ","20,750","-30","-0.14","1","9,109","-12,470","-57.8%","0","20.8","1.93","1.73"
"97","↓30","0","67","4502","武田","東Ｐ","5,728","+62","+1.09","1","8,994","-9,830","-52.2%","0","55.1","1.21","3.56"
"98","↓22","0","76","8591","オリックス","東Ｐ","6,162","+73","+1.20","1","8,953","-7,756","-46.4%","0","12.6","1.42","3.04"
"99","↑77","1","176","9697","カプコン","東Ｐ","4,368","+128","+3.02","2","8,928","+2,270","+34.1%","1","31.5","6.38","1.05"
"100","↓1","0","99","8630","ＳＯＭＰＯ","東Ｐ","6,958","+184","+2.72","4","8,908","-4,553","-33.8%","0","12.6","1.16","2.87"
"101","↑1","2","102","7532","パンパシＨＤ","東Ｐ","733.7","+7.6","+1.05","1","8,853","-3,964","-30.9%","0","20.0","3.14","1.36"
"102","↑83","1","185","6113","アマダ","東Ｐ","2,305.0","-33.5","-1.43","2","8,754","+2,538","+40.8%","3","20.7","1.32","2.78"
"103","↓39","0","64","8053","住友商","東Ｐ","1,810.0","-12.0","-0.66","0","8,734","-10,539","-54.7%","0","13.6","1.81","2.21"
"104","↓20","0","84","6273","ＳＭＣ","東Ｐ","67,720","-440","-0.65","0","8,712","-6,539","-42.9%","0","24.9","1.96","1.48"
"105","↓12","0","93","8309","三井住友トラ","東Ｐ","1,795.5","+28.5","+1.61","1","8,630","-5,231","-37.7%","0","13.0","1.35","2.65"
"106","↑27","1","133","1458","楽天Ｗブル","東Ｅ","76,330","-930","-1.20","1","8,610","-520","-5.7%","0","－","－","－"
"107","↑154","1","261","8303","ＳＢＩ新生銀","東Ｐ","1,626.5","+58.0","+3.70","1","8,165","+4,147","+103.2%","1","－","1.18","－"
"108","↓43","0","65","8015","豊田通商","東Ｐ","7,545","-8","-0.11","0","8,148","-10,936","-57.3%","0","16.5","2.73","1.66"
"109","↑17","1","126","5631","日製鋼","東Ｐ","7,267","+301","+4.32","2","8,143","-1,340","-14.1%","0","28.2","2.50","1.27"
"110","↑64","1","174","4755","楽天グループ","東Ｐ","733.3","+17.0","+2.37","1","8,062","+1,283","+18.9%","1","－","1.75","－"
"111","↑76","2","187","3659","ネクソン","東Ｐ","3,126.0","+56.0","+1.82","1","8,061","+1,863","+30.1%","2","－","2.26","15.20"
"112","↓12","0","100","3382","セブン＆アイ","東Ｐ","2,037.0","+29.0","+1.44","1","8,042","-5,151","-39.0%","0","16.6","1.25","2.95"
"113","↓16","0","97","4578","大塚ＨＤ","東Ｐ","11,205","-130","-1.15","2","8,032","-5,618","-41.2%","0","16.6","1.81","1.78"
"114","↑38","2","152","200A","野村日半導","東Ｅ","4,095","-103","-2.45","1","8,020","-156","-1.9%","0","－","－","－"
"115","↑21","2","136","9843","ニトリＨＤ","東Ｐ","3,270.0","+28.0","+0.86","1","7,931","-1,056","-11.8%","0","20.3","1.83","0.98"
"116","↓64","0","52","6301","コマツ","東Ｐ","7,146","+32","+0.45","1","7,898","-16,739","-67.9%","0","18.2","1.80","2.66"
"117","NEW","0","","3444","菊池製作","東Ｓ","1,149","+134","+13.20","0","7,764","","","0","101","2.46","0.87"
"118","↑112","2","230","4182","菱ガス化","東Ｐ","3,686","-123","-3.23","0","7,699","+2,855","+58.9%","2","13.1","1.08","2.98"
"119","↑82","3","201","1306","野村東証指数","東Ｅ","423.6","+3.9","+0.93","1","7,574","+1,713","+29.2%","3","－","－","－"
"120","↓15","0","105","6361","荏原","東Ｐ","4,265","+18","+0.42","2","7,453","-4,748","-38.9%","0","19.5","3.65","1.55"
"121","↑74","2","195","6227","ＡＩメカ","東Ｓ","5,450","-350","-6.03","1","7,420","+1,439","+24.1%","2","20.7","7.08","0.40"
"122","↓3","0","119","6526","ソシオネクス","東Ｐ","1,865.5","+31.0","+1.69","1","7,292","-2,744","-27.3%","0","32.7","2.55","2.68"
"123","↓29","0","94","8801","三井不","東Ｐ","1,498.5","+7.5","+0.50","0","7,254","-6,562","-47.5%","0","14.2","1.24","2.47"
"124","↓16","0","108","6902","デンソー","東Ｐ","1,916.5","-4.5","-0.23","0","7,206","-4,198","-36.8%","0","12.6","0.94","3.86"
"125","↑46","1","171","8729","ソニーＦＧ","東Ｐ","163.7","+3.1","+1.93","3","7,174","+222","+3.2%","2","47.7","1.25","4.89"
"126","↓41","0","85","4519","中外薬","東Ｐ","6,438","+16","+0.25","2","7,126","-7,996","-52.9%","0","－","5.22","2.05"
"127","↓15","0","112","8604","野村","東Ｐ","1,681.0","+16.5","+0.99","1","7,120","-4,012","-36.0%","0","－","1.28","－"
