順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","77,000","-860","-1.10","0","3,224,111","+110,438","+3.5%","1","－","30.12","－"
"2","↑4","2","6","9984","ＳＢＧ","東Ｐ","6,370","+613","+10.65","3","458,037","+216,037","+89.3%","1","－","2.06","0.17"
"3","→","0","3","6981","村田製","東Ｐ","9,860","+385","+4.06","0","322,479","+44,393","+16.0%","1","61.3","6.60","0.71"
"4","↓2","0","2","6976","太陽誘電","東Ｐ","14,730","+50","+0.34","3","316,610","-80,120","-20.2%","0","102","5.35","0.61"
"5","↓1","0","4","8035","東エレク","東Ｐ","72,940","+1,880","+2.65","0","286,296","+25,449","+9.8%","1","－","16.20","－"
"6","↑2","1","8","1570","日経レバ","東Ｅ","75,850","+1,500","+2.02","0","240,739","+23,617","+10.9%","1","－","－","－"
"7","→","0","7","5803","フジクラ","東Ｐ","5,150","+212","+4.29","3","224,784","-2,316","-1.0%","0","37.2","15.22","0.74"
"8","↓3","0","5","6857","アドテスト","東Ｐ","29,830","+670","+2.30","0","220,886","-39,035","-15.0%","0","46.4","27.14","－"
"9","↑2","4","11","9983","ファストリ","東Ｐ","82,110","-3,060","-3.59","0","203,603","+98,743","+94.2%","1","50.4","9.23","0.78"
"10","↓1","0","9","4062","イビデン","東Ｐ","20,300","+780","+4.00","4","127,904","-28,450","-18.2%","0","97.7","10.31","0.17"
"11","↑3","1","14","8306","三菱ＵＦＪ","東Ｐ","3,461.0","+47.0","+1.38","1","121,322","+31,616","+35.2%","1","14.4","1.75","2.77"
"12","↓2","0","10","6920","レーザーテク","東Ｐ","44,380","+1,360","+3.16","3","108,046","-7,154","-6.2%","0","55.2","17.64","0.74"
"13","↑5","1","18","3436","ＳＵＭＣＯ","東Ｐ","5,244","+700","+15.40","3","98,996","+32,974","+49.9%","1","－","3.22","－"
"14","↓2","0","12","6146","ディスコ","東Ｐ","72,560","+1,050","+1.47","0","97,894","-2,998","-3.0%","0","－","13.42","－"
"15","→","0","15","5016","ＪＸ金属","東Ｐ","3,962","+92","+2.38","0","96,550","+11,096","+13.0%","1","31.1","4.87","0.50"
"16","↓3","0","13","6525","コクサイエレ","東Ｐ","10,840","+30","+0.28","0","85,331","-7,165","-7.7%","0","65.2","11.54","0.43"
"17","→","0","17","7203","トヨタ","東Ｐ","2,823.0","-1.0","-0.04","1","75,499","+4,906","+6.9%","1","11.1","0.84","3.54"
"18","↑12","1","30","5802","住友電","東Ｐ","2,582.0","+181.0","+7.54","3","73,455","+28,431","+63.1%","1","25.2","2.94","1.51"
"19","↑3","1","22","8316","三井住友ＦＧ","東Ｐ","6,814","-2","-0.03","0","70,694","+14,721","+26.3%","1","15.2","1.64","2.64"
"20","↓1","0","19","6098","リクルート","東Ｐ","12,240","-265","-2.12","0","64,974","+1,652","+2.6%","2","27.3","10.74","0.21"
"21","→","0","21","5801","古河電","東Ｐ","3,725.0","+182.0","+5.14","3","63,871","+7,528","+13.4%","1","32.0","6.28","0.59"
"22","↓6","0","16","6723","ルネサス","東Ｐ","4,762","-55","-1.14","0","63,846","-13,150","-17.1%","0","－","3.40","－"
"23","↑1","1","24","8411","みずほＦＧ","東Ｐ","8,307","+93","+1.13","1","61,187","+6,973","+12.9%","1","15.5","1.79","1.81"
"24","↑8","2","32","4063","信越化","東Ｐ","7,320","+310","+4.42","3","60,972","+18,604","+43.9%","1","－","3.03","－"
"25","↑13","1","38","6861","キーエンス","東Ｐ","76,970","+1,370","+1.81","2","58,446","+24,382","+71.6%","1","－","5.38","0.71"
"26","↓1","0","25","6758","ソニーＧ","東Ｐ","3,359.0","-50.0","-1.47","1","57,244","+4,528","+8.6%","1","17.0","2.43","1.04"
"27","↓4","0","23","7735","スクリン","東Ｐ","18,150","+400","+2.25","0","55,758","+1,326","+2.4%","1","31.2","7.05","0.96"
"28","↑9","1","37","6501","日立","東Ｐ","4,700","-58","-1.22","0","54,749","+20,294","+58.9%","1","24.7","3.20","－"
"29","↓9","0","20","7011","三菱重","東Ｐ","3,818","+13","+0.34","2","54,550","-7,122","-11.5%","0","33.8","4.15","0.76"
"30","↑1","3","31","8766","東京海上","東Ｐ","7,609","-261","-3.32","0","52,548","+8,036","+18.1%","1","17.4","1.82","3.22"
"31","↑2","2","33","7974","任天堂","東Ｐ","7,030","-90","-1.26","0","48,552","+9,504","+24.3%","1","26.1","2.74","2.30"
"32","↓6","0","26","5706","三井金属","東Ｐ","36,460","+1,370","+3.90","0","47,674","-2,111","-4.2%","0","27.8","5.06","0.77"
"33","↑56","3","89","6323","ローツェ","東Ｐ","4,655","+69","+1.50","0","43,519","+29,786","+216.9%","2","29.0","5.91","0.43"
"34","↑10","1","44","6954","ファナック","東Ｐ","7,156","+305","+4.45","3","43,314","+12,639","+41.2%","1","36.1","3.58","－"
"35","↓7","0","28","1357","日経Ｄインバ","東Ｅ","2,641","-63","-2.33","1","42,622","-4,012","-8.6%","0","－","－","－"
"36","↓9","0","27","6752","パナＨＤ","東Ｐ","4,480","+25","+0.56","0","42,195","-4,751","-10.1%","0","24.9","2.01","1.21"
"37","↓1","0","36","6762","ＴＤＫ","東Ｐ","3,389.0","+7.0","+0.21","0","41,787","+5,497","+15.1%","1","28.6","2.94","1.18"
"38","↓4","0","34","6506","安川電","東Ｐ","6,972","+156","+2.29","0","41,704","+4,579","+12.3%","1","38.5","3.74","1.03"
"39","↑15","2","54","6526","ソシオネクス","東Ｐ","2,850.0","+186.5","+7.00","4","36,490","+15,421","+73.2%","2","50.0","3.75","1.75"
"40","↑5","2","45","7012","川重","東Ｐ","2,779.5","+33.0","+1.20","2","34,313","+3,999","+13.2%","1","21.1","2.65","1.44"
"41","↑17","3","58","3382","セブン＆アイ","東Ｐ","2,021.5","-7.5","-0.37","0","34,031","+14,514","+74.4%","4","16.8","1.27","2.97"
"42","↑4","1","46","8031","三井物","東Ｐ","4,556","-58","-1.26","0","33,866","+5,302","+18.6%","1","14.0","1.47","3.07"
"43","↑9","2","52","8001","伊藤忠","東Ｐ","1,884.0","-7.5","-0.40","0","33,236","+10,436","+45.8%","1","13.9","2.00","2.34"
"44","↓1","0","43","8058","三菱商","東Ｐ","4,409","-2","-0.05","1","31,035","-314","-1.0%","0","14.7","1.71","2.84"
"45","↓4","0","41","4004","レゾナック","東Ｐ","16,150","+400","+2.54","0","29,332","-2,361","-7.4%","0","37.9","4.12","0.40"
