順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"251","↓26","0","225","5830","いよぎんＨＤ","東Ｐ","3,820","-10","-0.26","0","4,291","+397","+10.2%","2","14.2","1.18","2.09"
"252","↓39","0","213","6370","栗田工","東Ｐ","7,376","-85","-1.14","1","4,286","+14","+0.3%","3","15.5","2.35","1.82"
"253","↑52","1","305","9962","ミスミＧ","東Ｐ","3,449.0","-90.0","-2.54","0","4,240","+1,575","+59.1%","1","20.2","2.35","1.72"
"254","↓75","0","179","9706","日本空港ビル","東Ｐ","5,383","-179","-3.22","0","4,205","-917","-17.9%","0","20.6","2.33","1.76"
"255","↑48","1","303","7701","島津","東Ｐ","3,723","-35","-0.93","0","4,131","+1,429","+52.9%","1","18.2","1.87","1.88"
"256","↓67","0","189","6787","メイコー","東Ｐ","19,050","-260","-1.35","0","4,083","-691","-14.5%","0","18.3","3.79","0.84"
"257","↑65","1","322","6724","エプソン","東Ｐ","3,053.0","+29.0","+0.96","1","4,075","+1,618","+65.9%","1","14.1","1.13","2.62"
"258","↑56","2","314","1662","石油資源","東Ｐ","1,913","+23","+1.22","1","4,070","+1,557","+62.0%","2","7.5","0.83","2.35"
"259","↑194","1","453","7389","あいちＦＧ","東Ｐ","1,994","+44","+2.26","0","4,069","+2,630","+182.8%","1","21.1","1.05","1.50"
"260","↓13","0","247","8593","三菱ＨＣキャ","東Ｐ","1,381.0","+0.5","+0.04","2","4,027","+589","+17.1%","1","12.4","0.99","3.69"
"261","↓41","0","220","8303","ＳＢＩ新生銀","東Ｐ","1,565.0","-11.0","-0.70","0","4,018","-71","-1.7%","0","－","1.13","－"
"262","↑22","1","284","3402","東レ","東Ｐ","1,232.0","+3.0","+0.24","0","4,003","+1,100","+37.9%","1","19.9","0.99","2.11"
"263","↑220","1","483","8952","ジャパンＲＥ","東Ｒ","114,100","-1,200","-1.04","0","3,994","+2,672","+202.1%","1","21.7","1.53","4.49"
"264","↑34","2","298","6302","住友重","東Ｐ","5,510","-101","-1.80","0","3,981","+1,217","+44.0%","2","18.7","0.93","2.63"
"265","↓22","0","243","6869","シスメックス","東Ｐ","1,782.0","+3.0","+0.17","1","3,973","+414","+11.6%","2","29.0","2.21","2.24"
"266","NEW","0","","7777","３ＤＭ","東Ｇ","375","+33","+9.65","0","3,940","","","0","30.2","6.90","－"
"267","↓63","0","204","7550","ゼンショＨＤ","東Ｐ","11,180","-215","-1.89","1","3,876","-601","-13.4%","0","34.0","6.36","0.72"
"268","↑52","1","320","8233","高島屋","東Ｐ","2,099.5","-19.0","-0.90","0","3,875","+1,380","+55.3%","1","16.2","1.35","1.91"
"269","↑74","2","343","2282","日ハム","東Ｐ","6,222","+79","+1.29","2","3,868","+1,676","+76.5%","2","15.0","1.07","2.89"
"270","↓7","0","263","1963","日揮ＨＤ","東Ｐ","2,313.5","-66.0","-2.77","0","3,833","+669","+21.1%","3","12.2","1.32","2.25"
"271","↑107","1","378","7181","かんぽ生命","東Ｐ","1,763.0","+31.5","+1.82","2","3,805","+1,921","+102.0%","1","13.6","0.41","2.84"
"272","↓44","0","228","6448","ブラザー","東Ｐ","4,347","-34","-0.78","0","3,795","-85","-2.2%","0","13.8","1.33","2.30"
"273","↑77","1","350","338A","ゼンムテック","東Ｇ","3,255","+501","+18.19","1","3,776","+1,620","+75.1%","1","29.4","11.63","－"
"274","↑43","1","317","8359","八十二長野","東Ｐ","2,704.0","-15.5","-0.57","0","3,776","+1,273","+50.9%","1","16.8","1.02","2.40"
"275","↓176","0","99","3653","モルフォ","東Ｇ","1,283","-207","-13.89","0","3,770","-6,201","-62.2%","0","－","2.43","－"
"276","↑147","1","423","7867","タカラトミー","東Ｐ","3,644.0","+131.0","+3.73","1","3,764","+2,160","+134.7%","1","17.4","2.87","1.92"
"277","↓32","0","245","4564","オンコセラピ","東Ｇ","23","+1","+4.55","1","3,745","+221","+6.3%","1","－","4.12","－"
"278","↓13","0","265","9005","東急","東Ｐ","1,669.5","+1.5","+0.09","0","3,728","+571","+18.1%","2","10.4","1.00","1.92"
"279","↑79","2","358","3231","野村不ＨＤ","東Ｐ","902.8","-4.7","-0.52","1","3,712","+1,639","+79.1%","2","9.0","0.96","4.87"
"280","↓20","0","260","7729","東京精","東Ｐ","16,280","-580","-3.44","0","3,712","+475","+14.7%","1","21.5","3.48","1.87"
"281","↓52","0","229","7762","シチズン","東Ｐ","2,222","-71","-3.10","0","3,661","-217","-5.6%","0","16.9","1.82","2.39"
