順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","69,100","+2,000","+2.98","1","3,557,821","+147,686","+4.3%","2","－","27.03","－"
"2","↑2","1","4","9984","ＳＢＧ","東Ｐ","6,574","+210","+3.30","1","397,950","+97,975","+32.7%","1","－","2.13","0.17"
"3","↓1","0","2","6976","太陽誘電","東Ｐ","11,855","-45","-0.38","1","345,879","-729","-0.2%","0","82.4","4.31","0.76"
"4","↓1","0","3","6981","村田製","東Ｐ","9,100","+34","+0.38","1","333,623","-5,594","-1.6%","0","56.5","6.09","0.77"
"5","↑1","1","6","8035","東エレク","東Ｐ","71,130","-170","-0.24","1","283,203","+21,487","+8.2%","1","－","15.80","－"
"6","↑4","1","10","6857","アドテスト","東Ｐ","29,775","+955","+3.31","1","260,145","+63,030","+32.0%","1","46.3","27.09","－"
"7","↓2","0","5","1570","日経レバ","東Ｅ","73,770","+1,040","+1.43","1","230,862","-31,026","-11.8%","0","－","－","－"
"8","↑1","1","9","5803","フジクラ","東Ｐ","4,800","-207","-4.13","0","210,049","+2,187","+1.1%","1","34.7","14.18","0.79"
"9","↑2","1","11","8306","三菱ＵＦＪ","東Ｐ","3,600.0","+59.0","+1.67","0","189,510","+37,182","+24.4%","2","15.0","1.82","2.67"
"10","↑2","1","12","4062","イビデン","東Ｐ","17,980","-710","-3.80","1","185,515","+39,713","+27.2%","2","86.6","9.13","0.19"
"11","↓4","0","7","3436","ＳＵＭＣＯ","東Ｐ","5,307","+174","+3.39","1","179,526","-41,106","-18.6%","0","－","3.26","－"
"12","↑7","2","19","6506","安川電","東Ｐ","5,436","-536","-8.98","1","137,886","+72,327","+110.3%","2","30.0","2.91","1.32"
"13","↓5","0","8","6920","レーザーテク","東Ｐ","45,100","+330","+0.74","0","132,850","-78,767","-37.2%","0","56.1","17.93","0.73"
"14","↑3","1","17","6525","コクサイエレ","東Ｐ","10,355","-265","-2.50","0","95,131","+18,205","+23.7%","1","62.3","11.03","0.45"
"15","↓2","0","13","9983","ファストリ","東Ｐ","79,790","-1,440","-1.77","0","91,212","-4,724","-4.9%","0","49.0","8.97","0.80"
"16","↓2","0","14","8316","三井住友ＦＧ","東Ｐ","6,967","+42","+0.61","0","81,930","-8,351","-9.3%","0","15.6","1.68","2.58"
"17","↓2","0","15","5016","ＪＸ金属","東Ｐ","3,897","+61","+1.59","1","79,146","-6,266","-7.3%","0","30.5","4.79","0.51"
"18","↓2","0","16","6146","ディスコ","東Ｐ","71,650","+780","+1.10","1","77,947","-7,459","-8.7%","0","－","13.25","－"
"19","↑1","2","20","8411","みずほＦＧ","東Ｐ","8,480","+63","+0.75","0","74,733","+12,881","+20.8%","2","15.9","1.82","1.77"
