順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","55,760","+1,180","+2.16","1","1,181,079","-336,695","-22.2%","0","－","12.35","－"
"2","→","0","2","9984","ＳＢＧ","東Ｐ","6,165","-187","-2.94","0","357,403","-175,623","-32.9%","0","－","1.91","0.18"
"3","→","0","3","4062","イビデン","東Ｐ","23,430","+1,025","+4.57","0","255,862","-9,849","-3.7%","0","78.9","11.56","0.15"
"4","↑1","1","5","6976","太陽誘電","東Ｐ","9,139","+204","+2.28","1","243,920","-3,238","-1.3%","0","41.7","3.29","0.98"
"5","↓1","0","4","6857","アドテスト","東Ｐ","33,900","+840","+2.54","0","232,738","-26,982","-10.4%","0","37.1","23.47","－"
"6","→","0","6","8035","東エレク","東Ｐ","56,470","+2,550","+4.73","1","170,232","-3,196","-1.8%","0","－","12.06","－"
"7","↑2","2","9","6981","村田製","東Ｐ","8,053","+230","+2.94","1","166,203","+25,904","+18.5%","2","43.2","5.29","0.87"
"8","↑3","1","11","8306","三菱ＵＦＪ","東Ｐ","3,706.0","+133.0","+3.72","1","145,223","+28,797","+24.7%","1","15.4","1.84","2.59"
"9","↑1","1","10","1570","日経レバ","東Ｅ","69,490","+1,520","+2.24","1","132,567","-4,668","-3.4%","0","－","－","－"
"10","↓2","0","8","5803","フジクラ","東Ｐ","5,014","+103","+2.10","1","122,683","-38,968","-24.1%","0","25.5","13.64","0.76"
"11","↓4","0","7","6920","レーザーテク","東Ｐ","40,990","+1,210","+3.04","1","114,814","-47,856","-29.4%","0","40.8","14.88","0.86"
"12","↑3","1","15","8316","三井住友ＦＧ","東Ｐ","6,905","+226","+3.38","1","81,565","+13,673","+20.1%","1","15.4","1.63","2.61"
"13","↑3","1","16","8411","みずほＦＧ","東Ｐ","8,630","+350","+4.23","1","73,889","+7,460","+11.2%","1","14.9","1.81","1.74"
"14","→","0","14","5801","古河電","東Ｐ","3,832","+25","+0.66","1","69,491","-3,280","-4.5%","0","25.7","6.17","0.57"
"15","↑4","1","19","6146","ディスコ","東Ｐ","54,390","+1,070","+2.01","1","52,694","-11,474","-17.9%","0","－","10.16","－"
"16","↑1","1","17","6525","コクサイエレ","東Ｐ","9,365","+276","+3.04","1","51,972","-13,576","-20.7%","0","39.4","9.71","0.69"
"17","↑1","2","18","7011","三菱重","東Ｐ","3,903","-26","-0.66","0","47,850","-16,321","-25.4%","0","34.5","4.14","0.74"
"18","↑28","3","46","3905","データセク","東Ｇ","2,102","+295","+16.33","0","45,279","+19,165","+73.4%","3","9.2","3.20","－"
"19","↓6","0","13","6098","リクルート","東Ｐ","16,340","+340","+2.13","1","42,714","-31,093","-42.1%","0","30.0","12.76","0.16"
