順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","51,000","0","0.00%","0","1,332,437","-136,131","-9.3%","0","－","11.29","－"
"2","↑1","1","3","6857","アドテスト","東Ｐ","32,540","-840","-2.52","0","246,022","+48,026","+24.3%","1","35.6","22.53","－"
"3","↓1","0","2","5803","フジクラ","東Ｐ","5,090","-208","-3.93","0","207,189","-11,425","-5.2%","0","25.9","13.85","0.75"
"4","→","0","4","593A","ティアフォー","東Ｇ","3,040","+501","+19.73","1","186,519","-7,489","-3.9%","0","－","19.72","－"
"5","↑2","1","7","1570","日経レバ","東Ｅ","65,350","-4,050","-5.84","0","185,071","+53,522","+40.7%","1","－","－","－"
"6","↓1","0","5","6976","太陽誘電","東Ｐ","8,858","-425","-4.58","0","183,403","-2,216","-1.2%","0","40.4","3.18","1.02"
"7","↑4","1","11","9984","ＳＢＧ","東Ｐ","4,924","-338","-6.42","0","171,904","+44,095","+34.5%","1","－","1.52","0.22"
"8","↓2","0","6","8035","東エレク","東Ｐ","53,110","-1,870","-3.40","0","163,631","+30,282","+22.7%","2","－","11.34","－"
"9","↓1","0","8","8306","三菱ＵＦＪ","東Ｐ","3,684.0","-16.0","-0.43","0","158,348","+27,642","+21.1%","2","15.4","1.83","2.61"
"10","↑2","1","12","278A","テラドローン","東Ｇ","19,720","+1,950","+10.97","2","149,033","+21,696","+17.0%","1","－","45.78","－"
"11","↓2","0","9","6981","村田製","東Ｐ","6,920","-370","-5.08","0","149,011","+20,907","+16.3%","2","37.3","4.57","1.01"
"12","↓2","0","10","4062","イビデン","東Ｐ","20,205","-340","-1.65","0","128,626","+640","+0.5%","2","68.0","9.97","0.17"
"13","↑15","1","28","6098","リクルート","東Ｐ","16,355","-1,140","-6.52","0","99,684","+61,725","+162.6%","1","30.0","12.77","0.16"
"14","↑5","1","19","8411","みずほＦＧ","東Ｐ","8,669","-28","-0.32","0","86,241","+29,149","+51.1%","4","15.0","1.82","1.73"
"15","↑2","1","17","8316","三井住友ＦＧ","東Ｐ","6,971","-38","-0.54","0","84,521","+23,497","+38.5%","1","15.5","1.64","2.58"
"16","↓2","0","14","7203","トヨタ","東Ｐ","3,133.0","-110.0","-3.39","0","84,131","+9,489","+12.7%","5","11.4","0.99","3.19"
"17","↑4","2","21","7974","任天堂","東Ｐ","8,821","-282","-3.10","0","81,611","+25,438","+45.3%","2","32.8","3.49","1.84"
"18","→","0","18","6146","ディスコ","東Ｐ","55,170","-1,420","-2.51","0","81,428","+22,498","+38.2%","1","－","10.30","－"
"19","↑6","1","25","9983","ファストリ","東Ｐ","70,400","-860","-1.21","1","69,963","+28,663","+69.4%","1","43.2","7.92","0.91"
"20","↓7","0","13","5801","古河電","東Ｐ","3,752","-106","-2.75","1","66,551","-11,221","-14.4%","0","25.1","6.04","0.59"
"21","↓1","0","20","7011","三菱重","東Ｐ","3,724","-132","-3.42","0","65,822","+9,126","+16.1%","1","32.9","3.95","0.78"
"22","↑2","1","24","6758","ソニーＧ","東Ｐ","3,920","-126","-3.11","0","63,170","+20,971","+49.7%","1","19.0","2.74","0.89"
"23","↑7","1","30","6501","日立","東Ｐ","5,335","-206","-3.72","0","61,542","+26,428","+75.3%","2","26.4","3.62","－"
"24","↑28","1","52","6861","キーエンス","東Ｐ","78,020","-4,260","-5.18","0","58,823","+39,876","+210.5%","1","－","5.33","0.70"
"25","↓10","0","15","6920","レーザーテク","東Ｐ","32,350","-730","-2.21","0","58,303","-9,342","-13.8%","0","32.2","11.75","1.09"
