順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","51,800","+800","+1.57","1","1,145,327","-187,110","-14.0%","0","－","11.47","－"
"2","→","0","2","6857","アドテスト","東Ｐ","32,310","-230","-0.71","1","244,279","-1,743","-0.7%","0","35.3","22.37","－"
"3","↑3","1","6","6976","太陽誘電","東Ｐ","8,881","+23","+0.26","1","233,818","+50,415","+27.5%","1","40.5","3.19","1.01"
"4","→","0","4","593A","ティアフォー","東Ｇ","3,625","+585","+19.24","0","227,860","+41,341","+22.2%","1","－","23.51","－"
"5","↓2","0","3","5803","フジクラ","東Ｐ","4,968","-122","-2.40","1","180,073","-27,116","-13.1%","0","25.2","13.52","0.76"
"6","↑3","1","9","8306","三菱ＵＦＪ","東Ｐ","3,767.0","+83.0","+2.25","1","176,304","+17,956","+11.3%","3","15.7","1.87","2.55"
"7","↑5","1","12","4062","イビデン","東Ｐ","19,720","-485","-2.40","0","166,883","+38,257","+29.7%","3","66.4","9.73","0.18"
"8","↓3","0","5","1570","日経レバ","東Ｅ","65,330","-20","-0.03","1","158,492","-26,579","-14.4%","0","－","－","－"
"9","↑16","1","25","6920","レーザーテク","東Ｐ","33,830","+1,480","+4.57","1","155,542","+97,239","+166.8%","1","33.7","12.28","1.04"
"10","↓3","0","7","9984","ＳＢＧ","東Ｐ","5,026","+102","+2.07","1","153,009","-18,895","-11.0%","0","－","1.55","0.22"
"11","↓3","0","8","8035","東エレク","東Ｐ","53,400","+290","+0.55","1","124,657","-38,974","-23.8%","0","－","11.40","－"
"12","↓1","0","11","6981","村田製","東Ｐ","6,895","-25","-0.36","1","102,905","-46,106","-30.9%","0","37.1","4.55","1.02"
"13","↑1","2","14","8411","みずほＦＧ","東Ｐ","8,748","+79","+0.91","1","93,933","+7,692","+8.9%","5","15.1","1.84","1.71"
"14","↑1","2","15","8316","三井住友ＦＧ","東Ｐ","7,109","+138","+1.98","1","93,278","+8,757","+10.4%","2","15.8","1.67","2.53"
"15","↑3","1","18","6146","ディスコ","東Ｐ","54,180","-990","-1.79","1","77,336","-4,092","-5.0%","0","－","10.12","－"
"16","↑3","2","19","9983","ファストリ","東Ｐ","67,860","-2,540","-3.61","0","71,805","+1,842","+2.6%","2","41.6","7.63","0.94"
"17","↓7","0","10","278A","テラドローン","東Ｇ","18,550","-1,170","-5.93","0","62,614","-86,419","-58.0%","0","－","43.06","－"
"18","↑13","1","31","8058","三菱商","東Ｐ","5,059","+199","+4.09","1","56,479","+12,610","+28.7%","3","16.8","1.92","2.47"
"19","↑7","1","26","5016","ＪＸ金属","東Ｐ","3,544.0","-116.0","-3.17","1","53,775","-2,407","-4.3%","0","22.5","4.93","0.56"
"20","→","0","20","5801","古河電","東Ｐ","3,621","-131","-3.49","0","53,368","-13,183","-19.8%","0","24.3","5.83","0.61"
"21","↓5","0","16","7203","トヨタ","東Ｐ","3,134.0","+1.0","+0.03","1","52,608","-31,523","-37.5%","0","11.4","0.99","3.19"
"22","↓9","0","13","6098","リクルート","東Ｐ","16,415","+60","+0.37","1","46,273","-53,411","-53.6%","0","30.1","12.82","0.16"
"23","↑7","1","30","6525","コクサイエレ","東Ｐ","8,324","-3","-0.04","1","45,148","-2,055","-4.4%","0","35.0","8.63","0.78"
"24","↓7","0","17","7974","任天堂","東Ｐ","8,849","+28","+0.32","1","45,033","-36,578","-44.8%","0","32.9","3.50","1.83"
"25","↑20","1","45","5401","日本製鉄","東Ｐ","707.5","+16.0","+2.31","1","43,381","+9,441","+27.8%","1","12.8","0.66","3.39"
"26","↓5","0","21","7011","三菱重","東Ｐ","3,785","+61","+1.64","1","39,591","-26,231","-39.9%","0","33.5","4.01","0.77"
"27","↑12","1","39","8031","三井物","東Ｐ","5,278","+159","+3.11","1","39,159","+2,081","+5.6%","4","16.3","1.66","2.65"
"28","↑7","2","35","8766","東京海上","東Ｐ","7,952","+177","+2.28","1","38,636","-2,918","-7.0%","0","18.1","1.83","3.08"
"29","↓2","0","27","5706","三井金属","東Ｐ","25,595","-745","-2.83","1","37,031","-14,161","-27.7%","0","18.3","3.47","1.09"
"30","↓8","0","22","6758","ソニーＧ","東Ｐ","3,902","-18","-0.46","1","36,631","-26,539","-42.0%","0","18.9","2.73","0.90"
