順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","57,130","-4,710","-7.62","0","3,140,373","+336,180","+12.0%","5","－","12.64","－"
"2","→","0","2","5803","フジクラ","東Ｐ","5,930","-148","-2.44","0","458,064","+78,151","+20.6%","2","30.1","16.13","0.64"
"3","↑3","1","6","9984","ＳＢＧ","東Ｐ","5,817","-69","-1.17","0","307,127","+163,268","+113.5%","1","－","1.80","0.19"
"4","→","0","4","6976","太陽誘電","東Ｐ","9,978","-1,317","-11.66","0","251,169","+88,709","+54.6%","1","44.8","3.53","0.90"
"5","→","0","5","6981","村田製","東Ｐ","7,478","-812","-9.79","0","239,235","+89,689","+60.0%","1","40.3","4.93","0.94"
"6","↓3","0","3","6857","アドテスト","東Ｐ","35,940","-1,840","-4.87","0","222,175","-8,280","-3.6%","0","39.3","24.90","－"
"7","↑2","1","9","8035","東エレク","東Ｐ","56,640","-3,450","-5.74","0","196,939","+62,158","+46.1%","1","－","12.10","－"
"8","↑2","2","10","5801","古河電","東Ｐ","4,376","+78","+1.81","0","189,323","+82,325","+76.9%","2","29.3","7.04","0.50"
"9","↓2","0","7","1570","日経レバ","東Ｅ","72,350","-3,580","-4.71","0","176,613","+38,466","+27.8%","1","－","－","－"
"10","↓2","0","8","4062","イビデン","東Ｐ","20,880","-700","-3.24","0","153,578","+16,343","+11.9%","1","69.9","10.24","0.17"
"11","↑3","1","14","6920","レーザーテク","東Ｐ","37,060","-2,200","-5.60","0","99,771","+24,318","+32.2%","1","36.9","13.46","0.95"
"12","↑1","1","13","8306","三菱ＵＦＪ","東Ｐ","3,661.0","+12.0","+0.33","1","96,788","+5,982","+6.6%","1","15.3","1.82","2.62"
"13","↑2","2","15","5016","ＪＸ金属","東Ｐ","3,827","-173","-4.33","0","82,668","+17,959","+27.8%","2","24.3","5.32","0.52"
"14","↑2","2","16","7011","三菱重","東Ｐ","4,361","+11","+0.25","0","81,670","+18,319","+28.9%","1","38.6","4.62","0.66"
"15","↑5","1","20","6146","ディスコ","東Ｐ","62,300","-3,610","-5.48","0","65,350","+15,853","+32.0%","1","－","11.63","－"
"16","↑15","1","31","5802","住友電","東Ｐ","2,421.0","-52.0","-2.10","0","64,928","+25,004","+62.6%","1","22.2","2.66","1.61"
"17","↑1","1","18","9983","ファストリ","東Ｐ","75,180","-1,640","-2.13","0","64,515","+13,049","+25.4%","1","46.1","8.46","0.85"
"18","↑1","1","19","6525","コクサイエレ","東Ｐ","8,623","-683","-7.34","0","63,792","+13,734","+27.4%","1","36.2","8.94","0.75"
"19","↑4","2","23","5706","三井金属","東Ｐ","30,010","-1,580","-5.00","0","63,439","+17,836","+39.1%","1","21.5","4.07","0.93"
"20","↓8","0","12","7974","任天堂","東Ｐ","8,783","+22","+0.25","1","63,023","-30,943","-32.9%","0","32.7","3.47","1.84"
"21","↓4","0","17","8411","みずほＦＧ","東Ｐ","8,533","+3","+0.04","2","61,020","+3,469","+6.0%","1","14.8","1.80","1.76"
"22","↑4","3","26","6501","日立","東Ｐ","5,505","-66","-1.18","1","51,979","+8,826","+20.5%","1","27.3","3.74","－"
"23","↓1","0","22","8316","三井住友ＦＧ","東Ｐ","6,922","+4","+0.06","1","51,000","+4,393","+9.4%","1","15.4","1.63","2.60"
"24","↓3","0","21","3436","ＳＵＭＣＯ","東Ｐ","3,794","-267","-6.57","0","48,744","+1,791","+3.8%","1","－","2.34","－"
