順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","56,010","-5,870","-9.49","0","2,439,544","-94,605","-3.7%","0","－","21.94","－"
"2","↑9","1","11","6146","ディスコ","東Ｐ","60,890","-8,520","-12.27","0","293,626","+161,740","+122.6%","1","－","11.37","－"
"3","↑2","1","5","6857","アドテスト","東Ｐ","28,945","-1,855","-6.02","0","256,795","+24,839","+10.7%","1","45.0","26.33","－"
"4","→","0","4","8035","東エレク","東Ｐ","62,660","-3,290","-4.99","0","242,586","+4,370","+1.8%","1","－","13.92","－"
"5","↑1","1","6","9984","ＳＢＧ","東Ｐ","5,500","-418","-7.06","0","238,785","+13,747","+6.1%","1","－","1.78","0.20"
"6","↓4","0","2","6976","太陽誘電","東Ｐ","11,415","-740","-6.09","0","218,791","-45,618","-17.3%","0","82.6","4.32","0.79"
"7","↑3","1","10","1570","日経レバ","東Ｅ","66,770","-3,700","-5.25","0","196,502","+57,271","+41.1%","1","－","－","－"
"8","↓5","0","3","6981","村田製","東Ｐ","8,311","-227","-2.66","0","187,705","-59,711","-24.1%","0","51.6","5.56","0.84"
"9","↑3","1","12","4062","イビデン","東Ｐ","17,370","-705","-3.90","0","166,883","+38,006","+29.5%","1","83.7","8.82","0.20"
"10","↓3","0","7","8306","三菱ＵＦＪ","東Ｐ","3,754","+4","+0.11","0","160,788","-55,499","-25.7%","0","15.6","1.90","2.56"
"11","↓2","0","9","5803","フジクラ","東Ｐ","4,593","-134","-2.83","0","129,008","-20,557","-13.7%","0","33.2","13.57","0.83"
"12","↓4","0","8","6920","レーザーテク","東Ｐ","43,170","-1,960","-4.34","0","122,769","-43,213","-26.0%","0","53.7","17.16","0.76"
"13","→","0","13","8411","みずほＦＧ","東Ｐ","8,652","-114","-1.30","0","84,200","-27,580","-24.7%","0","16.2","1.86","1.73"
"14","↑4","1","18","9983","ファストリ","東Ｐ","76,220","-870","-1.13","2","76,057","+8,163","+12.0%","1","46.8","8.57","0.84"
"15","↓1","0","14","8316","三井住友ＦＧ","東Ｐ","7,161","-6","-0.08","0","68,234","-26,430","-27.9%","0","16.0","1.72","2.51"
"16","→","0","16","7203","トヨタ","東Ｐ","2,897.0","-53.0","-1.80","0","66,602","-5,398","-7.5%","0","11.4","0.86","3.45"
"17","↓2","0","15","5016","ＪＸ金属","東Ｐ","3,770","-176","-4.46","0","63,981","-19,024","-22.9%","0","29.6","4.64","0.53"
"18","↑1","1","19","3436","ＳＵＭＣＯ","東Ｐ","3,623","-121","-3.23","0","63,196","+2,829","+4.7%","1","－","2.23","－"
"19","↑2","2","21","7011","三菱重","東Ｐ","3,945","+15","+0.38","0","57,685","-1,078","-1.8%","0","34.9","4.29","0.74"
"20","↑4","1","24","7735","スクリン","東Ｐ","15,850","-800","-4.80","0","55,483","+9,634","+21.0%","1","27.2","6.16","1.10"
"21","NEW","0","","6890","フェローテク","東Ｓ","8,920","-20","-0.22","0","54,029","","","0","－","1.86","2.99"
"22","↓5","0","17","6525","コクサイエレ","東Ｐ","8,563","-545","-5.98","0","51,844","-17,231","-24.9%","0","51.5","9.12","0.55"
"23","↓3","0","20","4063","信越化","東Ｐ","6,702","-268","-3.85","0","51,485","-8,231","-13.8%","0","23.6","2.72","1.73"
"24","↑4","1","28","6098","リクルート","東Ｐ","12,055","-300","-2.43","0","49,596","+8,741","+21.4%","1","26.9","10.58","0.22"
"25","↑1","1","26","6723","ルネサス","東Ｐ","3,928","-271","-6.45","0","46,120","+4,268","+10.2%","1","－","2.80","－"
"26","↑7","1","33","6861","キーエンス","東Ｐ","71,820","-440","-0.61","0","44,277","+8,331","+23.2%","1","－","5.02","0.77"
"27","↑7","2","34","8766","東京海上","東Ｐ","8,116","+158","+1.99","1","38,356","+2,776","+7.8%","1","18.6","1.94","3.02"
"28","↑4","1","32","5801","古河電","東Ｐ","3,388.0","-125.0","-3.56","0","36,506","-288","-0.8%","0","29.1","5.72","0.65"
"29","↑15","2","44","5401","日本製鉄","東Ｐ","616.9","+9.1","+1.50","2","35,712","+9,413","+35.8%","3","14.7","0.58","3.89"
"30","→","0","30","8058","三菱商","東Ｐ","4,918","+2","+0.04","0","35,573","-3,216","-8.3%","0","16.4","1.91","2.54"
"31","↑4","2","35","7013","ＩＨＩ","東Ｐ","2,878.5","-10.5","-0.36","0","35,534","+538","+1.5%","3","18.5","4.68","0.80"
"32","↓3","0","29","6758","ソニーＧ","東Ｐ","3,409.0","-36.0","-1.04","0","34,989","-5,174","-12.9%","0","17.3","2.46","1.03"
