順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","↑2","1","3","8035","東エレク","東Ｐ","55,420","+3,180","+6.09","3","760,062","+460,650","+153.9%","1","－","11.89","－"
"2","→","0","2","6857","アドテスト","東Ｐ","32,280","+4,345","+15.55","3","562,588","+124,984","+28.6%","4","35.4","22.41","－"
"3","↑5","1","8","5803","フジクラ","東Ｐ","4,168","+448","+12.04","2","299,381","+125,678","+72.4%","1","30.1","12.31","0.91"
"4","↑2","1","6","9984","ＳＢＧ","東Ｐ","5,266","+644","+13.93","2","274,018","+33,545","+13.9%","1","－","1.70","0.21"
"5","↑2","1","7","1570","日経レバ","東Ｅ","65,840","+4,670","+7.63","3","260,666","+34,793","+15.4%","1","－","－","－"
"6","↑6","2","12","6920","レーザーテク","東Ｐ","38,140","+4,520","+13.44","3","239,645","+137,794","+135.3%","1","47.5","15.16","0.86"
"7","↑4","2","11","6146","ディスコ","東Ｐ","58,930","+7,060","+13.61","3","235,995","+115,919","+96.5%","1","－","11.00","－"
"8","↑1","2","9","8306","三菱ＵＦＪ","東Ｐ","3,588.0","+63.0","+1.79","1","157,541","+21,542","+15.8%","1","15.0","1.81","2.68"
"9","↑12","1","21","5016","ＪＸ金属","東Ｐ","3,823.0","+483.0","+14.46","3","137,473","+63,746","+86.5%","1","30.0","4.70","0.52"
"10","↑18","3","28","5802","住友電","東Ｐ","2,190.0","+80.5","+3.82","3","132,056","+86,780","+191.7%","1","20.1","2.41","1.78"
"11","↑11","1","22","6758","ソニーＧ","東Ｐ","3,805","-4","-0.11","1","126,395","+57,605","+83.7%","1","18.5","2.67","0.92"
"12","↑2","1","14","7974","任天堂","東Ｐ","7,680","-465","-5.71","0","122,618","+30,871","+33.6%","1","28.6","3.00","2.11"
"13","↑17","1","30","5801","古河電","東Ｐ","3,129.0","+351.5","+12.66","2","118,437","+74,039","+166.8%","1","26.8","5.28","0.70"
"14","↑11","1","25","7735","スクリン","東Ｐ","12,610","+630","+5.26","2","99,992","+32,886","+49.0%","1","20.7","4.80","1.45"
"15","↑5","1","20","8411","みずほＦＧ","東Ｐ","8,222","+404","+5.17","1","96,613","+20,752","+27.4%","1","14.3","1.74","1.82"
"16","→","0","16","9983","ファストリ","東Ｐ","77,700","-800","-1.02","1","93,949","+10,319","+12.3%","1","47.7","8.74","0.82"
"17","↑12","1","29","4063","信越化","東Ｐ","5,841","+85","+1.48","4","89,854","+44,624","+98.7%","1","20.2","2.33","1.99"
"18","→","0","18","8316","三井住友ＦＧ","東Ｐ","6,856","+190","+2.85","1","87,032","+5,708","+7.0%","1","15.3","1.62","2.63"
"19","↑5","1","24","6861","キーエンス","東Ｐ","81,410","+2,440","+3.09","1","86,184","+18,504","+27.3%","1","－","5.56","0.68"
"20","↓7","0","13","6501","日立","東Ｐ","5,285","+30","+0.57","0","84,157","-16,691","-16.6%","0","26.3","3.59","－"
"21","↓6","0","15","7203","トヨタ","東Ｐ","3,067.0","-59.0","-1.89","1","82,176","-8,264","-9.1%","0","12.1","0.91","3.26"
"22","↑21","3","43","2914","ＪＴ","東Ｐ","7,060","+395","+5.93","1","76,922","+45,661","+146.1%","1","19.5","2.85","3.85"
"23","↑9","1","32","7011","三菱重","東Ｐ","3,777","+41","+1.10","3","75,056","+32,949","+78.3%","1","33.4","4.11","0.77"
"24","↑3","1","27","6723","ルネサス","東Ｐ","3,448.0","+252.0","+7.88","3","71,904","+24,732","+52.4%","1","－","2.20","－"
"25","↑8","2","33","5706","三井金属","東Ｐ","31,090","+3,995","+14.74","3","61,086","+20,321","+49.8%","5","23.7","4.32","0.90"
"26","↑29","1","55","4661","ＯＬＣ","東Ｐ","3,154.0","+234.0","+8.01","1","58,310","+33,686","+136.8%","1","45.4","4.58","0.51"
"27","↑4","3","31","6954","ファナック","東Ｐ","7,070","+446","+6.73","3","55,078","+11,945","+27.7%","1","33.3","3.49","－"
"28","↑22","1","50","4004","レゾナック","東Ｐ","13,725","+1,600","+13.20","1","54,450","+26,882","+97.5%","1","33.3","3.62","0.47"
