順位,順位変動,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,PER,PBR,利回り
"83","↓23","60","1360","日経ベア２","東Ｅ","65.7","+2.5","+3.96","20,266","-2,528","-11.1%","－","－","－"
"84","NEW","","9101","郵船","東Ｐ","5,253","-117","-2.18","19,954","","","10.9","0.69","3.81"
"85","↑31","116","9434","ＳＢ","東Ｐ","211.6","+1.2","+0.57","19,773","+9,001","+83.6%","18.4","3.84","4.16"
"86","↓20","66","8473","ＳＢＩ","東Ｐ","2,738.0","-15.0","-0.54","19,725","-1,259","-6.0%","－","0.99","－"
"87","↑3","90","9104","商船三井","東Ｐ","5,322","-57","-1.06","19,590","+6,534","+50.0%","10.8","0.64","3.85"
"88","↑27","115","4578","大塚ＨＤ","東Ｐ","11,515","-165","-1.41","18,992","+8,194","+75.9%","22.8","1.95","1.22"
"89","↓19","70","4502","武田","東Ｐ","5,448","-69","-1.25","18,990","-1,207","-6.0%","51.9","1.16","3.74"
"90","NEW","","1615","野村東証銀行","東Ｅ","752.1","+8.1","+1.09","18,781","","","－","－","－"
"91","↑9","100","4519","中外薬","東Ｐ","7,620","+79","+1.05","18,651","+6,818","+57.6%","－","6.57","1.73"
"92","↑41","133","6178","日本郵政","東Ｐ","2,355.5","+29.5","+1.27","18,254","+8,772","+92.5%","16.9","0.66","2.55"
"93","↑78","171","9022","ＪＲ東海","東Ｐ","3,700.0","+141.0","+3.96","18,207","+10,996","+152.5%","7.9","0.69","0.86"
"94","↓30","64","6361","荏原","東Ｐ","5,923","-300","-4.82","17,661","-4,077","-18.8%","27.2","5.21","1.11"
"95","↑23","118","8802","菱地所","東Ｐ","4,358","+105","+2.47","17,586","+7,027","+66.5%","22.3","1.95","1.12"
"96","↓1","95","6902","デンソー","東Ｐ","1,985.0","-7.0","-0.35","17,545","+5,117","+41.2%","13.0","0.91","3.73"
"97","↑40","137","9502","中部電","東Ｐ","3,234.0","+34.0","+1.06","17,439","+8,377","+92.4%","－","0.78","2.16"
"98","↑14","112","4901","富士フイルム","東Ｐ","3,646.0","+24.0","+0.66","17,387","+6,449","+59.0%","15.6","1.14","2.06"
"99","↓13","86","8750","第一ライフ","東Ｐ","1,859.5","-16.0","-0.85","17,221","+3,456","+25.1%","13.1","1.57","3.87"
"100","↓19","81","7936","アシックス","東Ｐ","4,679","-45","-0.95","16,986","+1,995","+13.3%","30.2","10.49","0.81"
"101","↓10","91","7751","キヤノン","東Ｐ","4,316","-22","-0.51","16,700","+3,870","+30.2%","11.0","1.07","3.71"
"102","↑44","146","8015","豊田通商","東Ｐ","6,276","-10","-0.16","16,452","+7,998","+94.6%","14.7","1.86","1.99"
"103","↓19","84","6787","メイコー","東Ｐ","26,570","-1,050","-3.80","16,392","+2,129","+14.9%","25.6","5.28","0.60"
"104","↓5","99","3382","セブン＆アイ","東Ｐ","2,057.0","-26.0","-1.25","15,951","+4,102","+34.6%","17.6","1.31","2.92"
"105","↑8","113","4661","ＯＬＣ","東Ｐ","2,584.5","+23.0","+0.90","15,738","+4,843","+44.5%","37.2","3.85","0.62"
"106","↓34","72","5344","ＭＡＲＵＷＡ","東Ｐ","59,580","-8,700","-12.74","15,485","-3,573","-18.7%","－","4.99","0.18"
"107","↓24","83","5401","日本製鉄","東Ｐ","560.3","+1.3","+0.23","15,371","+1,097","+7.7%","13.3","0.53","4.28"
"108","↓20","88","5108","ブリヂストン","東Ｐ","3,638.0","+32.0","+0.89","15,197","+1,956","+14.8%","13.3","1.23","3.44"
"109","↑18","127","4503","アステラス","東Ｐ","2,174.5","-33.5","-1.52","14,976","+5,057","+51.0%","13.0","2.13","3.68"
"110","↑24","134","8795","Ｔ＆Ｄ","東Ｐ","4,953","-100","-1.98","14,824","+5,386","+57.1%","17.6","1.47","3.31"
"111","↑17","128","8801","三井不","東Ｐ","1,571.5","+16.0","+1.03","14,816","+4,953","+50.2%","14.8","1.29","2.35"
"112","↑23","135","1605","ＩＮＰＥＸ","東Ｐ","3,281.0","-28.0","-0.85","14,349","+5,088","+54.9%","9.5","0.78","3.29"
"113","↓34","79","8267","イオン","東Ｐ","1,462.0","+7.0","+0.48","14,207","-1,167","-7.6%","55.4","3.32","1.03"
"114","↑25","139","4755","楽天グループ","東Ｐ","792.1","+15.5","+2.00","14,120","+5,148","+57.4%","－","1.92","－"
"115","NEW","","5838","楽天銀","東Ｐ","5,646","+221","+4.07","13,980","","","12.1","2.65","－"
"116","↓12","104","9501","東電ＨＤ","東Ｐ","462.3","-6.5","-1.39","13,295","+1,953","+17.2%","－","0.31","－"
"117","↓63","54","6590","芝浦","東Ｐ","5,630","-210","-3.60","13,227","-10,458","-44.2%","31.1","6.65","1.14"
"118","↓11","107","5333","ＮＧＫ","東Ｐ","7,125","-266","-3.60","13,184","+2,091","+18.8%","24.4","2.48","1.49"
"119","↑41","160","1306","野村東証指数","東Ｅ","431.8","-3.6","-0.83","13,079","+5,347","+69.2%","－","－","－"
"120","↓19","101","1812","鹿島","東Ｐ","6,089","-138","-2.22","13,058","+1,246","+10.5%","16.5","1.98","2.40"
"121","↑58","179","8729","ソニーＦＧ","東Ｐ","150.5","+1.5","+1.01","12,914","+6,255","+93.9%","－","1.61","5.32"
"122","NEW","","584A","ＬｉＮＫＸ","東Ｇ","3,725","+700","+23.14","12,752","","","110","16.59","－"
"123","↑3","126","6315","ＴＯＷＡ","東Ｐ","3,105","-215","-6.48","12,524","+2,525","+25.3%","33.3","3.30","0.77"
"124","↑27","151","3563","Ｆ＆ＬＣ","東Ｐ","4,779","+163","+3.53","12,306","+4,080","+49.6%","36.2","9.47","0.42"
"125","NEW","","6532","ベイカレント","東Ｐ","6,900","+86","+1.26","12,171","","","21.2","8.71","1.88"
"126","↑10","136","1925","大和ハウス","東Ｐ","4,576","+13","+0.28","11,967","+2,869","+31.5%","12.5","0.98","3.85"
"127","↑35","162","7532","パンパシＨＤ","東Ｐ","866.7","+14.0","+1.64","11,951","+4,500","+60.4%","24.4","3.82","0.98"
"128","↑1","129","7014","名村造","東Ｓ","4,200","+20","+0.48","11,793","+1,953","+19.8%","13.3","2.14","1.43"
"129","↑41","170","7832","バンナムＨＤ","東Ｐ","4,078","+71","+1.77","11,523","+4,299","+59.5%","20.1","3.04","－"
"130","↓9","121","9412","スカＪＳＡＴ","東Ｐ","2,660","-4","-0.15","11,428","+1,101","+10.7%","27.9","2.48","1.80"
"131","↓33","98","4307","野村総研","東Ｐ","5,119","+32","+0.63","11,339","-514","-4.3%","24.1","6.60","1.64"
"132","↓27","105","7201","日産自","東Ｐ","321.8","+2.7","+0.85","11,130","-162","-1.4%","56.3","0.23","－"
"133","↑32","165","8830","住友不","東Ｐ","3,894","+35","+0.91","11,016","+3,649","+49.5%","16.1","1.46","1.34"
"134","↑57","191","4543","テルモ","東Ｐ","2,324.0","+30.5","+1.33","10,917","+4,701","+75.6%","20.7","2.16","1.55"
"135","↓3","132","6504","富士電機","東Ｐ","13,215","-265","-1.97","10,894","+1,352","+14.2%","18.4","2.41","－"
"136","↑8","144","1928","積水ハウス","東Ｐ","3,520.0","-5.0","-0.14","10,869","+2,406","+28.4%","10.5","1.06","4.12"
"137","↑3","140","6383","ダイフク","東Ｐ","6,864","-394","-5.43","10,782","+2,015","+23.0%","31.5","5.51","1.19"
"138","↓69","69","6594","ニデック","東Ｐ","2,656","-52","-1.92","10,746","-9,507","-46.9%","－","1.73","－"
"139","↓31","108","7729","東京精","東Ｐ","17,740","-1,090","-5.79","10,686","-394","-3.6%","25.7","3.77","1.56"
"140","↑42","182","8601","大和","東Ｐ","1,762.5","+49.0","+2.86","10,592","+4,068","+62.4%","－","1.38","－"
"141","NEW","","6326","クボタ","東Ｐ","2,778.5","-15.0","-0.54","10,565","","","14.9","1.16","1.87"
"142","NEW","","5201","ＡＧＣ","東Ｐ","6,578","-159","-2.36","10,482","","","18.1","0.93","3.19"
"143","NEW","","3402","東レ","東Ｐ","1,170.5","-4.5","-0.38","10,420","","","18.9","0.95","2.22"
"144","↑41","185","5831","しずおかＦＧ","東Ｐ","3,357.0","+16.0","+0.48","10,380","+4,023","+63.3%","17.0","1.45","2.92"
"145","↑43","188","9735","セコム","東Ｐ","6,667","+30","+0.45","10,374","+4,110","+65.6%","25.3","2.03","1.80"
"146","NEW","","2641","ＧＸリー日株","東Ｅ","4,415","-6","-0.14","10,371","","","－","－","－"
"147","NEW","","6724","エプソン","東Ｐ","2,862.5","-15.5","-0.54","10,365","","","15.5","1.07","2.79"
"148","↓25","123","6965","ホトニクス","東Ｐ","2,477.5","-112.5","-4.34","10,226","+150","+1.5%","43.7","2.23","1.53"
"149","↑34","183","6988","日東電","東Ｐ","3,213.0","-18.0","-0.56","10,160","+3,725","+57.9%","15.2","1.87","1.99"
"150","↑8","158","4452","花王","東Ｐ","3,301.0","-26.0","-0.78","10,010","+2,159","+27.5%","23.0","2.78","2.36"
"151","↓20","131","7202","いすゞ","東Ｐ","2,389.5","-1.0","-0.04","9,997","+400","+4.2%","10.3","1.11","3.93"
"152","↑1","153","6645","オムロン","東Ｐ","5,810","-364","-5.90","9,961","+1,860","+23.0%","41.5","1.37","1.89"
"153","NEW","","3186","ネクステージ","東Ｐ","3,805","-325","-7.87","9,926","","","17.4","3.52","1.31"
"154","↓43","111","9021","ＪＲ西日本","東Ｐ","2,912.0","+42.5","+1.48","9,833","-1,165","-10.6%","13.3","1.10","3.35"
"155","NEW","","7733","オリンパス","東Ｐ","1,790.0","+26.0","+1.47","9,650","","","18.6","2.34","1.68"
"156","↓63","93","1801","大成建","東Ｐ","14,870","-235","-1.56","9,582","-3,104","-24.5%","16.1","2.56","2.56"
"157","NEW","","9020","ＪＲ東日本","東Ｐ","3,554.0","+52.0","+1.48","9,520","","","15.7","1.32","2.36"
"158","↑16","174","9766","コナミＧ","東Ｐ","18,725","-25","-0.13","9,429","+2,472","+35.5%","25.1","4.50","1.20"
"159","↑33","192","4911","資生堂","東Ｐ","2,841.0","+28.5","+1.01","9,368","+3,175","+51.3%","27.0","1.87","2.11"
"160","↓11","149","2502","アサヒ","東Ｐ","1,610.5","+8.5","+0.53","9,357","+1,086","+13.1%","19.6","0.84","3.23"
"161","↓51","110","6269","三井海洋","東Ｐ","10,150","-90","-0.88","9,355","-1,662","-15.1%","12.0","2.86","1.97"
"162","↓37","125","5411","ＪＦＥ","東Ｐ","1,654.0","0.0","0.00%","9,326","-699","-7.0%","7.0","0.40","4.84"
"163","NEW","","7186","横浜ＦＧ","東Ｐ","1,905.0","+29.0","+1.55","9,277","","","16.4","1.51","2.47"
"164","↑14","178","6134","ＦＵＪＩ","東Ｐ","7,773","-877","-10.14","9,229","+2,544","+38.1%","20.7","2.94","2.44"
"165","↓46","119","7270","ＳＵＢＡＲＵ","東Ｐ","2,573.5","-16.0","-0.62","9,176","-1,351","-12.8%","13.9","0.65","4.51"
"166","NEW","","8331","千葉銀","東Ｐ","2,756.5","+51.0","+1.89","9,125","","","17.8","1.52","2.32"
"167","↓50","117","9201","ＪＡＬ","東Ｐ","3,097.0","-17.0","-0.55","9,100","-1,534","-14.4%","12.1","1.03","3.10"
"168","NEW","","5101","浜ゴム","東Ｐ","7,894","-25","-0.32","9,068","","","11.4","1.19","2.18"
"169","NEW","","6481","ＴＨＫ","東Ｐ","7,221","-502","-6.50","8,992","","","35.7","3.20","2.55"
"170","NEW","","2503","キリンＨＤ","東Ｐ","2,876.5","+27.5","+0.97","8,916","","","14.7","1.74","2.64"
"171","↑6","177","7550","ゼンショＨＤ","東Ｐ","9,032","+286","+3.27","8,799","+2,061","+30.6%","29.8","5.42","0.89"
"172","↓52","120","3099","三越伊勢丹","東Ｐ","3,750","+11","+0.29","8,724","-1,722","-16.5%","21.3","2.11","2.13"
"173","↑3","176","5332","ＴＯＴＯ","東Ｐ","8,435","-116","-1.36","8,700","+1,799","+26.1%","30.1","2.63","1.42"
"174","↓24","150","6227","ＡＩメカ","東Ｓ","5,960","-430","-6.73","8,697","+449","+5.4%","36.4","8.27","0.29"
"175","↓2","173","6997","日ケミコン","東Ｐ","4,250","-770","-15.34","8,662","+1,634","+23.2%","28.6","2.34","0.59"
"176","↓17","159","6323","ローツェ","東Ｐ","4,410","-335","-7.06","8,629","+793","+10.1%","27.5","5.87","0.45"
"177","↓25","152","7261","マツダ","東Ｐ","1,145.0","-20.5","-1.76","8,581","+465","+5.7%","8.0","0.38","4.80"
"178","NEW","","2768","双日","東Ｐ","5,240","-86","-1.61","8,547","","","8.4","1.00","3.44"
"179","NEW","","4507","塩野義","東Ｐ","2,909.0","-14.0","-0.48","8,496","","","11.8","1.47","2.61"
"180","→","180","7272","ヤマハ発","東Ｐ","1,283.0","+9.0","+0.71","8,424","+1,774","+26.7%","12.5","1.07","3.90"
"181","NEW","","8697","日本取引所","東Ｐ","2,183.0","-6.0","-0.27","8,383","","","28.7","6.46","2.79"
"182","↓52","130","4751","サイバー","東Ｐ","1,560.0","+22.5","+1.46","8,350","-1,396","-14.3%","28.8","4.06","1.22"
"183","NEW","","9697","カプコン","東Ｐ","3,325.0","+26.0","+0.79","8,315","","","24.0","5.20","1.38"
"184","↓78","106","278A","テラドローン","東Ｇ","9,130","-620","-6.36","8,257","-2,840","-25.6%","－","19.93","－"
"185","↓21","164","6113","アマダ","東Ｐ","3,065.0","-135.0","-4.22","8,249","+834","+11.2%","28.0","1.78","2.09"
"186","↑10","196","1329","ｉＳ日経","東Ｅ","7,120","-153","-2.10","8,214","+2,244","+37.6%","－","－","－"
"187","↓12","175","1802","大林組","東Ｐ","3,369.0","-36.0","-1.06","8,176","+1,231","+17.7%","14.8","1.84","2.79"
"188","↓41","147","4980","デクセリ","東Ｐ","4,036","-228","-5.35","8,153","-294","-3.5%","24.6","6.18","1.59"
"189","↓34","155","1803","清水建","東Ｐ","2,639.0","-46.5","-1.73","8,126","+53","+0.7%","13.8","1.83","2.92"
"190","↓21","169","4188","三菱ケミＧ","東Ｐ","1,193.5","-14.0","-1.16","8,082","+853","+11.8%","12.8","0.92","2.68"
"191","↓95","96","5631","日製鋼","東Ｐ","8,272","-278","-3.25","8,053","-4,153","-34.0%","32.0","2.87","1.11"
"192","↓51","141","3407","旭化成","東Ｐ","1,881.5","-19.5","-1.03","8,006","-734","-8.4%","15.8","1.21","2.34"
"193","↓27","166","5020","ＥＮＥＯＳ","東Ｐ","1,248.5","-11.5","-0.91","7,994","+661","+9.0%","8.0","0.99","2.72"
"194","↓56","138","6890","フェローテク","東Ｓ","8,440","-620","-6.84","7,892","-1,081","-12.0%","－","1.71","3.16"
"195","NEW","","4385","メルカリ","東Ｐ","4,512","+72","+1.62","7,891","","","－","6.20","－"
"196","NEW","","268A","リガクＨＤ","東Ｐ","2,286","-108","-4.51","7,867","","","41.4","5.92","0.83"
"197","NEW","","1489","日経高配５０","東Ｅ","3,311","-5","-0.15","7,842","","","－","－","－"
"198","NEW","","6996","ニチコン","東Ｐ","3,625","-385","-9.60","7,825","","","36.3","2.04","1.08"
"199","NEW","","8303","ＳＢＩ新生銀","東Ｐ","1,498.0","+31.0","+2.11","7,785","","","－","1.08","2.80"
"200","NEW","","9843","ニトリＨＤ","東Ｐ","2,464.5","+89.5","+3.77","7,758","","","15.3","1.41","1.30"
"201","↓56","145","581A","ＧＯ","東Ｇ","2,500","-47","-1.85","7,684","-770","-9.1%","30.3","8.86","－"
"202","↓35","167","9024","西武ＨＤ","東Ｐ","3,574.0","-16.0","-0.45","7,666","+341","+4.7%","33.6","1.60","1.18"
"203","↓55","148","485A","ＰｏｗｅｒＸ","東Ｇ","1,937","-89","-4.39","7,609","-806","-9.6%","177","31.77","－"
"204","↓10","194","9147","ＮＸＨＤ","東Ｐ","5,479","-73","-1.31","7,556","+1,431","+23.4%","21.9","1.59","1.83"
"205","↓49","156","2644","ＧＸ半導日株","東Ｅ","4,667","-219","-4.48","7,359","-687","-8.5%","－","－","－"
"206","NEW","","6278","ユニオンツル","東Ｐ","19,250","-1,740","-8.29","7,270","","","39.5","4.55","0.68"
"207","↓50","157","9202","ＡＮＡＨＤ","東Ｐ","3,164.0","-16.0","-0.50","7,266","-660","-8.3%","14.7","1.06","1.90"
"208","↓24","184","5334","特殊陶","東Ｐ","10,575","-225","-2.08","7,210","+827","+13.0%","19.6","2.69","1.99"
"209","NEW","","6841","横河電","東Ｐ","5,642","-212","-3.62","7,208","","","24.3","2.74","1.63"
"210","↓42","168","4186","東応化","東Ｐ","10,060","-410","-3.92","7,196","-91","-1.2%","34.5","5.13","0.80"
"211","↓57","154","9503","関西電","東Ｐ","2,298.5","+18.5","+0.81","7,161","-939","-11.6%","8.3","0.74","3.48"
"212","NEW","","2413","エムスリー","東Ｐ","1,924.5","+22.0","+1.16","7,123","","","24.2","3.15","－"
