順位,順位変動,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,PER,PBR,利回り
"1","→","1","285A","キオクシア","東Ｐ","72,400","-9,190","-11.26","3,439,264","+162,310","+5.0%","－","28.32","－"
"2","↑2","4","6981","村田製","東Ｐ","9,212","-1,038","-10.13","419,100","+202,963","+93.9%","57.2","6.17","0.76"
"3","↓1","2","6976","太陽誘電","東Ｐ","16,355","-2,030","-11.04","332,994","-27,035","-7.5%","113","5.94","0.55"
"4","↓1","3","1570","日経レバ","東Ｅ","75,400","-3,100","-3.95","285,806","+32,737","+12.9%","－","－","－"
"5","→","5","8035","東エレク","東Ｐ","69,470","-2,850","-3.94","274,197","+67,263","+32.5%","－","15.43","－"
"6","→","6","9984","ＳＢＧ","東Ｐ","5,771","-208","-3.48","270,894","+70,063","+34.9%","－","1.87","0.19"
"7","→","7","6857","アドテスト","東Ｐ","28,900","-665","-2.25","228,053","+32,366","+16.5%","44.9","26.29","－"
"8","→","8","5803","フジクラ","東Ｐ","5,072","-282","-5.27","187,260","+15,432","+9.0%","36.7","14.99","0.75"
"9","↑7","16","8306","三菱ＵＦＪ","東Ｐ","3,446.0","+76.0","+2.26","184,849","+98,418","+113.9%","14.4","1.74","2.79"
"10","↓1","9","4062","イビデン","東Ｐ","19,895","-1,495","-6.99","157,836","+10,524","+7.1%","95.8","10.10","0.18"
"11","↑3","14","6920","レーザーテク","東Ｐ","44,050","-2,990","-6.36","133,051","+32,915","+32.9%","54.8","17.51","0.75"
"12","↑1","13","6146","ディスコ","東Ｐ","71,900","-6,100","-7.82","128,008","+19,369","+17.8%","－","13.30","－"
"13","↑11","24","6723","ルネサス","東Ｐ","4,744","+34","+0.72","118,843","+64,481","+118.6%","－","3.39","－"
"14","↑5","19","9983","ファストリ","東Ｐ","87,900","+970","+1.12","112,682","+41,474","+58.2%","56.2","10.25","0.73"
"15","↓4","11","3436","ＳＵＭＣＯ","東Ｐ","4,570","-601","-11.62","109,848","-22,593","-17.1%","－","2.81","－"
"16","↑1","17","7203","トヨタ","東Ｐ","2,946.0","+23.0","+0.79","107,398","+29,879","+38.5%","11.6","0.87","3.39"
"17","↑4","21","8316","三井住友ＦＧ","東Ｐ","6,812","+12","+0.18","106,731","+36,397","+51.7%","15.2","1.64","2.64"
"18","↓6","12","6525","コクサイエレ","東Ｐ","10,240","-1,030","-9.14","101,484","-26,662","-20.8%","61.6","10.90","0.46"
"19","↑1","20","5016","ＪＸ金属","東Ｐ","3,855","-167","-4.15","100,026","+28,950","+40.7%","32.2","5.05","0.52"
"20","↓10","10","7011","三菱重","東Ｐ","4,009","-101","-2.46","99,890","-45,070","-31.1%","35.4","4.36","0.72"
"21","↑4","25","6501","日立","東Ｐ","4,942","+137","+2.85","98,713","+44,690","+82.7%","26.0","3.36","－"
"22","↑4","26","8411","みずほＦＧ","東Ｐ","8,227","+32","+0.39","95,470","+41,953","+78.4%","15.4","1.77","1.82"
"23","↑10","33","6758","ソニーＧ","東Ｐ","3,502.0","+80.0","+2.34","73,353","+29,980","+69.1%","17.7","2.53","1.00"
"24","↑7","31","5802","住友電","東Ｐ","2,443.0","-149.5","-5.77","67,128","+20,030","+42.5%","23.8","2.78","1.60"
"25","↑2","27","6752","パナＨＤ","東Ｐ","4,400","-157","-3.45","63,315","+10,204","+19.2%","24.5","1.97","1.23"
"26","↑16","42","6098","リクルート","東Ｐ","12,300","+405","+3.40","60,581","+27,803","+84.8%","27.4","10.79","0.21"
"27","↓9","18","5801","古河電","東Ｐ","3,674","-214","-5.50","59,640","-12,928","-17.8%","31.5","6.20","0.60"
"28","→","28","7974","任天堂","東Ｐ","7,148","+115","+1.64","57,730","+7,054","+13.9%","26.6","2.79","2.27"
"29","↓7","22","7735","スクリン","東Ｐ","17,090","-770","-4.31","57,669","-9,097","-13.6%","29.4","6.64","1.02"
"30","↓7","23","7013","ＩＨＩ","東Ｐ","2,982.0","-89.0","-2.90","57,037","-9,406","-14.2%","19.2","4.85","0.77"
"31","↓16","15","4063","信越化","東Ｐ","7,158","-257","-3.47","55,510","-31,033","-35.9%","－","2.98","－"
"32","↓3","29","6762","ＴＤＫ","東Ｐ","3,357.0","-144.0","-4.11","53,855","+4,416","+8.9%","28.3","2.91","1.19"
"33","↑16","49","8058","三菱商","東Ｐ","4,500","-7","-0.16","50,343","+22,659","+81.8%","15.0","1.75","2.78"
"34","↑1","35","4004","レゾナック","東Ｐ","15,675","-1,075","-6.42","49,122","+9,359","+23.5%","36.8","3.99","0.41"
"35","↑12","47","6954","ファナック","東Ｐ","7,072","-405","-5.42","45,612","+15,165","+49.8%","35.7","3.54","－"
"36","↑5","41","6861","キーエンス","東Ｐ","78,180","-2,730","-3.37","44,354","+11,001","+33.0%","－","5.46","0.70"
"37","↑6","43","5706","三井金属","東Ｐ","35,930","-1,590","-4.24","43,477","+11,504","+36.0%","27.4","4.99","0.78"
"38","↓1","37","7267","ホンダ","東Ｐ","1,570.5","-28.5","-1.78","42,744","+3,661","+9.4%","23.5","0.52","4.46"
"39","↓9","30","7012","川重","東Ｐ","2,938.0","-65.0","-2.16","42,312","-6,746","-13.8%","22.3","2.80","1.36"
"40","↓2","38","8766","東京海上","東Ｐ","7,716","-94","-1.20","41,794","+3,235","+8.4%","17.8","1.85","3.18"
"41","↓7","34","1357","日経Ｄインバ","東Ｅ","2,679","+104","+4.04","40,170","-1,249","-3.0%","－","－","－"
"42","↑21","63","8031","三井物","東Ｐ","4,677","+10","+0.21","38,470","+16,701","+76.7%","14.4","1.51","2.99"
"43","↓3","40","6367","ダイキン","東Ｐ","25,980","-170","-0.65","36,912","+2,434","+7.1%","26.0","2.22","1.39"
"44","↑4","48","6701","ＮＥＣ","東Ｐ","4,348","+1","+0.02","36,365","+7,592","+26.4%","－","2.63","0.92"
"45","↑16","61","1321","野村日経平均","東Ｅ","71,060","-1,920","-2.63","35,443","+12,772","+56.3%","－","－","－"
"46","↓14","32","6506","安川電","東Ｐ","6,900","-549","-7.37","35,408","-10,653","-23.1%","38.1","3.70","1.04"
"47","↑21","68","2914","ＪＴ","東Ｐ","6,219","+30","+0.48","34,898","+14,181","+68.5%","19.4","2.70","3.89"
"48","↑23","71","7741","ＨＯＹＡ","東Ｐ","25,645","+70","+0.27","33,376","+13,255","+65.9%","－","8.41","－"
"49","↑1","50","9432","ＮＴＴ","東Ｐ","148.0","+1.0","+0.68","33,175","+7,081","+27.1%","12.3","1.24","3.65"
"50","↑3","53","6503","三菱電","東Ｐ","5,947","-96","-1.59","32,716","+8,138","+33.1%","25.6","2.71","1.01"
"51","↑29","80","8308","りそなＨＤ","東Ｐ","2,326.0","+43.0","+1.88","31,703","+16,706","+111.4%","16.8","1.80","1.59"
"52","↓6","46","8002","丸紅","東Ｐ","5,048","+22","+0.44","31,462","+676","+2.2%","14.2","1.88","2.28"
"53","↑12","65","8001","伊藤忠","東Ｐ","1,904.0","+10.5","+0.55","31,298","+9,709","+45.0%","14.0","2.02","2.31"
"54","↓15","39","6963","ローム","東Ｐ","5,361","-421","-7.28","30,415","-4,911","-13.9%","71.4","2.73","0.93"
"55","↑4","59","6971","京セラ","東Ｐ","3,741","-133","-3.43","29,730","+6,444","+27.7%","34.4","1.45","1.50"
"56","↑38","94","9433","ＫＤＤＩ","東Ｐ","2,779.0","+41.5","+1.52","28,885","+16,397","+131.3%","－","2.03","3.02"
"57","↑28","85","7182","ゆうちょ銀","東Ｐ","3,307.0","+45.0","+1.38","28,132","+14,226","+102.3%","17.8","1.28","2.81"
"58","↑17","75","8309","三井住友トラ","東Ｐ","6,555","+15","+0.23","26,798","+8,786","+48.8%","11.9","1.27","2.90"
"59","↑28","87","7453","良品計画","東Ｐ","3,811.0","+141.0","+3.84","26,456","+12,976","+96.3%","32.6","5.37","0.84"
"60","↑43","103","8604","野村","東Ｐ","1,535.0","+45.0","+3.02","26,279","+14,738","+127.7%","－","1.20","－"
"61","↓25","36","8136","サンリオ","東Ｐ","1,151.0","-4.0","-0.35","25,652","-13,461","-34.4%","21.9","8.96","1.39"
"62","↑15","77","3110","日東紡","東Ｐ","3,570","+55","+1.56","25,360","+7,792","+44.4%","38.2","3.74","0.78"
"63","↑80","143","9107","川崎汽","東Ｐ","2,519.5","-99.5","-3.80","25,277","+16,617","+191.9%","16.1","0.85","4.76"
"64","↓19","45","6526","ソシオネクス","東Ｐ","2,643.0","-57.0","-2.11","25,065","-6,445","-20.5%","46.3","3.48","1.89"
"65","↓9","56","2802","味の素","東Ｐ","5,831","-260","-4.27","23,977","+426","+1.8%","46.4","7.22","0.86"
"66","↑26","92","8053","住友商","東Ｐ","1,609.5","+18.5","+1.16","23,876","+11,111","+87.0%","12.1","1.65","2.49"
"67","↓12","55","8725","ＭＳ＆ＡＤ","東Ｐ","4,534","-18","-0.40","23,471","-114","-0.5%","15.4","1.02","3.75"
"68","↓6","62","1458","楽天Ｗブル","東Ｅ","89,940","-3,710","-3.96","23,311","+1,146","+5.2%","－","－","－"
"69","↓11","58","6479","ミネベア","東Ｐ","4,372","-128","-2.84","23,093","-440","-1.9%","21.2","1.95","1.37"
"70","↓19","51","7003","三井Ｅ＆Ｓ","東Ｐ","4,796","-69","-1.42","22,987","-2,641","-10.3%","16.1","2.11","1.25"
"71","↑2","73","6871","日本マイクロ","東Ｐ","15,160","+10","+0.07","22,682","+4,383","+24.0%","－","7.94","－"
"72","↑2","74","200A","野村日半導","東Ｅ","5,258","-353","-6.29","22,559","+4,328","+23.7%","－","－","－"
"73","↑5","78","6702","富士通","東Ｐ","3,392.0","+43.0","+1.28","22,470","+7,077","+46.0%","19.0","2.91","1.62"
"74","↑28","102","8630","ＳＯＭＰＯ","東Ｐ","6,642","-128","-1.89","22,221","+10,555","+90.5%","12.1","1.14","3.01"
"75","↓8","67","6273","ＳＭＣ","東Ｐ","72,540","-3,250","-4.29","21,985","+1,200","+5.8%","26.8","2.16","1.38"
"76","↑38","114","8591","オリックス","東Ｐ","6,418","+30","+0.47","21,873","+11,019","+101.5%","13.3","1.57","2.92"
"77","↓1","76","5713","住友鉱","東Ｐ","7,462","-462","-5.83","21,153","+3,344","+18.8%","14.4","0.97","2.77"
"78","↓34","44","4568","第一三共","東Ｐ","2,719.0","-39.0","-1.41","21,112","-10,493","-33.2%","19.0","2.97","3.68"
"79","↑3","82","7269","スズキ","東Ｐ","2,129.5","-15.0","-0.70","20,551","+6,132","+42.5%","10.8","1.21","2.39"
"80","↑9","89","6301","コマツ","東Ｐ","6,710","-39","-0.58","20,409","+7,222","+54.8%","18.8","1.70","2.83"
"81","↓24","57","1579","日経ブル２","東Ｅ","814.8","-34.2","-4.03","20,294","-3,245","-13.8%","－","－","－"
"82","↓30","52","6324","ハーモニック","東Ｐ","7,940","-950","-10.69","20,294","-4,954","-19.6%","167","9.35","0.25"
