順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","NEW","0","","285A","キオクシア","東Ｐ","49,120","+2,620","+5.63","0","3,389,962","","","0","－","11.20","－"
"2","→","0","2","6857","アドテスト","東Ｐ","31,520","-980","-3.02","0","290,125","-272,463","-48.4%","0","34.6","21.89","－"
"3","NEW","0","","6981","村田製","東Ｐ","7,065","-351","-4.73","0","287,315","","","0","38.0","4.66","0.99"
"4","→","0","4","9984","ＳＢＧ","東Ｐ","5,422","+162","+3.08","0","269,400","-4,618","-1.7%","0","－","1.75","0.20"
"5","↓4","0","1","8035","東エレク","東Ｐ","54,910","-590","-1.06","0","227,924","-532,138","-70.0%","0","－","11.78","－"
"6","NEW","0","","6976","太陽誘電","東Ｐ","9,792","-433","-4.23","0","200,141","","","0","70.9","3.70","0.92"
"7","↓2","0","5","1570","日経レバ","東Ｅ","64,620","-1,400","-2.12","0","177,740","-82,926","-31.8%","0","－","－","－"
"8","↓2","0","6","6920","レーザーテク","東Ｐ","40,950","+3,040","+8.02","0","174,981","-64,664","-27.0%","0","51.0","16.28","0.80"
"9","↓1","0","8","8306","三菱ＵＦＪ","東Ｐ","3,567.0","-4.0","-0.11","0","165,496","+7,955","+5.0%","2","14.9","1.80","2.69"
"10","↓7","0","3","5803","フジクラ","東Ｐ","4,293","+121","+2.90","0","155,869","-143,512","-47.9%","0","31.0","12.68","0.89"
"11","↓4","0","7","6146","ディスコ","東Ｐ","60,670","+2,190","+3.74","0","142,081","-93,914","-39.8%","0","－","11.33","－"
"12","↑12","2","24","6723","ルネサス","東Ｐ","3,870.0","+428.0","+12.43","4","134,022","+62,118","+86.4%","2","－","2.48","－"
"13","NEW","0","","4062","イビデン","東Ｐ","15,420","-1,230","-7.39","0","121,389","","","0","74.3","7.83","0.23"
"14","↑4","1","18","8316","三井住友ＦＧ","東Ｐ","6,652","-162","-2.38","0","120,707","+33,675","+38.7%","2","14.9","1.57","2.71"
"15","↑12","4","27","6954","ファナック","東Ｐ","6,082","-1,053","-14.76","0","119,816","+64,738","+117.5%","2","28.7","3.00","－"
"16","↑5","1","21","7203","トヨタ","東Ｐ","2,946.5","-120.5","-3.93","0","107,898","+25,722","+31.3%","1","11.6","0.87","3.39"
"17","NEW","0","","6525","コクサイエレ","東Ｐ","7,796","+374","+5.04","0","97,854","","","0","46.8","8.29","0.60"
"18","↓2","0","16","9983","ファストリ","東Ｐ","79,530","+1,340","+1.71","2","83,986","-9,963","-10.6%","0","48.8","8.94","0.80"
"19","↓8","0","11","6758","ソニーＧ","東Ｐ","3,575","-212","-5.60","0","81,904","-44,491","-35.2%","0","17.3","2.51","0.98"
"20","↑20","1","40","3436","ＳＵＭＣＯ","東Ｐ","3,448.0","+91.0","+2.71","0","74,616","+35,412","+90.3%","1","－","2.12","－"
"21","↓6","0","15","8411","みずほＦＧ","東Ｐ","8,126","-41","-0.50","0","74,362","-22,251","-23.0%","0","14.1","1.72","1.85"
"22","NEW","0","","6752","パナＨＤ","東Ｐ","4,252","-32","-0.75","0","74,051","","","0","22.1","1.84","1.27"
"23","→","0","23","7011","三菱重","東Ｐ","3,791","+27","+0.72","0","73,456","-1,600","-2.1%","0","33.5","4.12","0.76"
"24","↑35","2","59","8058","三菱商","東Ｐ","4,776","0","0.00%","0","71,743","+44,017","+158.8%","2","15.9","1.82","2.62"
"25","↓15","0","10","5802","住友電","東Ｐ","2,053.0","-131.0","-6.00","0","64,588","-67,468","-51.1%","0","18.8","2.26","1.90"
"26","↓17","0","9","5016","ＪＸ金属","東Ｐ","3,857","+60","+1.58","0","62,182","-75,291","-54.8%","0","30.2","4.74","0.52"
"27","↑3","2","30","6762","ＴＤＫ","東Ｐ","3,054.0","+46.0","+1.53","0","60,392","+12,489","+26.1%","2","25.8","2.52","1.31"
"28","↑6","3","34","6503","三菱電","東Ｐ","5,548","-364","-6.16","0","60,307","+16,621","+38.0%","2","22.9","2.48","1.08"
"29","↓9","0","20","6501","日立","東Ｐ","5,325","+58","+1.10","1","59,598","-24,559","-29.2%","0","26.5","3.62","－"
"30","↑54","2","84","8002","丸紅","東Ｐ","5,135","-66","-1.27","0","53,653","+36,912","+220.5%","2","14.4","1.87","2.24"
"31","↓19","0","12","7974","任天堂","東Ｐ","7,591","-88","-1.15","1","53,411","-69,207","-56.4%","0","28.2","2.96","2.13"
"32","↓13","0","19","6861","キーエンス","東Ｐ","81,070","-80","-0.10","0","49,493","-36,691","-42.6%","0","－","5.54","0.68"
