順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","39,420","+1,040","+2.71","2","3,667,055","+117,174","+3.3%","2","－","15.44","－"
"2","↑1","1","3","6857","アドテスト","東Ｐ","27,960","+2,760","+10.95","2","437,604","+92,175","+26.7%","3","30.7","19.41","－"
"3","↓1","0","2","8035","東エレク","東Ｐ","52,110","+2,110","+4.22","2","299,412","-48,180","-13.9%","0","－","11.58","－"
"4","↑1","2","5","6976","太陽誘電","東Ｐ","8,606","-399","-4.43","1","276,224","-13,758","-4.7%","0","62.3","3.25","1.05"
"5","↑1","1","6","6981","村田製","東Ｐ","6,378","+147","+2.36","1","267,840","-18,221","-6.4%","0","39.6","4.27","1.10"
"6","↓2","0","4","9984","ＳＢＧ","東Ｐ","4,608","-133","-2.81","1","240,473","-72,942","-23.3%","0","－","1.49","0.24"
"7","→","0","7","1570","日経レバ","東Ｅ","60,990","+560","+0.93","2","225,873","-18,430","-7.5%","0","－","－","－"
"8","→","0","8","5803","フジクラ","東Ｐ","3,707","-53","-1.41","1","173,703","-26,036","-13.0%","0","26.8","10.95","1.03"
"9","↑1","1","10","8306","三菱ＵＦＪ","東Ｐ","3,519.0","-128.0","-3.51","0","135,999","-13,657","-9.1%","0","14.7","1.78","2.73"
"10","↑5","1","15","4062","イビデン","東Ｐ","13,630","+160","+1.19","2","134,809","+10,422","+8.4%","2","65.7","6.92","0.26"
"11","↑3","1","14","6146","ディスコ","東Ｐ","51,720","+400","+0.78","2","120,076","-6,281","-5.0%","0","－","9.66","－"
"12","↑1","1","13","6920","レーザーテク","東Ｐ","33,510","-820","-2.39","2","101,851","-30,061","-22.8%","0","41.7","13.32","0.98"
"13","↑23","1","36","6501","日立","東Ｐ","5,259","+302","+6.09","2","100,848","+49,258","+95.5%","2","26.1","3.58","－"
"14","↓3","0","11","7974","任天堂","東Ｐ","8,178","+192","+2.40","0","91,747","-42,495","-31.7%","0","30.4","3.19","1.98"
"15","↓6","0","9","7203","トヨタ","東Ｐ","3,132.0","-92.0","-2.85","0","90,440","-75,405","-45.5%","0","12.4","0.93","3.19"
"16","→","0","16","9983","ファストリ","東Ｐ","78,390","-2,010","-2.50","0","83,630","-25,006","-23.0%","0","48.1","8.82","0.82"
"17","↑26","4","43","6701","ＮＥＣ","東Ｐ","4,998","+385","+8.35","2","82,258","+39,543","+92.6%","4","－","2.97","0.80"
"18","↓1","0","17","8316","三井住友ＦＧ","東Ｐ","6,677","-199","-2.89","0","81,324","-14,445","-15.1%","0","14.9","1.61","2.70"
"19","↑3","2","22","6525","コクサイエレ","東Ｐ","6,405","+356","+5.89","1","76,017","-2,704","-3.4%","0","38.5","6.81","0.73"
"20","↓1","0","19","8411","みずほＦＧ","東Ｐ","7,798","-314","-3.87","0","75,861","-12,755","-14.4%","0","13.6","1.65","1.92"
"21","↓1","0","20","5016","ＪＸ金属","東Ｐ","3,337.0","+6.0","+0.18","2","73,727","-13,420","-15.4%","0","26.2","4.10","0.60"
"22","↓4","0","18","6758","ソニーＧ","東Ｐ","3,802","-7","-0.18","0","68,790","-24,567","-26.3%","0","19.2","2.75","0.92"
"23","↑3","1","26","3436","ＳＵＭＣＯ","東Ｐ","2,844.0","-104.5","-3.54","2","68,183","+4,831","+7.6%","2","－","1.75","－"
"24","↓12","0","12","6861","キーエンス","東Ｐ","78,710","+1,120","+1.44","0","67,680","-65,963","-49.4%","0","－","5.38","0.70"
"25","↓4","0","21","7735","スクリン","東Ｐ","11,930","+200","+1.71","1","67,106","-12,833","-16.1%","0","19.6","4.54","1.53"
"26","↑11","1","37","1357","日経Ｄインバ","東Ｅ","3,197","-29","-0.90","0","53,651","+2,173","+4.2%","5","－","－","－"
