順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","54,160","+1,210","+2.29","0","2,133,466","-179,344","-7.8%","0","－","11.99","－"
"2","→","0","2","5803","フジクラ","東Ｐ","5,274","-67","-1.25","0","321,224","+35,331","+12.4%","1","26.8","14.35","0.72"
"3","→","0","3","6976","太陽誘電","東Ｐ","9,262","-361","-3.75","0","206,971","-29,194","-12.4%","0","42.3","3.33","0.97"
"4","→","0","4","6857","アドテスト","東Ｐ","35,830","+470","+1.33","3","203,180","-28,499","-12.3%","0","39.2","24.81","－"
"5","↑1","1","6","1570","日経レバ","東Ｅ","69,030","-480","-0.69","0","145,580","-12,673","-8.0%","0","－","－","－"
"6","↓1","0","5","9984","ＳＢＧ","東Ｐ","5,269","-118","-2.19","0","134,573","-41,222","-23.4%","0","－","1.63","0.21"
"7","↑1","3","8","4062","イビデン","東Ｐ","19,145","-5","-0.03","2","104,543","-25,497","-19.6%","0","64.4","9.44","0.18"
"8","↓1","0","7","6981","村田製","東Ｐ","7,097","-108","-1.50","1","102,189","-33,111","-24.5%","0","38.2","4.68","0.99"
"9","→","0","9","8035","東エレク","東Ｐ","54,420","+400","+0.74","3","101,303","-28,381","-21.9%","0","－","11.62","－"
"10","↑1","1","11","5801","古河電","東Ｐ","3,819","-45","-1.16","0","80,425","-17,201","-17.6%","0","25.6","6.15","0.58"
"11","↓1","0","10","8306","三菱ＵＦＪ","東Ｐ","3,515.0","+51.0","+1.47","2","77,117","-31,105","-28.7%","0","14.7","1.74","2.73"
"12","→","0","12","6920","レーザーテク","東Ｐ","35,200","+270","+0.77","3","76,524","-3,048","-3.8%","0","35.1","12.78","1.00"
"13","→","0","13","7203","トヨタ","東Ｐ","3,128.0","+62.0","+2.02","0","63,559","-12,500","-16.4%","0","11.4","0.99","3.20"
"14","↑7","2","21","9983","ファストリ","東Ｐ","73,510","-2,770","-3.63","0","61,483","+17,473","+39.7%","1","45.1","8.27","0.87"
"15","↑8","1","23","7011","三菱重","東Ｐ","3,936","-118","-2.91","0","56,242","+15,649","+38.6%","1","34.8","4.17","0.74"
"16","↓2","0","14","6146","ディスコ","東Ｐ","61,230","+910","+1.51","3","53,332","-13,206","-19.8%","0","－","11.43","－"
"17","↑16","2","33","9432","ＮＴＴ","東Ｐ","166.2","+4.8","+2.97","3","49,765","+22,284","+81.1%","3","13.8","1.37","3.25"
"18","↑8","1","26","6525","コクサイエレ","東Ｐ","8,320","+205","+2.53","3","45,044","+8,807","+24.3%","1","35.0","8.63","0.78"
"19","→","0","19","8411","みずほＦＧ","東Ｐ","8,140","+55","+0.68","2","43,765","-5,148","-10.5%","0","14.1","1.72","1.84"
"20","↓2","0","18","5016","ＪＸ金属","東Ｐ","3,596.0","-28.0","-0.77","0","40,872","-11,213","-21.5%","0","22.8","5.00","0.56"
"21","↑7","1","28","6501","日立","東Ｐ","5,209","-54","-1.03","0","40,461","+5,955","+17.3%","1","25.8","3.54","－"
"22","↓7","0","15","7974","任天堂","東Ｐ","8,570","-211","-2.40","0","40,277","-23,669","-37.0%","0","31.9","3.39","1.89"
"23","↑23","1","46","9104","商船三井","東Ｐ","7,265","+308","+4.43","1","38,040","+17,188","+82.4%","1","10.4","0.84","2.82"
"24","↓7","0","17","8316","三井住友ＦＧ","東Ｐ","6,604","+58","+0.89","2","37,824","-15,989","-29.7%","0","14.7","1.55","2.73"
"25","↓9","0","16","5706","三井金属","東Ｐ","28,260","-310","-1.09","0","36,199","-18,463","-33.8%","0","20.2","3.83","0.99"
"26","↑16","1","42","7013","ＩＨＩ","東Ｐ","2,678.0","-90.5","-3.27","0","34,988","+12,287","+54.1%","1","16.5","4.08","0.86"
"27","↓7","0","20","5713","住友鉱","東Ｐ","10,715","+85","+0.80","0","34,781","-10,917","-23.9%","0","13.3","1.35","1.93"
"28","↑36","1","64","9101","郵船","東Ｐ","7,131","+336","+4.94","2","34,181","+17,705","+107.5%","1","12.0","0.92","3.37"
"29","↑26","1","55","7012","川重","東Ｐ","2,596.0","-76.5","-2.86","0","32,181","+13,005","+67.8%","1","19.7","2.56","1.54"
"30","↓8","0","22","3436","ＳＵＭＣＯ","東Ｐ","3,389.0","-67.0","-1.94","2","31,622","-9,026","-22.2%","0","－","2.09","－"
"31","↓2","0","29","6098","リクルート","東Ｐ","15,910","-235","-1.46","0","31,302","-1,348","-4.1%","0","29.2","12.43","0.16"
"32","↓7","0","25","5802","住友電","東Ｐ","2,183.5","-35.0","-1.58","0","29,384","-6,998","-19.2%","0","20.0","2.40","1.79"
"33","↑66","1","99","9107","川崎汽","東Ｐ","3,405.0","+231.0","+7.28","1","27,296","+15,997","+141.6%","1","15.1","1.17","3.52"
"34","↑46","2","80","3350","メタプラ","東Ｓ","306","+53","+20.95","2","26,690","+13,098","+96.4%","6","－","1.15","－"
"35","↑10","1","45","6752","パナＨＤ","東Ｐ","4,322","+19","+0.44","3","26,104","+5,082","+24.2%","1","22.4","1.87","1.25"
"36","↑22","1","58","6954","ファナック","東Ｐ","6,067","-49","-0.80","0","25,163","+6,598","+35.5%","1","28.6","2.99","－"
"37","↑17","2","54","9501","東電ＨＤ","東Ｐ","548.5","+23.6","+4.50","0","24,763","+5,555","+28.9%","4","－","0.37","－"
