順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","51,830","+1,240","+2.45","2","1,476,446","+69,984","+5.0%","1","－","11.48","－"
"2","→","0","2","9984","ＳＢＧ","東Ｐ","6,279","+440","+7.54","1","482,822","+113,403","+30.7%","1","－","1.94","0.18"
"3","↑1","1","4","6976","太陽誘電","東Ｐ","9,202","+488","+5.60","1","309,538","+92,298","+42.5%","1","42.0","3.31","0.98"
"4","↓1","0","3","6857","アドテスト","東Ｐ","30,330","-750","-2.41","0","238,045","+8,473","+3.7%","1","33.2","21.00","－"
"5","↑4","1","9","8035","東エレク","東Ｐ","50,940","+10","+0.02","2","158,481","+38,718","+32.3%","1","－","10.88","－"
"6","↑1","1","7","1570","日経レバ","東Ｅ","63,870","-50","-0.08","2","151,236","+5,776","+4.0%","1","－","－","－"
"7","↓2","0","5","5803","フジクラ","東Ｐ","4,760","-74","-1.53","3","142,678","-20,720","-12.7%","0","24.2","12.95","0.80"
"8","→","0","8","6981","村田製","東Ｐ","7,408","+241","+3.36","1","141,860","+2,441","+1.8%","1","39.7","4.87","0.94"
"9","↓3","0","6","4062","イビデン","東Ｐ","19,115","-25","-0.13","2","130,929","-21,650","-14.2%","0","64.3","9.43","0.18"
"10","→","0","10","8306","三菱ＵＦＪ","東Ｐ","3,673","-47","-1.26","0","130,302","+12,089","+10.2%","1","15.3","1.82","2.61"
"11","↑22","1","33","7011","三菱重","東Ｐ","3,719","-42","-1.12","0","121,835","+91,165","+297.2%","1","32.9","3.94","0.78"
"12","↓1","0","11","6920","レーザーテク","東Ｐ","35,600","+1,120","+3.25","2","108,645","+15,076","+16.1%","1","35.5","12.93","0.99"
"13","↓1","0","12","5801","古河電","東Ｐ","3,721","-124","-3.22","0","81,785","-1,120","-1.4%","0","24.9","5.99","0.59"
"14","↑1","1","15","8316","三井住友ＦＧ","東Ｐ","6,874","-156","-2.22","0","77,345","+15,925","+25.9%","1","15.3","1.62","2.62"
"15","↑1","1","16","8411","みずほＦＧ","東Ｐ","8,618","-172","-1.96","0","62,148","+3,367","+5.7%","1","14.9","1.81","1.74"
"16","↑1","2","17","6525","コクサイエレ","東Ｐ","8,274","+274","+3.42","2","61,426","+3,191","+5.5%","1","34.8","8.58","0.79"
"17","↓3","0","14","6098","リクルート","東Ｐ","16,725","+240","+1.46","0","54,654","-8,830","-13.9%","0","30.7","13.06","0.16"
"18","↓5","0","13","7974","任天堂","東Ｐ","8,146","-122","-1.48","0","51,843","-15,593","-23.1%","0","30.3","3.22","1.99"
"19","↑3","2","22","6203","豊和工","東Ｓ","2,526","+182","+7.76","1","49,751","+1,714","+3.6%","2","28.1","1.36","0.79"
"20","→","0","20","5016","ＪＸ金属","東Ｐ","3,662.0","+45.0","+1.24","2","47,289","-5,914","-11.1%","0","23.2","5.09","0.55"
"21","↓3","0","18","6146","ディスコ","東Ｐ","51,340","-90","-0.17","2","44,927","-10,270","-18.6%","0","－","9.59","－"
"22","↓3","0","19","7203","トヨタ","東Ｐ","3,031.0","+6.0","+0.20","1","44,015","-9,796","-18.2%","0","11.0","0.96","3.30"
"23","↑3","1","26","485A","ＰｏｗｅｒＸ","東Ｇ","2,392","+125","+5.51","3","42,472","+4,146","+10.8%","1","222","42.99","－"
"24","↑19","1","43","7013","ＩＨＩ","東Ｐ","2,779.5","+56.5","+2.07","0","42,128","+18,385","+77.4%","1","17.1","4.23","0.83"
"25","↑9","1","34","278A","テラドローン","東Ｇ","18,970","-1,340","-6.60","0","41,470","+11,322","+37.6%","1","－","20.04","－"
"26","↑26","2","52","7012","川重","東Ｐ","2,382.5","+31.5","+1.34","0","36,943","+19,347","+110.0%","1","18.1","2.35","1.68"
"27","↓2","0","25","9983","ファストリ","東Ｐ","66,860","+100","+0.15","0","35,682","-3,102","-8.0%","0","41.0","7.52","0.96"
"28","↓1","0","27","6702","富士通","東Ｐ","3,946","-80","-1.99","0","34,378","-2,606","-7.0%","0","22.0","3.35","1.39"
"29","↓1","0","28","6501","日立","東Ｐ","5,235","-90","-1.69","0","33,735","-1,886","-5.3%","0","25.9","3.54","－"
"30","↓9","0","21","8766","東京海上","東Ｐ","8,107","-96","-1.17","0","31,060","-18,833","-37.7%","0","18.4","1.87","3.02"
"31","↓2","0","29","5802","住友電","東Ｐ","1,997.5","-10.0","-0.50","1","30,603","-3,372","-9.9%","0","18.3","2.20","1.95"
"32","↓8","0","24","6758","ソニーＧ","東Ｐ","3,725","-63","-1.66","0","29,427","-10,708","-26.7%","0","18.0","2.60","0.94"
"33","↑4","2","37","3436","ＳＵＭＣＯ","東Ｐ","2,897.5","+31.5","+1.10","1","28,726","+1,010","+3.6%","1","－","1.78","－"
"34","↓2","0","32","6701","ＮＥＣ","東Ｐ","4,809","-40","-0.82","0","27,286","-5,362","-16.4%","0","－","2.86","0.83"
"35","↓12","0","23","4004","レゾナック","東Ｐ","13,720","+280","+2.08","2","26,944","-18,658","-40.9%","0","23.1","3.30","0.47"
"36","↓5","0","31","8001","伊藤忠","東Ｐ","2,315.0","-25.5","-1.09","0","25,655","-7,895","-23.5%","0","17.0","2.39","1.90"
"37","↑17","1","54","6503","三菱電","東Ｐ","5,106","-16","-0.31","0","25,147","+8,897","+54.8%","1","21.1","2.29","1.18"
"38","↑7","1","45","6752","パナＨＤ","東Ｐ","4,221","+57","+1.37","2","23,540","+3,909","+19.9%","1","21.9","1.82","1.28"
"39","↓9","0","30","6861","キーエンス","東Ｐ","75,460","-500","-0.66","0","23,195","-10,409","-31.0%","0","－","5.16","0.73"
"40","↓1","0","39","8058","三菱商","東Ｐ","4,914","-77","-1.54","0","23,002","-1,924","-7.7%","0","16.4","1.87","2.54"
"41","↓1","0","40","8031","三井物","東Ｐ","5,074","-90","-1.74","0","22,991","-1,139","-4.7%","0","15.6","1.60","2.76"
"42","↓7","0","35","9432","ＮＴＴ","東Ｐ","178.1","-0.2","-0.11","0","22,766","-6,921","-23.3%","0","14.7","1.46","3.03"
"43","↓7","0","36","5706","三井金属","東Ｐ","22,940","+115","+0.50","3","22,756","-4,978","-17.9%","0","16.4","3.11","1.22"
"44","↑2","2","46","1357","日経Ｄインバ","東Ｅ","2,954","0","0.00%","0","21,868","+2,758","+14.4%","2","－","－","－"
"45","↑169","2","214","581A","ＧＯ","東Ｇ","3,415","+170","+5.24","2","20,690","+16,723","+421.6%","1","24.9","11.19","－"
"46","↑51","1","97","4502","武田","東Ｐ","5,875","+138","+2.41","2","19,833","+10,839","+120.5%","1","56.5","1.24","3.47"
"47","↑46","2","93","6787","メイコー","東Ｐ","20,880","+1,210","+6.15","2","19,781","+10,483","+112.7%","2","20.1","4.15","0.77"
"48","↑1","1","49","8308","りそなＨＤ","東Ｐ","2,469.5","-76.0","-2.99","0","19,684","+1,113","+6.0%","1","16.7","1.83","1.50"
"49","↓2","0","47","6330","東洋エンジ","東Ｐ","2,702","+51","+1.92","1","18,664","-245","-1.3%","0","26.4","4.07","0.93"
"50","↑18","1","68","8002","丸紅","東Ｐ","4,964","-127","-2.49","0","18,581","+5,314","+40.1%","1","13.9","1.81","2.32"
"51","↑27","1","78","8725","ＭＳ＆ＡＤ","東Ｐ","5,157","-50","-0.96","0","18,537","+7,049","+61.4%","1","17.3","1.10","3.30"
"52","↓10","0","42","4063","信越化","東Ｐ","5,712","-38","-0.66","0","18,166","-5,596","-23.6%","0","19.7","2.28","2.38"
"53","↓15","0","38","6723","ルネサス","東Ｐ","3,164.0","-12.0","-0.38","0","18,083","-7,613","-29.6%","0","－","2.03","－"
"54","↓13","0","41","8136","サンリオ","東Ｐ","1,220.0","-16.0","-1.29","0","17,221","-6,669","-27.9%","0","23.2","9.07","1.31"
"55","↑354","1","409","6356","日ギア","東Ｓ","1,444","-69","-4.56","0","16,256","+14,514","+833.2%","1","11.7","1.38","0.69"
"56","↓1","0","55","9434","ＳＢ","東Ｐ","251.4","+0.6","+0.24","0","15,958","-128","-0.8%","0","21.9","4.57","3.50"
