順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","52,190","+2,320","+4.65","4","2,362,509","+460,088","+24.2%","2","－","11.55","－"
"2","→","0","2","5803","フジクラ","東Ｐ","5,771","-29","-0.50","0","394,006","+1,025","+0.3%","1","29.3","15.70","0.66"
"3","→","0","3","6976","太陽誘電","東Ｐ","10,980","+715","+6.97","0","343,921","+55,185","+19.1%","3","49.3","3.88","0.82"
"4","↑1","2","5","6981","村田製","東Ｐ","8,310","+772","+10.24","4","310,883","+137,547","+79.4%","2","44.8","5.48","0.84"
"5","↓1","0","4","6857","アドテスト","東Ｐ","35,830","+1,280","+3.70","1","259,140","+26,139","+11.2%","3","39.2","24.82","－"
"6","↑1","1","7","4062","イビデン","東Ｐ","21,695","+1,215","+5.93","1","228,811","+74,099","+47.9%","1","72.6","10.64","0.16"
"7","↓1","0","6","1570","日経レバ","東Ｅ","74,280","+1,630","+2.24","1","202,734","+45,354","+28.8%","2","－","－","－"
"8","↑2","1","10","8035","東エレク","東Ｐ","59,620","+1,390","+2.39","0","173,152","+37,523","+27.7%","2","－","12.73","－"
"9","↓1","0","8","5801","古河電","東Ｐ","4,106","-116","-2.75","0","156,249","+12,427","+8.6%","1","27.5","6.61","0.54"
"10","↑2","1","12","9984","ＳＢＧ","東Ｐ","5,606","+86","+1.56","4","133,921","+9,230","+7.4%","1","－","1.73","0.20"
"11","↑3","2","14","8306","三菱ＵＦＪ","東Ｐ","3,708.0","+102.0","+2.83","2","133,135","+16,223","+13.9%","2","15.5","1.84","2.59"
"12","↓3","0","9","6920","レーザーテク","東Ｐ","40,500","+1,520","+3.90","1","117,854","-19,217","-14.0%","0","40.3","14.71","0.87"
"13","↑3","1","16","6146","ディスコ","東Ｐ","66,010","+3,050","+4.84","1","100,055","+13,091","+15.1%","1","－","12.32","－"
"14","↑11","2","25","7011","三菱重","東Ｐ","4,270","+176","+4.30","2","88,699","+37,226","+72.3%","2","37.8","4.53","0.68"
"15","↑8","2","23","6525","コクサイエレ","東Ｐ","8,974","+317","+3.66","0","83,273","+28,395","+51.7%","2","37.7","9.31","0.72"
"16","↓5","0","11","7974","任天堂","東Ｐ","8,329","-159","-1.87","0","80,443","-48,103","-37.4%","0","31.0","3.29","1.95"
"17","↑3","2","20","8411","みずほＦＧ","東Ｐ","8,764","+262","+3.08","0","76,388","+14,397","+23.2%","2","15.2","1.85","1.71"
"18","→","0","18","8316","三井住友ＦＧ","東Ｐ","6,980","+123","+1.79","0","73,192","+5,093","+7.5%","3","15.6","1.64","2.58"
"19","↑3","1","22","5016","ＪＸ金属","東Ｐ","3,874","-26","-0.67","0","72,659","+14,717","+25.4%","1","24.6","5.39","0.52"
"20","↓7","0","13","6098","リクルート","東Ｐ","16,830","+170","+1.02","0","65,090","-55,571","-46.1%","0","30.9","13.15","0.15"
"21","→","0","21","4004","レゾナック","東Ｐ","17,000","-410","-2.35","0","63,328","+3,783","+6.4%","2","28.6","4.09","0.38"
"22","↓5","0","17","5706","三井金属","東Ｐ","29,420","+420","+1.45","0","60,823","-10,553","-14.8%","0","21.0","3.99","0.95"
"23","↑1","2","24","5802","住友電","東Ｐ","2,333.0","+63.0","+2.78","0","56,381","+3,379","+6.4%","2","21.4","2.57","1.67"
"24","↑7","1","31","3436","ＳＵＭＣＯ","東Ｐ","3,849.0","+202.0","+5.54","4","55,453","+11,452","+26.0%","1","－","2.37","－"
