順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","50,670","-1,080","-2.09","0","1,340,632","-135,814","-9.2%","0","－","11.22","－"
"2","→","0","2","9984","ＳＢＧ","東Ｐ","6,166","-113","-1.80","0","395,605","-87,217","-18.1%","0","－","1.91","0.18"
"3","→","0","3","6976","太陽誘電","東Ｐ","9,359","+162","+1.76","0","260,508","-49,030","-15.8%","0","42.7","3.36","0.96"
"4","→","0","4","6857","アドテスト","東Ｐ","30,450","+290","+0.96","1","183,633","-54,412","-22.9%","0","33.3","21.08","－"
"5","↑3","1","8","6981","村田製","東Ｐ","7,612","+213","+2.88","0","146,599","+4,739","+3.3%","2","40.8","5.00","0.92"
"6","↑1","1","7","5803","フジクラ","東Ｐ","4,834","+90","+1.90","4","120,172","-22,506","-15.8%","0","24.6","13.15","0.79"
"7","↑2","1","9","4062","イビデン","東Ｐ","18,945","-170","-0.89","0","118,394","-12,535","-9.6%","0","63.7","9.34","0.18"
"8","↓2","0","6","1570","日経レバ","東Ｅ","64,350","+680","+1.07","3","113,490","-37,746","-25.0%","0","－","－","－"
"9","↑1","1","10","8306","三菱ＵＦＪ","東Ｐ","3,656.0","-12.0","-0.33","1","109,100","-21,202","-16.3%","0","15.2","1.81","2.63"
"10","↓5","0","5","8035","東エレク","東Ｐ","51,600","+950","+1.88","3","90,903","-67,578","-42.6%","0","－","11.02","－"
"11","↑1","1","12","6920","レーザーテク","東Ｐ","35,700","+110","+0.31","0","81,288","-27,357","-25.2%","0","35.6","12.96","0.98"
"12","↑4","3","16","6525","コクサイエレ","東Ｐ","8,507","+279","+3.39","0","75,469","+14,043","+22.9%","2","35.7","8.82","0.76"
"13","↑4","1","17","6098","リクルート","東Ｐ","17,120","+275","+1.63","1","69,187","+14,533","+26.6%","1","31.4","13.37","0.15"
"14","↑7","1","21","6146","ディスコ","東Ｐ","50,990","-410","-0.80","0","62,647","+17,720","+39.4%","1","－","9.52","－"
"15","↓2","0","13","5801","古河電","東Ｐ","3,802","+83","+2.23","1","60,758","-21,027","-25.7%","0","25.5","6.12","0.58"
"16","↓2","0","14","8316","三井住友ＦＧ","東Ｐ","6,843","+1","+0.01","1","59,008","-18,337","-23.7%","0","15.3","1.61","2.63"
"17","↓2","0","15","8411","みずほＦＧ","東Ｐ","8,575","-23","-0.27","1","48,138","-14,010","-22.5%","0","14.8","1.80","1.75"
"18","↓7","0","11","7011","三菱重","東Ｐ","3,726","+25","+0.68","1","47,791","-74,044","-60.8%","0","33.0","3.95","0.78"
"19","↑8","1","27","9983","ファストリ","東Ｐ","67,370","+750","+1.13","1","44,822","+9,140","+25.6%","1","41.3","7.58","0.95"
"20","↑2","1","22","7203","トヨタ","東Ｐ","3,020.0","-1.0","-0.03","0","40,924","-3,091","-7.0%","0","11.0","0.96","3.31"
"21","↑2","2","23","485A","ＰｏｗｅｒＸ","東Ｇ","2,084","-316","-13.17","0","36,330","-6,142","-14.5%","0","193","37.46","－"
"22","↑8","1","30","8766","東京海上","東Ｐ","8,085","+6","+0.07","1","35,149","+4,089","+13.2%","1","18.4","1.86","3.03"
"23","↓3","0","20","5016","ＪＸ金属","東Ｐ","3,643.0","-11.0","-0.30","0","34,430","-12,859","-27.2%","0","23.1","5.07","0.55"
"24","↓6","0","18","7974","任天堂","東Ｐ","8,106","-12","-0.15","1","30,120","-21,723","-41.9%","0","30.1","3.20","2.00"
"25","↑4","1","29","6501","日立","東Ｐ","5,368","+147","+2.82","1","29,371","-4,364","-12.9%","0","26.5","3.63","－"
"26","↑10","1","36","8001","伊藤忠","東Ｐ","2,322.5","+1.5","+0.06","1","27,041","+1,386","+5.4%","1","17.1","2.40","1.89"
"27","↑18","3","45","581A","ＧＯ","東Ｇ","3,155","-275","-8.02","0","25,499","+4,809","+23.2%","2","23.0","10.34","－"
"28","↑44","1","72","4588","オンコリス","東Ｇ","5,790","-600","-9.39","0","25,419","+13,442","+112.2%","1","－","52.46","－"
"29","↑11","1","40","8058","三菱商","東Ｐ","4,930","+20","+0.41","1","25,048","+2,046","+8.9%","1","16.4","1.87","2.54"
"30","↑8","2","38","6752","パナＨＤ","東Ｐ","4,364","+159","+3.78","3","24,852","+1,312","+5.6%","2","22.6","1.88","1.24"
"31","↓7","0","24","7013","ＩＨＩ","東Ｐ","2,764.5","-8.0","-0.29","0","24,768","-17,360","-41.2%","0","17.0","4.21","0.83"
"32","↑20","1","52","4063","信越化","東Ｐ","5,816","+123","+2.16","1","24,762","+6,596","+36.3%","1","20.1","2.32","2.34"
