順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","77,860","+5,990","+8.33","2","3,113,673","-460,978","-12.9%","0","－","30.46","－"
"2","→","0","2","6976","太陽誘電","東Ｐ","14,680","-285","-1.90","2","396,730","+8,028","+2.1%","2","102","5.33","0.61"
"3","→","0","3","6981","村田製","東Ｐ","9,475","+448","+4.96","2","278,086","-106,225","-27.6%","0","58.9","6.34","0.74"
"4","↑1","1","5","8035","東エレク","東Ｐ","71,060","+3,710","+5.51","2","260,847","-29,501","-10.2%","0","－","15.79","－"
"5","↑1","2","6","6857","アドテスト","東Ｐ","29,160","+1,615","+5.86","1","259,921","-28,598","-9.9%","0","45.4","26.53","－"
"6","↑1","1","7","9984","ＳＢＧ","東Ｐ","5,757","-6","-0.10","2","242,000","-292","-0.1%","0","－","1.86","0.19"
"7","↑1","1","8","5803","フジクラ","東Ｐ","4,938","+114","+2.36","2","227,100","+27,545","+13.8%","3","35.7","14.59","0.77"
"8","↓4","0","4","1570","日経レバ","東Ｅ","74,350","+1,850","+2.55","2","217,122","-103,807","-32.3%","0","－","－","－"
"9","→","0","9","4062","イビデン","東Ｐ","19,520","+420","+2.20","3","156,354","-18,791","-10.7%","0","94.0","9.91","0.18"
"10","→","0","10","6920","レーザーテク","東Ｐ","43,020","+1,020","+2.43","2","115,200","-8,545","-6.9%","0","53.6","17.10","0.76"
"11","↑2","3","13","9983","ファストリ","東Ｐ","85,170","-1,930","-2.22","0","104,860","-11,727","-10.1%","0","52.3","9.58","0.75"
"12","→","0","12","6146","ディスコ","東Ｐ","71,510","+3,280","+4.81","2","100,892","-19,265","-16.0%","0","－","13.22","－"
"13","↑1","2","14","6525","コクサイエレ","東Ｐ","10,810","+976","+9.92","2","92,496","-12,382","-11.8%","0","65.0","11.51","0.43"
"14","↓3","0","11","8306","三菱ＵＦＪ","東Ｐ","3,414.0","-19.0","-0.55","0","89,706","-33,607","-27.3%","0","14.2","1.73","2.81"
"15","↑1","3","16","5016","ＪＸ金属","東Ｐ","3,870.0","+189.0","+5.13","1","85,454","-6,158","-6.7%","0","30.3","4.76","0.52"
"16","↑4","1","20","6723","ルネサス","東Ｐ","4,817","+155","+3.32","1","76,996","-2,019","-2.6%","0","－","3.44","－"
