順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","58,000","+1,000","+1.75","2","1,594,947","-130,452","-7.6%","0","－","12.84","－"
"2","→","0","2","9984","ＳＢＧ","東Ｐ","6,794","-16","-0.23","0","521,112","-141,017","-21.3%","0","－","2.10","0.16"
"3","↑1","1","4","6976","太陽誘電","東Ｐ","9,427","+455","+5.07","2","305,634","+37,340","+13.9%","2","43.0","3.39","0.95"
"4","↓1","0","3","6857","アドテスト","東Ｐ","33,910","+1,070","+3.26","1","279,180","-18,240","-6.1%","0","37.1","23.48","－"
"5","→","0","5","5803","フジクラ","東Ｐ","5,224","-269","-4.90","0","170,233","-93,180","-35.4%","0","26.5","14.21","0.73"
"6","→","0","6","4062","イビデン","東Ｐ","20,705","-715","-3.34","0","157,299","-80,647","-33.9%","0","69.7","10.21","0.17"
"7","↑3","1","10","6981","村田製","東Ｐ","7,561","+433","+6.07","2","145,297","+18,904","+15.0%","1","40.5","4.97","0.93"
"8","↑3","1","11","1570","日経レバ","東Ｅ","66,930","-40","-0.06","2","140,318","+16,406","+13.2%","1","－","－","－"
"9","↓2","0","7","6920","レーザーテク","東Ｐ","36,240","+960","+2.72","2","136,479","-83,293","-37.9%","0","36.1","13.16","0.97"
"10","↓2","0","8","8035","東エレク","東Ｐ","52,730","-970","-1.81","0","130,520","-20,969","-13.8%","0","－","11.26","－"
"11","↑5","2","16","7974","任天堂","東Ｐ","7,997","-404","-4.81","0","105,819","+34,751","+48.9%","4","29.7","3.16","2.03"
"12","→","0","12","8306","三菱ＵＦＪ","東Ｐ","3,650.0","+49.0","+1.36","1","104,764","+8,039","+8.3%","1","15.2","1.81","2.63"
"13","↓4","0","9","5801","古河電","東Ｐ","4,044","-85","-2.06","0","80,469","-65,515","-44.9%","0","27.1","6.51","0.54"
"14","↑1","4","15","6146","ディスコ","東Ｐ","53,480","-110","-0.21","2","78,605","+4,882","+6.6%","3","－","9.99","－"
"15","↑2","2","17","9983","ファストリ","東Ｐ","66,400","-460","-0.69","1","65,070","+3,620","+5.9%","2","40.7","7.47","0.96"
"16","↓3","0","13","6525","コクサイエレ","東Ｐ","8,808","+133","+1.53","2","64,555","-30,506","-32.1%","0","37.0","9.13","0.74"
"17","↓3","0","14","5016","ＪＸ金属","東Ｐ","3,813","-96","-2.46","0","59,401","-20,379","-25.5%","0","24.2","5.30","0.52"
