順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","71,870","-530","-0.73","1","3,574,651","+135,387","+3.9%","2","－","28.11","－"
"2","↑1","1","3","6976","太陽誘電","東Ｐ","14,965","-1,390","-8.50","1","388,702","+55,708","+16.7%","1","104","5.44","0.60"
"3","↓1","0","2","6981","村田製","東Ｐ","9,027","-185","-2.01","1","384,311","-34,789","-8.3%","0","56.1","6.04","0.78"
"4","→","0","4","1570","日経レバ","東Ｅ","72,500","-2,900","-3.85","1","320,929","+35,123","+12.3%","2","－","－","－"
"5","→","0","5","8035","東エレク","東Ｐ","67,350","-2,120","-3.05","1","290,348","+16,151","+5.9%","2","－","14.96","－"
"6","↑1","1","7","6857","アドテスト","東Ｐ","27,545","-1,355","-4.69","0","288,519","+60,466","+26.5%","2","42.8","25.06","－"
"7","↓1","0","6","9984","ＳＢＧ","東Ｐ","5,763","-8","-0.14","1","242,292","-28,602","-10.6%","0","－","1.86","0.19"
"8","→","0","8","5803","フジクラ","東Ｐ","4,824","-248","-4.89","1","199,555","+12,295","+6.6%","2","34.9","14.25","0.79"
"9","↑1","1","10","4062","イビデン","東Ｐ","19,100","-795","-4.00","2","175,145","+17,309","+11.0%","2","92.0","9.70","0.18"
"10","↑1","2","11","6920","レーザーテク","東Ｐ","42,000","-2,050","-4.65","1","123,745","-9,306","-7.0%","0","52.3","16.70","0.78"
"11","↓2","0","9","8306","三菱ＵＦＪ","東Ｐ","3,433.0","-13.0","-0.38","0","123,313","-61,536","-33.3%","0","14.3","1.73","2.80"
"12","→","0","12","6146","ディスコ","東Ｐ","68,230","-3,670","-5.10","1","120,157","-7,851","-6.1%","0","－","12.62","－"
"13","↑1","2","14","9983","ファストリ","東Ｐ","87,100","-800","-0.91","0","116,587","+3,905","+3.5%","2","55.7","10.15","0.73"
