順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","54,700","+3,030","+5.86","2","1,615,501","+470,174","+41.1%","1","－","12.11","－"
"2","↑8","1","10","9984","ＳＢＧ","東Ｐ","5,591","+590","+11.80","2","398,198","+245,189","+160.2%","1","－","1.73","0.20"
"3","→","0","3","6976","太陽誘電","東Ｐ","9,512","+655","+7.40","2","287,793","+53,975","+23.1%","2","43.4","3.42","0.95"
"4","↓2","0","2","6857","アドテスト","東Ｐ","32,890","+610","+1.89","2","219,629","-24,650","-10.1%","0","36.0","22.77","－"
"5","→","0","5","5803","フジクラ","東Ｐ","5,059","+108","+2.18","2","168,299","-11,774","-6.5%","0","25.7","13.76","0.75"
"6","→","0","6","8306","三菱ＵＦＪ","東Ｐ","3,779","+25","+0.67","0","165,223","-11,081","-6.3%","0","15.8","1.87","2.54"
"7","↑1","1","8","1570","日経レバ","東Ｅ","66,990","+1,730","+2.65","2","156,272","-2,220","-1.4%","0","－","－","－"
"8","↓1","0","7","4062","イビデン","東Ｐ","20,455","+735","+3.73","1","151,307","-15,576","-9.3%","0","68.8","10.09","0.17"
"9","↑3","1","12","6981","村田製","東Ｐ","7,166","+265","+3.84","2","126,067","+23,162","+22.5%","1","38.6","4.73","0.98"
"10","↑1","1","11","8035","東エレク","東Ｐ","53,640","+340","+0.64","2","118,076","-6,581","-5.3%","0","－","11.46","－"
"11","↓7","0","4","593A","ティアフォー","東Ｇ","2,870","-700","-19.61","0","113,732","-114,128","-50.1%","0","－","18.61","－"
"12","↑5","1","17","278A","テラドローン","東Ｇ","20,380","+1,900","+10.28","1","111,994","+49,380","+78.9%","1","－","47.31","－"
"13","↓4","0","9","6920","レーザーテク","東Ｐ","33,150","-540","-1.60","0","101,296","-54,246","-34.9%","0","33.0","12.04","1.06"
"14","↑31","5","45","336A","ダイナマップ","東Ｇ","1,520","-259","-14.56","0","88,464","+66,350","+300.0%","1","－","5.68","－"
"15","↓1","0","14","8316","三井住友ＦＧ","東Ｐ","7,091","+2","+0.03","0","83,320","-9,958","-10.7%","0","15.8","1.67","2.54"
"16","↑6","1","22","6098","リクルート","東Ｐ","16,245","-190","-1.16","0","75,718","+29,445","+63.6%","1","29.8","12.68","0.16"
"17","↑3","1","20","5801","古河電","東Ｐ","3,848.0","+235.0","+6.50","1","72,845","+19,477","+36.5%","1","25.8","6.19","0.57"
