順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","77,000","-860","-1.10","0","3,224,111","0","0.0%","0","－","30.12","－"
"2","→","0","2","9984","ＳＢＧ","東Ｐ","6,370","+613","+10.65","0","458,037","0","0.0%","0","－","2.06","0.17"
"3","→","0","3","6981","村田製","東Ｐ","9,860","+385","+4.06","0","322,479","0","0.0%","0","61.3","6.60","0.71"
"4","→","0","4","6976","太陽誘電","東Ｐ","14,730","+50","+0.34","0","316,610","0","0.0%","0","102","5.35","0.61"
"5","→","0","5","8035","東エレク","東Ｐ","72,940","+1,880","+2.65","0","286,296","0","0.0%","0","－","16.20","－"
"6","→","0","6","1570","日経レバ","東Ｅ","75,850","+1,500","+2.02","0","240,739","0","0.0%","0","－","－","－"
"7","→","0","7","5803","フジクラ","東Ｐ","5,150","+212","+4.29","0","224,784","0","0.0%","0","37.2","15.22","0.74"
"8","→","0","8","6857","アドテスト","東Ｐ","29,830","+670","+2.30","0","220,886","0","0.0%","0","46.4","27.14","－"
"9","→","0","9","9983","ファストリ","東Ｐ","82,110","-3,060","-3.59","0","203,603","0","0.0%","0","50.4","9.23","0.78"
"10","→","0","10","4062","イビデン","東Ｐ","20,300","+780","+4.00","0","127,904","0","0.0%","0","97.7","10.31","0.17"
"11","→","0","11","8306","三菱ＵＦＪ","東Ｐ","3,461.0","+47.0","+1.38","0","121,322","0","0.0%","0","14.4","1.75","2.77"
"12","→","0","12","6920","レーザーテク","東Ｐ","44,380","+1,360","+3.16","0","108,046","0","0.0%","0","55.2","17.64","0.74"
"13","→","0","13","3436","ＳＵＭＣＯ","東Ｐ","5,244","+700","+15.40","0","98,996","0","0.0%","0","－","3.22","－"
"14","→","0","14","6146","ディスコ","東Ｐ","72,560","+1,050","+1.47","0","97,894","0","0.0%","0","－","13.42","－"
"15","→","0","15","5016","ＪＸ金属","東Ｐ","3,962","+92","+2.38","0","96,550","0","0.0%","0","31.1","4.87","0.50"
"16","→","0","16","6525","コクサイエレ","東Ｐ","10,840","+30","+0.28","0","85,331","0","0.0%","0","65.2","11.54","0.43"
"17","→","0","17","7203","トヨタ","東Ｐ","2,823.0","-1.0","-0.04","0","75,499","0","0.0%","0","11.1","0.84","3.54"
"18","→","0","18","5802","住友電","東Ｐ","2,582.0","+181.0","+7.54","0","73,455","0","0.0%","0","25.2","2.94","1.51"
"19","→","0","19","8316","三井住友ＦＧ","東Ｐ","6,814","-2","-0.03","0","70,694","0","0.0%","0","15.2","1.64","2.64"
"20","→","0","20","6098","リクルート","東Ｐ","12,240","-265","-2.12","0","64,974","0","0.0%","0","27.3","10.74","0.21"
"21","→","0","21","5801","古河電","東Ｐ","3,725.0","+182.0","+5.14","0","63,871","0","0.0%","0","32.0","6.28","0.59"
"22","→","0","22","6723","ルネサス","東Ｐ","4,762","-55","-1.14","0","63,846","0","0.0%","0","－","3.40","－"
"23","→","0","23","8411","みずほＦＧ","東Ｐ","8,307","+93","+1.13","0","61,187","0","0.0%","0","15.5","1.79","1.81"
"24","→","0","24","4063","信越化","東Ｐ","7,320","+310","+4.42","0","60,972","0","0.0%","0","－","3.03","－"
