順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","52,890","+2,940","+5.89","1","2,312,810","-120,987","-5.0%","0","－","11.70","－"
"2","→","0","2","5803","フジクラ","東Ｐ","5,340","+12","+0.23","1","285,893","-90,496","-24.0%","0","27.1","14.53","0.71"
"3","↑3","1","6","6976","太陽誘電","東Ｐ","9,647","-39","-0.40","2","236,165","+28,786","+13.9%","1","43.3","3.41","0.93"
"4","↓1","0","3","6857","アドテスト","東Ｐ","35,390","+370","+1.06","2","231,679","-118,483","-33.8%","0","38.7","24.51","－"
"5","↓1","0","4","9984","ＳＢＧ","東Ｐ","5,388","+161","+3.08","1","175,795","-70,903","-28.7%","0","－","1.67","0.20"
"6","↓1","0","5","1570","日経レバ","東Ｅ","69,380","+1,640","+2.42","1","158,253","-78,064","-33.0%","0","－","－","－"
"7","→","0","7","6981","村田製","東Ｐ","7,196","-135","-1.84","0","135,300","-60,505","-30.9%","0","38.8","4.75","0.97"
"8","↑1","2","9","4062","イビデン","東Ｐ","19,005","-710","-3.60","1","130,040","-35,224","-21.3%","0","63.6","9.32","0.18"
"9","↓1","0","8","8035","東エレク","東Ｐ","53,790","-870","-1.59","2","129,684","-41,528","-24.3%","0","－","11.49","－"
"10","↑1","3","11","8306","三菱ＵＦＪ","東Ｐ","3,458.0","-37.0","-1.06","1","108,222","-45,123","-29.4%","0","14.4","1.71","2.78"
"11","↓1","0","10","5801","古河電","東Ｐ","3,842","+72","+1.91","1","97,626","-55,883","-36.4%","0","25.7","6.19","0.57"
"12","↑2","1","14","6920","レーザーテク","東Ｐ","35,040","-170","-0.48","2","79,572","-1,561","-1.9%","0","34.9","12.72","1.00"
"13","↑6","3","19","7203","トヨタ","東Ｐ","3,074.0","+133.0","+4.52","1","76,059","+12,472","+19.6%","3","11.2","0.98","3.25"
"14","↑1","1","15","6146","ディスコ","東Ｐ","60,090","+330","+0.55","2","66,538","-13,951","-17.3%","0","－","11.22","－"
"15","↑2","2","17","7974","任天堂","東Ｐ","8,813","+236","+2.75","1","63,946","-6,020","-8.6%","0","32.8","3.48","1.84"
"16","↑7","1","23","5706","三井金属","東Ｐ","28,620","+1,115","+4.05","1","54,662","+661","+1.2%","1","20.5","3.88","0.98"
"17","↓5","0","12","8316","三井住友ＦＧ","東Ｐ","6,538","-30","-0.46","1","53,813","-30,266","-36.0%","0","14.6","1.54","2.75"
"18","↓2","0","16","5016","ＪＸ金属","東Ｐ","3,608.0","+47.0","+1.32","1","52,085","-22,972","-30.6%","0","22.9","5.02","0.55"
"19","↓6","0","13","8411","みずほＦＧ","東Ｐ","8,062","-46","-0.57","1","48,913","-32,226","-39.7%","0","14.0","1.70","1.86"
"20","↑29","1","49","5713","住友鉱","東Ｐ","10,640","+1,043","+10.87","1","45,698","+19,503","+74.5%","3","13.2","1.34","1.95"
"21","↑1","1","22","9983","ファストリ","東Ｐ","76,500","+1,560","+2.08","2","44,010","-11,169","-20.2%","0","46.9","8.60","0.84"
"22","↑7","1","29","3436","ＳＵＭＣＯ","東Ｐ","3,443.0","-74.0","-2.10","1","40,648","-1,326","-3.2%","0","－","2.12","－"
"23","↓5","0","18","7011","三菱重","東Ｐ","4,048","-49","-1.20","1","40,593","-26,128","-39.2%","0","35.8","4.29","0.72"
"24","↑37","1","61","5401","日本製鉄","東Ｐ","660.3","-17.6","-2.60","0","39,879","+19,099","+91.9%","1","11.9","0.61","3.63"
"25","↑1","1","26","5802","住友電","東Ｐ","2,218.0","+8.0","+0.36","1","36,382","-11,197","-23.5%","0","20.4","2.44","1.76"
"26","↓6","0","20","6525","コクサイエレ","東Ｐ","8,071","-34","-0.42","2","36,237","-25,704","-41.5%","0","33.9","8.37","0.81"
"27","↓6","0","21","6723","ルネサス","東Ｐ","3,477.0","+15.0","+0.43","1","34,901","-21,940","-38.6%","0","－","2.23","－"
"28","↓3","0","25","6501","日立","東Ｐ","5,254","+29","+0.56","1","34,506","-15,581","-31.1%","0","26.0","3.57","－"
"29","↑5","1","34","6098","リクルート","東Ｐ","16,105","+365","+2.32","2","32,650","-5,655","-14.8%","0","29.6","12.58","0.16"
"30","↑2","1","32","6758","ソニーＧ","東Ｐ","3,777.0","+88.0","+2.39","3","32,414","-7,790","-19.4%","0","18.3","2.64","0.93"
"31","↓7","0","24","6861","キーエンス","東Ｐ","80,690","+1,040","+1.31","1","30,900","-19,337","-38.5%","0","－","5.51","0.68"
"32","↑21","1","53","7267","ホンダ","東Ｐ","1,738.5","+76.5","+4.60","1","27,484","+4,593","+20.1%","1","16.9","0.55","4.03"
"33","↑15","1","48","9432","ＮＴＴ","東Ｐ","160.9","+1.5","+0.94","2","27,481","+1,245","+4.7%","2","13.3","1.33","3.36"
"34","↑1","2","35","6305","日立建機","東Ｐ","5,635","+215","+3.97","1","27,069","-10,195","-27.4%","0","14.3","1.30","3.37"
