順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","51,200","+1,210","+2.42","0","1,468,568","-154,995","-9.5%","0","－","11.34","－"
"2","↑2","1","4","5803","フジクラ","東Ｐ","5,308","-196","-3.56","0","218,614","-23,664","-9.8%","0","27.0","14.44","0.72"
"3","↓1","0","2","6857","アドテスト","東Ｐ","33,440","-250","-0.74","1","197,996","-71,718","-26.6%","0","36.6","23.15","－"
"4","↑209","1","213","593A","ティアフォー","東Ｇ","2,491","+92","+3.83","0","194,008","+190,012","+4755.1%","1","－","16.16","－"
"5","→","0","5","6976","太陽誘電","東Ｐ","9,302","+118","+1.28","1","185,619","+1,940","+1.1%","1","42.5","3.34","0.97"
"6","↑4","1","10","8035","東エレク","東Ｐ","55,000","-1,440","-2.55","0","133,349","+29,478","+28.4%","1","－","11.75","－"
"7","↓1","0","6","1570","日経レバ","東Ｅ","69,670","-20","-0.03","1","131,549","-39,685","-23.2%","0","－","－","－"
"8","↑3","1","11","8306","三菱ＵＦＪ","東Ｐ","3,725.0","+45.0","+1.22","1","130,706","+33,289","+34.2%","1","15.5","1.85","2.58"
"9","↓1","0","8","6981","村田製","東Ｐ","7,322","+131","+1.82","1","128,104","+5,321","+4.3%","1","39.4","4.83","0.96"
"10","↓1","0","9","4062","イビデン","東Ｐ","20,680","+225","+1.10","0","127,986","+21,605","+20.3%","1","69.6","10.20","0.17"
"11","↓4","0","7","9984","ＳＢＧ","東Ｐ","5,261","+61","+1.17","2","127,809","-8,788","-6.4%","0","－","1.63","0.21"
"12","↓9","0","3","278A","テラドローン","東Ｇ","17,770","0","0.00%","1","127,337","-122,843","-49.1%","0","－","41.25","－"
"13","↑1","1","14","5801","古河電","東Ｐ","3,866","-154","-3.83","0","77,772","+4,642","+6.3%","1","25.9","6.22","0.57"
"14","↑4","2","18","7203","トヨタ","東Ｐ","3,252.0","+96.0","+3.04","1","74,642","+14,201","+23.5%","4","11.8","1.03","3.08"
"15","↓2","0","13","6920","レーザーテク","東Ｐ","33,100","-540","-1.61","1","67,645","-5,642","-7.7%","0","33.0","12.02","1.06"
