順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","52,490","+3,330","+6.77","1","2,564,127","-825,835","-24.4%","0","－","11.96","－"
"2","→","0","2","6857","アドテスト","東Ｐ","31,120","-310","-0.99","1","287,689","-2,436","-0.8%","0","34.1","21.56","－"
"3","↑1","1","4","9984","ＳＢＧ","東Ｐ","5,238","-155","-2.87","0","254,516","-14,884","-5.5%","0","－","1.69","0.21"
"4","↑6","1","10","5803","フジクラ","東Ｐ","4,649","+359","+8.37","1","236,120","+80,251","+51.5%","1","33.6","13.74","0.82"
"5","↑18","1","23","7011","三菱重","東Ｐ","4,093","+294","+7.74","1","207,574","+134,118","+182.6%","1","36.2","4.34","0.71"
"6","↓1","0","5","8035","東エレク","東Ｐ","56,540","+1,550","+2.82","1","186,322","-41,602","-18.3%","0","－","12.07","－"
"7","↓1","0","6","6976","太陽誘電","東Ｐ","10,240","+325","+3.28","1","184,836","-15,305","-7.6%","0","74.1","3.87","0.88"
"8","↑8","2","16","7203","トヨタ","東Ｐ","2,904.0","-59.5","-2.01","1","184,450","+76,552","+70.9%","2","10.6","0.92","3.44"
"9","↓2","0","7","1570","日経レバ","東Ｅ","65,160","+550","+0.85","1","180,386","+2,646","+1.5%","1","－","－","－"
"10","↓7","0","3","6981","村田製","東Ｐ","7,087","-74","-1.03","1","178,197","-109,118","-38.0%","0","38.2","4.68","0.99"
"11","↓3","0","8","6920","レーザーテク","東Ｐ","44,090","+3,180","+7.77","0","157,817","-17,164","-9.8%","0","54.9","17.53","0.75"
"12","↑1","1","13","4062","イビデン","東Ｐ","16,470","+935","+6.02","1","154,374","+32,985","+27.2%","1","79.4","8.37","0.21"
"13","↓4","0","9","8306","三菱ＵＦＪ","東Ｐ","3,472.0","-95.0","-2.66","0","152,088","-13,408","-8.1%","0","14.5","1.72","2.76"
"14","↑21","1","35","5801","古河電","東Ｐ","3,581.0","+381.0","+11.91","1","98,663","+53,599","+118.9%","1","30.7","6.04","0.61"
"15","↓4","0","11","6146","ディスコ","東Ｐ","60,950","+430","+0.71","0","96,353","-45,728","-32.2%","0","－","11.38","－"
"16","↑10","1","26","5016","ＪＸ金属","東Ｐ","3,992","+148","+3.85","1","82,983","+20,801","+33.5%","1","31.3","4.91","0.50"
"17","→","0","17","6525","コクサイエレ","東Ｐ","8,246","+461","+5.92","1","72,355","-25,499","-26.1%","0","49.5","8.77","0.57"
"18","→","0","18","9983","ファストリ","東Ｐ","78,800","-800","-1.01","0","65,920","-18,066","-21.5%","0","48.4","8.86","0.81"
