順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","47,800","-4,700","-8.95","0","1,551,595","-307,799","-16.6%","0","－","10.58","－"
"2","↑2","1","4","6976","太陽誘電","東Ｐ","9,239","+339","+3.81","2","287,292","+10,594","+3.8%","3","42.2","3.32","0.97"
"3","↓1","0","2","6857","アドテスト","東Ｐ","35,490","+880","+2.54","1","276,856","-90,407","-24.6%","0","38.8","24.57","－"
"4","↓1","0","3","5803","フジクラ","東Ｐ","5,338","-162","-2.95","0","203,717","-87,001","-29.9%","0","27.1","14.52","0.71"
"5","↑5","4","10","278A","テラドローン","東Ｇ","21,640","+2,410","+12.53","0","155,357","+38,306","+32.7%","4","－","50.23","－"
"6","→","0","6","6981","村田製","東Ｐ","7,429","+120","+1.64","2","138,949","-23,262","-14.3%","0","40.0","4.90","0.94"
"7","↑1","1","8","1570","日経レバ","東Ｅ","69,830","+580","+0.84","1","136,961","-20,319","-12.9%","0","－","－","－"
"8","↑1","1","9","8035","東エレク","東Ｐ","56,030","+30","+0.05","0","119,878","+2,062","+1.8%","1","－","11.97","－"
"9","↓4","0","5","4062","イビデン","東Ｐ","20,190","-355","-1.73","0","119,875","-59,831","-33.3%","0","67.9","9.96","0.17"
"10","↓3","0","7","9984","ＳＢＧ","東Ｐ","5,153","-47","-0.90","0","105,702","-53,990","-33.8%","0","－","1.59","0.21"
"11","↑1","1","12","8306","三菱ＵＦＪ","東Ｐ","3,658.0","+50.0","+1.39","1","99,924","+13,591","+15.7%","3","15.2","1.81","2.62"
"12","↑7","1","19","7974","任天堂","東Ｐ","9,053","+325","+3.72","1","73,846","+26,088","+54.6%","1","33.7","3.58","1.79"
"13","↓2","0","11","5801","古河電","東Ｐ","3,897","-192","-4.70","0","73,330","-34,260","-31.8%","0","26.1","6.27","0.56"
"14","↑13","2","27","593A","ティアフォー","東Ｇ","1,999","+400","+25.02","2","70,721","+32,300","+84.1%","2","－","12.97","－"
"15","↑5","1","20","6098","リクルート","東Ｐ","17,785","+815","+4.80","1","63,868","+16,466","+34.7%","1","32.7","13.89","0.15"
"16","↑1","1","17","8316","三井住友ＦＧ","東Ｐ","6,894","+100","+1.47","1","62,438","+13,629","+27.9%","1","15.4","1.62","2.61"
"17","↑28","2","45","3103","ユニチカ","東Ｓ","1,690","+101","+6.36","0","53,385","+32,394","+154.3%","2","20.6","2.91","－"
"18","↓4","0","14","6146","ディスコ","東Ｐ","59,370","-410","-0.69","1","51,987","-19,622","-27.4%","0","－","11.09","－"
"19","↓6","0","13","6920","レーザーテク","東Ｐ","34,580","-30","-0.09","0","51,905","-24,733","-32.3%","0","34.4","12.56","1.02"
"20","↓4","0","16","6525","コクサイエレ","東Ｐ","8,968","+246","+2.82","0","51,219","+1,349","+2.7%","2","37.7","9.30","0.72"
"21","↑5","1","26","6501","日立","東Ｐ","5,567","+134","+2.47","0","50,767","+12,326","+32.1%","3","27.6","3.78","－"
"22","↓1","0","21","7203","トヨタ","東Ｐ","3,129.0","+52.0","+1.69","3","48,289","+2,407","+5.2%","2","11.4","0.99","3.20"
"23","↓8","0","15","5016","ＪＸ金属","東Ｐ","3,811","+19","+0.50","1","47,594","-15,985","-25.1%","0","24.2","5.30","0.52"
"24","↓1","0","23","9983","ファストリ","東Ｐ","71,160","-380","-0.53","0","46,174","+5,756","+14.2%","2","43.7","8.00","0.90"
"25","→","0","25","8411","みずほＦＧ","東Ｐ","8,459","+119","+1.43","1","42,350","+3,358","+8.6%","1","14.7","1.79","1.77"
"26","↑22","1","48","6330","東洋エンジ","東Ｐ","2,780","+123","+4.63","0","39,429","+18,669","+89.9%","1","27.2","4.19","0.90"
"27","↓9","0","18","7011","三菱重","東Ｐ","4,037","+52","+1.30","0","37,528","-10,739","-22.2%","0","35.7","4.28","0.72"
"28","↑13","2","41","6723","ルネサス","東Ｐ","3,410.0","+30.0","+0.89","3","34,635","+11,993","+53.0%","1","－","2.19","－"
"29","↓1","0","28","5802","住友電","東Ｐ","2,180.0","-75.0","-3.33","0","33,177","-4,337","-11.6%","0","20.0","2.40","1.79"
"30","↑2","1","32","6758","ソニーＧ","東Ｐ","3,945","+75","+1.94","1","32,674","+1,563","+5.0%","3","19.1","2.76","0.89"
"31","↓7","0","24","3436","ＳＵＭＣＯ","東Ｐ","3,420.0","-14.0","-0.41","0","32,332","-7,973","-19.8%","0","－","2.11","－"
"32","↑3","4","35","6701","ＮＥＣ","東Ｐ","4,916","+181","+3.82","3","30,170","+3,379","+12.6%","4","－","2.92","0.81"
"33","↑79","1","112","3350","メタプラ","東Ｓ","340","+36","+11.84","2","27,265","+18,612","+215.1%","1","－","1.28","－"
"34","↑31","4","65","8308","りそなＨＤ","東Ｐ","2,514.0","+72.5","+2.97","1","26,530","+11,323","+74.5%","2","17.0","1.87","1.47"
"35","↑28","2","63","6702","富士通","東Ｐ","3,916","+163","+4.34","2","25,087","+9,513","+61.1%","2","21.9","3.33","1.40"
"36","↓3","0","33","8766","東京海上","東Ｐ","7,716","+87","+1.14","1","25,015","-3,134","-11.1%","0","17.6","1.78","3.18"
"37","↑9","1","46","7936","アシックス","東Ｐ","4,594","+127","+2.84","2","24,382","+3,415","+16.3%","1","27.1","9.08","0.96"
"38","↓16","0","22","5713","住友鉱","東Ｐ","11,525","+125","+1.10","1","24,381","-16,793","-40.8%","0","14.3","1.45","1.80"
"39","↑50","2","89","8591","オリックス","東Ｐ","6,224","-121","-1.91","0","22,956","+11,746","+104.8%","2","12.8","1.44","3.01"
"40","↓3","0","37","7735","スクリン","東Ｐ","13,695","+160","+1.18","0","22,218","-3,542","-13.8%","0","22.5","5.21","1.34"
"41","↑3","1","44","4063","信越化","東Ｐ","6,009","+16","+0.27","0","22,195","+990","+4.7%","1","20.8","2.40","1.93"
"42","↓13","0","29","5706","三井金属","東Ｐ","29,040","+190","+0.66","1","21,589","-13,811","-39.0%","0","20.8","3.94","0.96"
"43","↑6","2","49","6861","キーエンス","東Ｐ","83,290","+1,140","+1.39","2","21,506","+1,389","+6.9%","2","－","5.69","0.66"
"44","↓5","0","39","7013","ＩＨＩ","東Ｐ","2,767.5","+47.5","+1.75","0","21,209","-2,673","-11.2%","0","17.1","4.21","0.83"
"45","↑15","3","60","7741","ＨＯＹＡ","東Ｐ","24,390","-75","-0.31","1","21,032","+5,153","+32.5%","3","－","8.03","－"
"46","↓8","0","38","6506","安川電","東Ｐ","4,813","-70","-1.43","1","20,989","-3,823","-15.4%","0","26.6","2.57","1.50"
"47","↓17","0","30","6752","パナＨＤ","東Ｐ","4,426","+51","+1.17","1","20,173","-11,364","-36.0%","0","23.0","1.91","1.22"
"48","↓6","0","42","6954","ファナック","東Ｐ","6,074","+51","+0.85","2","20,019","-2,094","-9.5%","0","28.6","3.00","－"
"49","↓13","0","36","4004","レゾナック","東Ｐ","16,190","-200","-1.22","0","19,873","-6,023","-23.3%","0","27.3","3.90","0.40"
"50","↑126","1","176","3905","データセク","東Ｇ","1,714","+175","+11.37","2","19,460","+14,328","+279.2%","1","6.8","2.35","－"
"51","↑1","1","52","7267","ホンダ","東Ｐ","1,703.5","+41.0","+2.47","3","19,293","+899","+4.9%","1","16.6","0.54","4.11"
"52","↓18","0","34","8136","サンリオ","東Ｐ","1,266.0","+17.5","+1.40","0","19,232","-8,747","-31.3%","0","24.1","9.41","1.26"
"53","↓10","0","43","7012","川重","東Ｐ","2,619.5","-7.0","-0.27","0","18,701","-2,547","-12.0%","0","19.9","2.58","1.53"
"54","→","0","54","8058","三菱商","東Ｐ","4,780","+43","+0.91","2","18,597","+1,417","+8.2%","1","15.9","1.82","2.62"
"55","↓15","0","40","9432","ＮＴＴ","東Ｐ","168.8","+0.6","+0.36","1","18,434","-4,404","-19.3%","0","14.0","1.39","3.20"
"56","↓6","0","50","6503","三菱電","東Ｐ","5,638","+75","+1.35","1","18,250","-1,285","-6.6%","0","23.3","2.52","1.06"
"57","↓2","0","55","1357","日経Ｄインバ","東Ｅ","2,726","-21","-0.76","0","18,249","+1,236","+7.3%","2","－","－","－"
"58","→","0","58","5711","三菱マ","東Ｐ","6,033","+89","+1.50","1","17,900","+1,559","+9.5%","1","5.6","1.02","1.92"
"59","↑18","2","77","581A","ＧＯ","東Ｇ","4,435","+285","+6.87","0","17,370","+4,476","+34.7%","2","32.4","14.54","－"
"60","↓9","0","51","9101","郵船","東Ｐ","7,110","+178","+2.57","2","16,280","-2,692","-14.2%","0","12.0","0.92","3.38"
"61","NEW","0","","4812","電通総研","東Ｐ","2,900","+161","+5.88","0","16,140","","","0","31.4","5.37","1.55"
"62","↑8","2","70","6361","荏原","東Ｐ","4,681","-140","-2.90","0","16,011","+2,012","+14.4%","2","21.4","4.01","1.41"
"63","↑6","2","69","6762","ＴＤＫ","東Ｐ","3,097.0","+20.0","+0.65","0","15,401","+1,250","+8.8%","2","26.1","2.56","1.29"
"64","↑16","2","80","3382","セブン＆アイ","東Ｐ","1,990.0","-23.0","-1.14","0","14,923","+2,491","+20.0%","2","16.2","1.22","3.02"
"65","↓8","0","57","8031","三井物","東Ｐ","4,965","+38","+0.77","2","14,458","-1,991","-12.1%","0","15.3","1.57","2.82"
"66","↓35","0","31","4082","稀元素","東Ｐ","2,823","-177","-5.90","0","14,008","-17,519","-55.6%","0","45.5","1.75","1.06"
"67","↓20","0","47","9104","商船三井","東Ｐ","7,086","+83","+1.19","2","13,719","-7,102","-34.1%","0","10.1","0.82","2.89"
"68","↑56","1","124","4568","第一三共","東Ｐ","2,923.5","+37.0","+1.28","1","13,660","+5,858","+75.1%","1","21.2","3.13","3.42"
"69","↑2","2","71","1321","野村日経平均","東Ｅ","68,700","+290","+0.42","1","13,488","-383","-2.8%","0","－","－","－"
"70","↑67","1","137","3563","Ｆ＆ＬＣ","東Ｐ","5,988","+186","+3.21","2","13,434","+6,464","+92.7%","1","43.2","10.92","0.33"
"71","↑10","2","81","2914","ＪＴ","東Ｐ","6,955","-46","-0.66","0","13,203","+790","+6.4%","2","19.2","2.81","3.91"
"72","↑4","1","76","6367","ダイキン","東Ｐ","20,905","+65","+0.31","1","13,194","+78","+0.6%","1","20.9","1.95","1.72"
"73","↑2","1","75","5401","日本製鉄","東Ｐ","677.0","+6.0","+0.89","1","13,100","-73","-0.6%","0","12.2","0.63","3.55"
"74","↓1","0","73","6890","フェローテク","東Ｓ","9,610","+120","+1.26","0","13,066","-534","-3.9%","0","10.8","1.60","2.77"
