順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","38,320","-6,230","-13.98","1","3,549,881","+1,795,049","+102.3%","1","－","15.01","－"
"2","↑3","2","5","8035","東エレク","東Ｐ","50,260","-5,660","-10.12","1","347,592","+132,208","+61.4%","2","－","11.17","－"
"3","→","0","3","6857","アドテスト","東Ｐ","25,175","-335","-1.31","1","345,429","+103,872","+43.0%","2","27.6","17.48","－"
"4","↓2","0","2","9984","ＳＢＧ","東Ｐ","4,736","-359","-7.05","0","313,415","+32,134","+11.4%","4","－","1.53","0.23"
"5","↑2","1","7","6976","太陽誘電","東Ｐ","8,997","-1,278","-12.44","0","289,982","+87,063","+42.9%","2","65.1","3.40","1.00"
"6","→","0","6","6981","村田製","東Ｐ","6,216","-937","-13.10","0","286,061","+75,649","+36.0%","2","38.6","4.16","1.13"
"7","↓3","0","4","1570","日経レバ","東Ｅ","60,180","-1,920","-3.09","1","244,303","+10,318","+4.4%","2","－","－","－"
"8","↑1","1","9","5803","フジクラ","東Ｐ","3,757","-316","-7.76","0","199,739","+44,813","+28.9%","1","27.2","11.10","1.01"
"9","↑9","2","18","7203","トヨタ","東Ｐ","3,228.0","+220.0","+7.31","1","165,845","+93,318","+128.7%","2","12.7","0.96","3.10"
"10","↓2","0","8","8306","三菱ＵＦＪ","東Ｐ","3,656.0","-5.0","-0.14","1","149,656","-42,900","-22.3%","0","15.2","1.85","2.63"
"11","↑3","3","14","7974","任天堂","東Ｐ","7,989","+330","+4.31","1","134,242","+39,107","+41.1%","3","29.7","3.12","2.03"
"12","↑15","1","27","6861","キーエンス","東Ｐ","77,590","+6,640","+9.36","1","133,643","+88,279","+194.6%","2","－","5.30","0.71"
"13","↓3","0","10","6920","レーザーテク","東Ｐ","34,350","-3,090","-8.25","1","131,912","+13,528","+11.4%","2","42.8","13.66","0.96"
"14","↓2","0","12","6146","ディスコ","東Ｐ","51,900","-3,000","-5.46","1","126,357","+19,742","+18.5%","1","－","9.69","－"
"15","↓4","0","11","4062","イビデン","東Ｐ","13,405","-1,450","-9.76","1","124,387","+13,701","+12.4%","1","64.6","6.81","0.26"
"16","↓3","0","13","9983","ファストリ","東Ｐ","80,900","+950","+1.19","0","108,636","+5,957","+5.8%","2","49.6","9.10","0.79"
"17","↓1","0","16","8316","三井住友ＦＧ","東Ｐ","6,897","-37","-0.53","1","95,769","+9,362","+10.8%","3","15.4","1.66","2.61"
"18","↑2","3","20","6758","ソニーＧ","東Ｐ","3,804.0","+142.0","+3.88","1","93,357","+34,634","+59.0%","3","19.3","2.75","0.92"
"19","↓4","0","15","8411","みずほＦＧ","東Ｐ","8,135","-75","-0.91","1","88,616","+2,013","+2.3%","2","15.2","1.75","1.84"
