順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","61,880","-2,390","-3.72","0","2,534,149","-797,359","-23.9%","0","－","24.24","－"
"2","→","0","2","6976","太陽誘電","東Ｐ","12,155","-380","-3.03","0","264,409","-132,919","-33.5%","0","88.0","4.60","0.74"
"3","↑2","1","5","6981","村田製","東Ｐ","8,538","+221","+2.66","0","247,416","-24,371","-9.0%","0","53.0","5.72","0.82"
"4","→","0","4","8035","東エレク","東Ｐ","65,950","-10","-0.02","1","238,216","-36,251","-13.2%","0","－","14.65","－"
"5","↓2","0","3","6857","アドテスト","東Ｐ","30,800","+1,215","+4.11","1","231,956","-51,438","-18.2%","0","47.9","28.02","－"
"6","→","0","6","9984","ＳＢＧ","東Ｐ","5,918","+215","+3.77","1","225,038","-18,761","-7.7%","0","－","1.91","0.19"
"7","↑4","1","11","8306","三菱ＵＦＪ","東Ｐ","3,750.0","+82.0","+2.24","0","216,287","+69,503","+47.4%","2","15.6","1.89","2.56"
"8","↑4","1","12","6920","レーザーテク","東Ｐ","45,130","+2,140","+4.98","3","165,982","+25,970","+18.5%","2","56.2","17.94","0.73"
"9","→","0","9","5803","フジクラ","東Ｐ","4,727","-24","-0.51","0","149,565","-37,823","-20.2%","0","34.2","13.97","0.80"
"10","↓3","0","7","1570","日経レバ","東Ｅ","70,470","+690","+0.99","1","139,231","-72,046","-34.1%","0","－","－","－"
"11","↓1","0","10","6146","ディスコ","東Ｐ","69,410","+820","+1.20","0","131,886","-29,309","-18.2%","0","－","12.96","－"
"12","↓4","0","8","4062","イビデン","東Ｐ","18,075","-175","-0.96","0","128,877","-63,970","-33.2%","0","87.1","9.18","0.19"
"13","→","0","13","8411","みずほＦＧ","東Ｐ","8,766","+237","+2.78","1","111,780","+10,835","+10.7%","2","16.4","1.88","1.71"
"14","↑2","2","16","8316","三井住友ＦＧ","東Ｐ","7,167","+95","+1.34","0","94,664","+1,436","+1.5%","2","16.0","1.72","2.51"
"15","↑2","2","17","5016","ＪＸ金属","東Ｐ","3,946","+175","+4.64","3","83,005","-3,922","-4.5%","0","30.9","4.85","0.51"
"16","↑3","1","19","7203","トヨタ","東Ｐ","2,950.0","+11.0","+0.37","1","72,000","-524","-0.7%","0","11.6","0.88","3.39"
"17","↓2","0","15","6525","コクサイエレ","東Ｐ","9,108","+367","+4.20","1","69,075","-25,057","-26.6%","0","54.8","9.70","0.52"
"18","↓4","0","14","9983","ファストリ","東Ｐ","77,090","-1,490","-1.90","1","67,894","-27,916","-29.1%","0","47.3","8.67","0.83"
"19","↓1","0","18","3436","ＳＵＭＣＯ","東Ｐ","3,744","-41","-1.08","1","60,367","-20,558","-25.4%","0","－","2.30","－"
"20","↑14","2","34","4063","信越化","東Ｐ","6,970","-105","-1.48","1","59,716","+14,463","+32.0%","2","－","2.89","－"
"21","↑7","1","28","7011","三菱重","東Ｐ","3,930","+38","+0.98","0","58,763","+5,502","+10.3%","2","34.8","4.28","0.74"
"22","↑49","1","71","593A","ティアフォー","東Ｇ","1,240","+225","+22.17","1","47,438","+27,839","+142.0%","1","－","6.86","－"
"23","↑3","1","26","7974","任天堂","東Ｐ","7,001","-2","-0.03","0","47,013","-12,363","-20.8%","0","26.0","2.73","2.31"
"24","↓2","0","22","7735","スクリン","東Ｐ","16,650","+150","+0.91","1","45,849","-15,922","-25.8%","0","28.6","6.47","1.05"
"25","↓2","0","23","5802","住友電","東Ｐ","2,512.0","+61.0","+2.49","0","42,899","-18,289","-29.9%","0","24.5","2.86","1.55"
"26","↓5","0","21","6723","ルネサス","東Ｐ","4,199","+24","+0.57","0","41,852","-20,875","-33.3%","0","－","3.00","－"
"27","↑8","1","35","6501","日立","東Ｐ","4,854","+47","+0.98","1","41,039","-2,990","-6.8%","0","25.5","3.30","－"
"28","↓3","0","25","6098","リクルート","東Ｐ","12,355","+50","+0.41","1","40,855","-19,488","-32.3%","0","27.5","10.84","0.21"
"29","↑2","1","31","6758","ソニーＧ","東Ｐ","3,445.0","+1.0","+0.03","1","40,163","-11,379","-22.1%","0","17.4","2.49","1.02"
"30","↓6","0","24","8058","三菱商","東Ｐ","4,916","+28","+0.57","0","38,789","-21,559","-35.7%","0","16.4","1.91","2.54"
"31","↑5","2","36","7012","川重","東Ｐ","2,781.0","+44.5","+1.63","0","36,881","-6,379","-14.7%","0","22.1","2.77","1.44"
"32","↓12","0","20","5801","古河電","東Ｐ","3,513.0","-12.0","-0.34","0","36,794","-26,323","-41.7%","0","30.1","5.93","0.63"
"33","↓4","0","29","6861","キーエンス","東Ｐ","72,260","+150","+0.21","0","35,946","-16,074","-30.9%","0","－","5.05","0.76"
"34","↑3","1","37","8766","東京海上","東Ｐ","7,958","-13","-0.16","0","35,580","-4,148","-10.4%","0","18.2","1.90","3.08"
"35","↑21","1","56","7013","ＩＨＩ","東Ｐ","2,889.0","+110.0","+3.96","1","34,996","+9,723","+38.5%","2","18.6","4.70","0.80"
"36","↑11","1","47","2914","ＪＴ","東Ｐ","6,369","-89","-1.38","0","34,616","+7,388","+27.1%","2","19.8","2.77","3.80"
