順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","53,660","+1,860","+3.59","0","2,420,786","+58,277","+2.5%","3","－","11.87","－"
"2","↑3","1","5","6857","アドテスト","東Ｐ","36,850","+910","+2.53","0","354,906","+95,766","+37.0%","4","40.3","25.53","－"
"3","→","0","3","6976","太陽誘電","東Ｐ","11,090","+155","+1.42","0","327,689","-16,232","-4.7%","0","49.8","3.92","0.81"
"4","↓2","0","2","5803","フジクラ","東Ｐ","5,677","-83","-1.44","0","306,731","-87,275","-22.2%","0","28.8","15.44","0.67"
"5","↓1","0","4","6981","村田製","東Ｐ","8,281","-30","-0.36","0","253,045","-57,838","-18.6%","0","44.6","5.46","0.85"
"6","↑4","2","10","9984","ＳＢＧ","東Ｐ","5,752","+177","+3.17","5","224,208","+90,287","+67.4%","2","－","1.78","0.19"
"7","→","0","7","1570","日経レバ","東Ｅ","74,970","+780","+1.05","0","203,097","+363","+0.2%","3","－","－","－"
"8","↓2","0","6","4062","イビデン","東Ｐ","20,665","-895","-4.15","0","183,655","-45,156","-19.7%","0","69.1","10.13","0.17"
"9","↓1","0","8","8035","東エレク","東Ｐ","59,190","-280","-0.47","0","175,056","+1,904","+1.1%","3","－","12.64","－"
"10","↑6","1","16","7974","任天堂","東Ｐ","8,903","+578","+6.94","1","150,164","+69,721","+86.7%","1","33.1","3.52","1.82"
"11","↑1","1","12","6920","レーザーテク","東Ｐ","38,790","-1,700","-4.20","0","140,610","+22,756","+19.3%","1","38.6","14.09","0.90"
"12","↓1","0","11","8306","三菱ＵＦＪ","東Ｐ","3,682","-27","-0.73","0","129,008","-4,127","-3.1%","0","15.3","1.83","2.61"
"13","↑58","1","71","7936","アシックス","東Ｐ","5,204","+438","+9.19","2","127,448","+112,134","+732.2%","1","30.7","10.29","0.85"
"14","↓5","0","9","5801","古河電","東Ｐ","4,047","-64","-1.56","1","101,222","-55,027","-35.2%","0","27.1","6.52","0.54"
"15","→","0","15","6525","コクサイエレ","東Ｐ","9,181","+166","+1.84","0","94,154","+10,881","+13.1%","3","38.6","9.52","0.71"
"16","↑9","1","25","9983","ファストリ","東Ｐ","77,040","-310","-0.40","1","80,162","+27,745","+52.9%","1","47.3","8.66","0.83"
"17","↑3","1","20","6098","リクルート","東Ｐ","16,405","-385","-2.29","0","79,510","+14,420","+22.2%","1","30.1","12.81","0.16"
"18","↓5","0","13","6146","ディスコ","東Ｐ","65,190","-640","-0.97","0","75,690","-24,365","-24.4%","0","－","12.17","－"
"19","↓2","0","17","8411","みずほＦＧ","東Ｐ","8,637","-138","-1.57","0","72,139","-4,249","-5.6%","0","15.0","1.82","1.74"
"20","↑4","2","24","3436","ＳＵＭＣＯ","東Ｐ","3,922","+76","+1.98","0","71,828","+16,375","+29.5%","2","－","2.41","－"
"21","↑13","1","34","6758","ソニーＧ","東Ｐ","3,894.0","+194.0","+5.24","1","68,278","+25,971","+61.4%","1","18.8","2.72","0.90"
"22","↑13","2","35","3103","ユニチカ","東Ｓ","1,565","+215","+15.93","0","67,938","+29,072","+74.8%","2","19.0","2.69","－"
"23","↓9","0","14","7011","三菱重","東Ｐ","4,254","-2","-0.05","0","66,530","-22,169","-25.0%","0","37.6","4.51","0.68"
"24","↓6","0","18","8316","三井住友ＦＧ","東Ｐ","6,965","-4","-0.06","0","61,875","-11,317","-15.5%","0","15.5","1.64","2.58"
"25","↓6","0","19","5016","ＪＸ金属","東Ｐ","3,794","-67","-1.74","0","57,119","-15,540","-21.4%","0","24.0","5.28","0.53"
"26","↓3","0","23","5802","住友電","東Ｐ","2,370.0","+35.5","+1.52","0","56,087","-294","-0.5%","0","21.7","2.61","1.65"
"27","↓5","0","22","5706","三井金属","東Ｐ","29,230","-270","-0.92","0","54,294","-6,529","-10.7%","0","20.9","3.96","0.96"
"28","↓1","0","27","7203","トヨタ","東Ｐ","3,026.0","+41.0","+1.37","1","52,477","+1,917","+3.8%","2","11.0","0.96","3.30"
"29","↑1","1","30","8136","サンリオ","東Ｐ","1,278.0","+51.0","+4.16","2","50,193","+4,089","+8.9%","1","24.3","9.50","1.25"
"30","↑8","1","38","6861","キーエンス","東Ｐ","87,500","+870","+1.00","1","47,978","+10,877","+29.3%","1","－","5.98","0.63"
"31","↑2","1","33","6501","日立","東Ｐ","5,768","+66","+1.16","1","47,947","+5,143","+12.0%","1","28.6","3.91","－"
"32","↑13","1","45","6752","パナＨＤ","東Ｐ","4,736","+57","+1.22","0","47,073","+19,885","+73.1%","1","24.6","2.05","1.14"
"33","↓7","0","26","6954","ファナック","東Ｐ","6,436","-69","-1.06","1","42,863","-8,888","-17.2%","0","30.3","3.17","－"
"34","↑29","1","63","6701","ＮＥＣ","東Ｐ","5,151","+234","+4.76","1","38,650","+21,827","+129.7%","1","－","3.06","0.78"
"35","↑6","1","41","9432","ＮＴＴ","東Ｐ","162.5","+2.0","+1.25","2","38,619","+6,663","+20.9%","3","13.5","1.34","3.32"
"36","↑1","1","37","7735","スクリン","東Ｐ","14,235","+100","+0.71","0","35,893","-1,656","-4.4%","0","23.4","5.41","1.29"
"37","↑20","1","57","6503","三菱電","東Ｐ","6,182","+162","+2.69","2","35,689","+14,615","+69.4%","3","25.6","2.77","0.97"
"38","↑1","2","39","6723","ルネサス","東Ｐ","3,731","-23","-0.61","1","33,383","-2,176","-6.1%","0","－","2.39","－"
"39","↓8","0","31","7013","ＩＨＩ","東Ｐ","3,008.0","+33.0","+1.11","0","32,985","-13,022","-28.3%","0","18.5","4.58","0.76"
"40","↓11","0","29","6871","日本マイクロ","東Ｐ","14,970","+510","+3.53","2","32,864","-13,977","-29.8%","0","25.2","6.36","1.19"
"41","↑7","1","48","4063","信越化","東Ｐ","6,370","-8","-0.13","1","31,789","+7,605","+31.4%","1","22.0","2.54","1.82"
"42","↑12","1","54","8058","三菱商","東Ｐ","4,794","-38","-0.79","0","31,467","+10,027","+46.8%","1","16.0","1.82","2.61"
