順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","51,190","+260","+0.51","1","1,518,123","-169,218","-10.0%","0","－","11.33","－"
"2","↑1","1","3","5803","フジクラ","東Ｐ","5,302","+286","+5.70","1","362,848","+104,992","+40.7%","1","26.9","14.42","0.72"
"3","↑1","1","4","6857","アドテスト","東Ｐ","34,520","+20","+0.06","1","282,660","+95,561","+51.1%","1","37.8","23.90","－"
"4","↓2","0","2","6976","太陽誘電","東Ｐ","9,267","+118","+1.29","2","201,956","-101,091","-33.4%","0","42.3","3.33","0.97"
"5","↑6","1","11","5801","古河電","東Ｐ","3,989.0","+364.0","+10.04","1","155,020","+71,766","+86.2%","2","26.7","6.42","0.55"
"6","→","0","6","1570","日経レバ","東Ｅ","68,760","+660","+0.97","1","139,600","+14,147","+11.3%","1","－","－","－"
"7","↓2","0","5","9984","ＳＢＧ","東Ｐ","5,083","+108","+2.17","1","133,241","-31,255","-19.0%","0","－","1.57","0.22"
"8","↑1","1","9","4062","イビデン","東Ｐ","19,975","+1,180","+6.28","1","130,670","+19,890","+18.0%","2","67.2","9.85","0.18"
"9","↓1","0","8","6981","村田製","東Ｐ","7,157","+90","+1.27","3","123,899","+11,207","+9.9%","2","38.5","4.72","0.98"
"10","↓3","0","7","8035","東エレク","東Ｐ","55,440","+290","+0.53","0","113,454","-11,534","-9.2%","0","－","11.84","－"
"11","↑4","2","15","6146","ディスコ","東Ｐ","60,810","-610","-0.99","0","111,157","+53,276","+92.0%","2","－","11.36","－"
"12","→","0","12","6920","レーザーテク","東Ｐ","35,040","+230","+0.66","1","70,656","+1,153","+1.7%","1","34.9","12.72","1.00"
"13","→","0","13","8306","三菱ＵＦＪ","東Ｐ","3,518.0","+37.0","+1.06","1","59,725","-6,814","-10.2%","0","14.7","1.74","2.73"
"14","↑2","2","16","7974","任天堂","東Ｐ","8,865","+72","+0.82","0","54,553","-1,975","-3.5%","0","33.0","3.50","1.83"
"15","↓5","0","10","5016","ＪＸ金属","東Ｐ","3,800","+14","+0.37","0","51,073","-49,983","-49.5%","0","24.1","5.29","0.53"
"16","↑1","1","17","7203","トヨタ","東Ｐ","3,078.0","-47.0","-1.50","0","47,349","-4,035","-7.9%","0","11.2","0.98","3.25"
"17","↑1","1","18","6525","コクサイエレ","東Ｐ","8,506","+226","+2.73","1","41,801","-2,668","-6.0%","0","35.7","8.82","0.76"
"18","↑3","1","21","8411","みずほＦＧ","東Ｐ","8,195","+87","+1.07","1","39,696","+930","+2.4%","1","14.2","1.73","1.83"
"19","↑12","1","31","9101","郵船","東Ｐ","7,168","-32","-0.44","0","37,854","+12,194","+47.5%","1","12.1","0.93","3.35"
"20","↑6","2","26","6098","リクルート","東Ｐ","16,640","+125","+0.76","0","37,837","+3,729","+10.9%","2","30.6","13.00","0.16"
