順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","49,950","-7,200","-12.60","0","2,433,797","-706,576","-22.5%","0","－","11.05","－"
"2","→","0","2","5803","フジクラ","東Ｐ","5,321","-581","-9.84","0","376,389","-81,675","-17.8%","0","27.0","14.48","0.71"
"3","↑3","1","6","6857","アドテスト","東Ｐ","35,190","-670","-1.87","1","350,162","+127,987","+57.6%","1","38.5","24.38","－"
"4","↓1","0","3","9984","ＳＢＧ","東Ｐ","5,227","-603","-10.34","0","246,698","-60,429","-19.7%","0","－","1.62","0.21"
"5","↑4","1","9","1570","日経レバ","東Ｅ","67,910","-4,360","-6.03","0","236,317","+59,704","+33.8%","2","－","－","－"
"6","↓2","0","4","6976","太陽誘電","東Ｐ","9,700","-291","-2.91","1","207,379","-43,790","-17.4%","0","43.6","3.43","0.93"
"7","↓2","0","5","6981","村田製","東Ｐ","7,366","-130","-1.73","1","195,805","-43,430","-18.2%","0","39.7","4.86","0.95"
"8","↓1","0","7","8035","東エレク","東Ｐ","54,520","-1,860","-3.30","1","171,212","-25,727","-13.1%","0","－","11.64","－"
"9","↑1","1","10","4062","イビデン","東Ｐ","19,770","-1,105","-5.29","0","165,264","+11,686","+7.6%","2","66.1","9.69","0.18"
"10","↓2","0","8","5801","古河電","東Ｐ","3,759","-609","-13.94","0","153,509","-35,814","-18.9%","0","25.2","6.05","0.59"
"11","↑1","2","12","8306","三菱ＵＦＪ","東Ｐ","3,505.0","-149.0","-4.08","0","153,345","+56,557","+58.4%","2","14.6","1.74","2.74"
"12","↑11","1","23","8316","三井住友ＦＧ","東Ｐ","6,601","-299","-4.33","0","84,079","+33,079","+64.9%","2","14.7","1.55","2.73"
"13","↑8","1","21","8411","みずほＦＧ","東Ｐ","8,140","-391","-4.58","0","81,139","+20,119","+33.0%","2","14.1","1.72","1.84"
"14","↓3","0","11","6920","レーザーテク","東Ｐ","35,370","-1,650","-4.46","1","81,133","-18,638","-18.7%","0","35.2","12.84","0.99"
"15","→","0","15","6146","ディスコ","東Ｐ","60,030","-2,320","-3.72","1","80,489","+15,139","+23.2%","2","－","11.21","－"
"16","↓3","0","13","5016","ＪＸ金属","東Ｐ","3,562","-252","-6.61","0","75,057","-7,611","-9.2%","0","22.6","4.95","0.56"
"17","↑3","1","20","7974","任天堂","東Ｐ","8,609","-151","-1.72","0","69,966","+6,943","+11.0%","1","32.0","3.40","1.88"
"18","↓4","0","14","7011","三菱重","東Ｐ","4,081","-289","-6.61","0","66,721","-14,949","-18.3%","0","36.1","4.32","0.71"
"19","↑7","2","26","7203","トヨタ","東Ｐ","2,933.5","-88.5","-2.93","0","63,587","+21,403","+50.7%","2","10.7","0.93","3.41"
"20","↓2","0","18","6525","コクサイエレ","東Ｐ","8,075","-585","-6.76","1","61,941","-1,851","-2.9%","0","33.9","8.37","0.80"
"21","↑4","2","25","6723","ルネサス","東Ｐ","3,451","-356","-9.35","0","56,841","+11,932","+26.6%","2","－","2.21","－"
"22","↓5","0","17","9983","ファストリ","東Ｐ","75,090","+80","+0.11","1","55,179","-9,336","-14.5%","0","46.1","8.44","0.85"
"23","↓4","0","19","5706","三井金属","東Ｐ","27,535","-2,525","-8.40","0","54,001","-9,438","-14.9%","0","19.7","3.73","1.02"
"24","↑10","1","34","6861","キーエンス","東Ｐ","79,910","-4,220","-5.02","0","50,237","+17,493","+53.4%","1","－","5.46","0.69"
"25","↓3","0","22","6501","日立","東Ｐ","5,241","-273","-4.95","0","50,087","-1,892","-3.6%","0","26.0","3.56","－"
"26","↓10","0","16","5802","住友電","東Ｐ","2,210.0","-209.5","-8.66","0","47,579","-17,349","-26.7%","0","20.3","2.43","1.76"
"27","↑5","1","32","3103","ユニチカ","東Ｓ","1,508","-5","-0.33","1","43,252","+9,144","+26.8%","1","18.3","2.59","－"
"28","↑10","2","38","7012","川重","東Ｐ","2,673.0","-187.0","-6.54","0","42,666","+14,662","+52.4%","2","20.3","2.64","1.50"
"29","↓5","0","24","3436","ＳＵＭＣＯ","東Ｐ","3,535","-253","-6.68","0","41,974","-6,770","-13.9%","0","－","2.18","－"
"30","↑14","2","44","7013","ＩＨＩ","東Ｐ","2,787.0","-200.5","-6.71","0","41,831","+15,176","+56.9%","2","17.2","4.24","0.83"
"31","↑5","2","36","7735","スクリン","東Ｐ","13,160","-535","-3.91","1","40,541","+9,489","+30.6%","2","21.6","5.01","1.39"
"32","↓3","0","29","6758","ソニーＧ","東Ｐ","3,691","-27","-0.73","2","40,204","+3,258","+8.8%","1","17.9","2.58","0.95"
"33","↑12","2","45","1357","日経Ｄインバ","東Ｅ","2,809","+161","+6.08","2","38,429","+11,904","+44.9%","2","－","－","－"
"34","↓3","0","31","6098","リクルート","東Ｐ","15,855","-165","-1.03","1","38,305","+3,727","+10.8%","1","29.1","12.38","0.16"
"35","↑121","1","156","6305","日立建機","東Ｐ","5,451","-39","-0.71","0","37,264","+30,514","+452.1%","1","13.8","1.26","3.49"
"36","↑19","1","55","8058","三菱商","東Ｐ","4,654","-124","-2.60","0","36,393","+15,238","+72.0%","1","15.5","1.77","2.69"
"37","↓9","0","28","6752","パナＨＤ","東Ｐ","4,345","-207","-4.55","1","34,393","-3,842","-10.0%","0","22.5","1.88","1.24"
"38","↑2","2","40","6954","ファナック","東Ｐ","6,085","-200","-3.18","1","34,138","+6,892","+25.3%","1","28.7","3.00","－"
"39","↓9","0","30","4004","レゾナック","東Ｐ","15,915","-1,060","-6.24","0","33,210","-3,104","-8.5%","0","26.8","3.83","0.41"
"40","↑19","2","59","1321","野村日経平均","東Ｅ","67,750","-2,030","-2.91","0","32,882","+13,378","+68.6%","2","－","－","－"
"41","→","0","41","4063","信越化","東Ｐ","6,087","-155","-2.48","0","32,556","+5,363","+19.7%","2","21.0","2.43","1.91"
"42","↑7","1","49","8766","東京海上","東Ｐ","7,256","-115","-1.56","0","31,465","+7,219","+29.8%","1","16.5","1.67","3.38"
"43","↑14","2","57","4502","武田","東Ｐ","5,759","+57","+1.00","0","30,034","+9,986","+49.8%","2","55.4","1.22","3.54"
"44","↓9","0","35","9104","商船三井","東Ｐ","6,959","+78","+1.13","0","28,812","-2,343","-7.5%","0","10.0","0.80","2.95"
"45","↑3","1","48","6701","ＮＥＣ","東Ｐ","4,656","+6","+0.13","2","28,194","+2,462","+9.6%","1","－","2.76","0.86"
"46","↑19","1","65","6503","三菱電","東Ｐ","5,650","-381","-6.32","0","26,955","+9,251","+52.3%","2","23.4","2.53","1.06"
"47","↑76","2","123","1360","日経ベア２","東Ｅ","68.9","+3.8","+5.84","2","26,323","+17,664","+204.0%","2","－","－","－"
"48","↓2","0","46","9432","ＮＴＴ","東Ｐ","159.6","-0.8","-0.50","1","26,236","+120","+0.5%","1","13.2","1.31","3.38"
"49","↓2","0","47","5713","住友鉱","東Ｐ","9,642","-251","-2.54","0","26,195","+265","+1.0%","2","12.0","1.22","2.15"
"50","↑2","1","52","3110","日東紡","東Ｐ","2,987","-223","-6.95","0","25,385","+3,223","+14.5%","1","27.2","3.07","0.94"
"51","↑3","2","54","8308","りそなＨＤ","東Ｐ","2,371.5","-128.5","-5.14","0","24,506","+3,308","+15.6%","2","16.1","1.76","1.56"
"52","↑53","3","105","7532","パンパシＨＤ","東Ｐ","815.5","-100.0","-10.92","0","24,166","+13,719","+131.3%","2","22.3","3.49","1.23"
"53","↓3","0","50","7267","ホンダ","東Ｐ","1,660.0","-53.0","-3.09","0","22,891","-89","-0.4%","0","16.2","0.52","4.22"
"54","↑10","1","64","6762","ＴＤＫ","東Ｐ","3,016.0","-123.0","-3.92","0","22,789","+4,890","+27.3%","2","25.4","2.49","1.33"
"55","↓18","0","37","9101","郵船","東Ｐ","6,775","-9","-0.13","0","22,746","-6,052","-21.0%","0","11.4","0.88","3.54"
"56","↑12","2","68","6273","ＳＭＣ","東Ｐ","71,250","-3,950","-5.25","0","22,039","+5,210","+31.0%","2","26.3","2.07","1.40"
"57","↓18","0","39","8136","サンリオ","東Ｐ","1,161.0","-33.0","-2.76","0","21,921","-5,473","-20.0%","0","22.1","8.63","1.38"
"58","↑4","2","62","7182","ゆうちょ銀","東Ｐ","3,179.0","-153.0","-4.59","0","21,291","+2,169","+11.3%","2","17.2","1.23","2.93"
"59","↑16","1","75","8031","三井物","東Ｐ","4,780","-93","-1.91","0","21,107","+6,121","+40.8%","1","14.7","1.51","2.93"
"60","↓33","0","27","3905","データセク","東Ｇ","1,661","-32","-1.89","1","20,854","-20,653","-49.8%","0","6.1","2.10","－"
"61","↓19","0","42","5401","日本製鉄","東Ｐ","677.0","-16.6","-2.39","0","20,780","-6,289","-23.2%","0","12.2","0.63","3.55"
"62","↑20","1","82","8725","ＭＳ＆ＡＤ","東Ｐ","4,853","-132","-2.65","0","20,758","+7,038","+51.3%","1","16.4","1.04","3.50"
"63","↑54","1","117","7741","ＨＯＹＡ","東Ｐ","25,535","-755","-2.87","0","20,523","+11,153","+119.0%","1","－","8.41","－"
"64","↓4","0","60","6506","安川電","東Ｐ","4,922","-249","-4.82","1","20,187","+860","+4.4%","2","27.2","2.63","1.46"
"65","↓32","0","33","2914","ＪＴ","東Ｐ","6,916","-16","-0.23","1","19,773","-14,041","-41.5%","0","19.1","2.79","3.93"
"66","↑8","3","74","1605","ＩＮＰＥＸ","東Ｐ","3,859","-41","-1.05","0","19,677","+4,482","+29.5%","2","8.8","0.88","2.90"
"67","↓14","0","53","6871","日本マイクロ","東Ｐ","13,940","-810","-5.49","0","19,355","-2,263","-10.5%","0","23.5","5.92","1.28"
"68","↑2","1","70","6702","富士通","東Ｐ","3,612.0","+11.0","+0.31","2","18,661","+2,300","+14.1%","1","20.2","3.07","1.52"
"69","↓11","0","58","6361","荏原","東Ｐ","5,022","-313","-5.87","0","18,503","-1,447","-7.3%","0","23.0","4.30","1.31"
"70","↑8","2","78","6367","ダイキン","東Ｐ","20,750","-365","-1.73","0","18,501","+4,032","+27.9%","2","20.8","1.93","1.73"
"71","↓10","0","61","9107","川崎汽","東Ｐ","3,179.0","+38.0","+1.21","0","18,343","-931","-4.8%","0","14.1","1.10","3.77"
"72","↑100","1","172","4385","メルカリ","東Ｐ","4,753","+280","+6.26","2","18,317","+12,518","+215.9%","1","－","5.73","－"
"73","↓10","0","63","6890","フェローテク","東Ｓ","8,560","-810","-8.64","0","18,266","-548","-2.9%","0","－","1.43","3.12"
"74","↓5","0","69","9501","東電ＨＤ","東Ｐ","502.6","-21.9","-4.18","0","18,249","+1,481","+8.8%","2","－","0.34","－"
"75","↑17","2","92","6301","コマツ","東Ｐ","6,791","-377","-5.26","0","18,222","+6,323","+53.1%","2","17.3","1.72","2.80"
"76","↓3","0","73","8591","オリックス","東Ｐ","6,055","-240","-3.81","0","17,816","+2,525","+16.5%","2","12.4","1.40","3.09"
"77","↑42","1","119","8053","住友商","東Ｐ","1,675.5","-82.0","-4.67","0","17,475","+8,280","+90.0%","2","12.6","1.67","2.39"
"78","↑7","1","85","9433","ＫＤＤＩ","東Ｐ","2,839.5","-14.5","-0.51","0","16,910","+3,891","+29.9%","1","14.8","2.11","2.96"
"79","↑12","2","91","6971","京セラ","東Ｐ","3,646","-153","-4.03","0","16,850","+4,950","+41.6%","2","29.3","1.41","1.54"
"80","↓14","0","66","200A","野村日半導","東Ｅ","4,300","-316","-6.85","0","16,366","-918","-5.3%","0","－","－","－"
