順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","67,100","-9,900","-12.86","0","3,410,135","+186,024","+5.8%","1","－","26.25","－"
"2","↑2","1","4","6976","太陽誘電","東Ｐ","11,900","-2,830","-19.21","0","346,608","+29,998","+9.5%","1","82.7","4.32","0.76"
"3","→","0","3","6981","村田製","東Ｐ","9,066","-794","-8.05","0","339,217","+16,738","+5.2%","1","56.3","6.07","0.77"
"4","↓2","0","2","9984","ＳＢＧ","東Ｐ","6,364","-6","-0.09","0","299,975","-158,062","-34.5%","0","－","2.06","0.17"
"5","↑1","1","6","1570","日経レバ","東Ｅ","72,730","-3,120","-4.11","0","261,888","+21,149","+8.8%","1","－","－","－"
"6","↓1","0","5","8035","東エレク","東Ｐ","71,300","-1,640","-2.25","0","261,716","-24,580","-8.6%","0","－","15.84","－"
"7","↑6","1","13","3436","ＳＵＭＣＯ","東Ｐ","5,133","-111","-2.12","0","220,632","+121,636","+122.9%","1","－","3.15","－"
"8","↑4","1","12","6920","レーザーテク","東Ｐ","44,770","+390","+0.88","0","211,617","+103,571","+95.9%","1","55.7","17.80","0.73"
"9","↓2","0","7","5803","フジクラ","東Ｐ","5,007","-143","-2.78","0","207,862","-16,922","-7.5%","0","36.2","14.79","0.76"
"10","↓2","0","8","6857","アドテスト","東Ｐ","28,820","-1,010","-3.39","0","197,115","-23,771","-10.8%","0","44.8","26.22","－"
"11","→","0","11","8306","三菱ＵＦＪ","東Ｐ","3,541.0","+80.0","+2.31","1","152,328","+31,006","+25.6%","1","14.8","1.79","2.71"
"12","↓2","0","10","4062","イビデン","東Ｐ","18,690","-1,610","-7.93","0","145,802","+17,898","+14.0%","1","90.0","9.49","0.19"
"13","↓4","0","9","9983","ファストリ","東Ｐ","81,230","-880","-1.07","1","95,936","-107,667","-52.9%","0","49.9","9.14","0.79"
"14","↑5","1","19","8316","三井住友ＦＧ","東Ｐ","6,925","+111","+1.63","1","90,281","+19,587","+27.7%","1","15.5","1.67","2.60"
"15","→","0","15","5016","ＪＸ金属","東Ｐ","3,836","-126","-3.18","0","85,412","-11,138","-11.5%","0","30.1","4.72","0.52"
"16","↓2","0","14","6146","ディスコ","東Ｐ","70,870","-1,690","-2.33","0","85,406","-12,488","-12.8%","0","－","13.11","－"
"17","↓1","0","16","6525","コクサイエレ","東Ｐ","10,620","-220","-2.03","0","76,926","-8,405","-9.8%","0","63.9","11.31","0.44"
"18","↑44","1","62","7453","良品計画","東Ｐ","4,233.0","+610.0","+16.84","1","70,591","+48,828","+224.4%","1","33.5","5.66","0.76"
"19","↑19","1","38","6506","安川電","東Ｐ","5,972","-1,000","-14.34","0","65,559","+23,855","+57.2%","1","33.0","3.19","1.21"
"20","↑3","1","23","8411","みずほＦＧ","東Ｐ","8,417","+110","+1.32","1","61,852","+665","+1.1%","1","15.8","1.81","1.78"
"21","→","0","21","5801","古河電","東Ｐ","3,589","-136","-3.65","0","60,457","-3,414","-5.3%","0","30.8","6.05","0.61"
"22","↑2","1","24","4063","信越化","東Ｐ","7,340","+20","+0.27","0","59,963","-1,009","-1.7%","0","－","3.04","－"
"23","↓1","0","22","6723","ルネサス","東Ｐ","4,469","-293","-6.15","0","57,076","-6,770","-10.6%","0","－","3.19","－"
"24","↑7","1","31","7974","任天堂","東Ｐ","7,106","+76","+1.08","1","57,040","+8,488","+17.5%","1","26.4","2.77","2.28"
"25","↓8","0","17","7203","トヨタ","東Ｐ","2,806.0","-17.0","-0.60","0","56,008","-19,491","-25.8%","0","11.1","0.83","3.56"
"26","↑3","1","29","7011","三菱重","東Ｐ","3,758","-60","-1.57","0","50,786","-3,764","-6.9%","0","33.2","4.09","0.77"
"27","↓2","0","25","6861","キーエンス","東Ｐ","76,700","-270","-0.35","0","47,756","-10,690","-18.3%","0","－","5.36","0.72"
"28","↓1","0","27","7735","スクリン","東Ｐ","17,755","-395","-2.18","0","45,139","-10,619","-19.0%","0","30.5","6.90","0.99"
"29","↑8","1","37","6762","ＴＤＫ","東Ｐ","3,203.0","-186.0","-5.49","0","44,888","+3,101","+7.4%","1","27.0","2.78","1.25"
