公表日,時刻,コード,会社名,種別,市場,33業種,基準日,終値,PBR,業種平均PBR,業種相対PBR,開示タイトル
2026-02-13,02:40,3546,アレンザＨＤ,賛同,プライム市場,小売業,2026-02-12,1212.0,1.13,1.9,0.595,コーナン商事株式会社による当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨並びに資本業務提携契約の締結に関するお知らせ
2026-02-13,19:15,4974,タカラバイオ,賛同,プライム市場,化学,2026-02-13,801.0,0.93,1.2,0.775,親会社である宝ホールディングス株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2026-02-13,22:00,9338,Ｇ－ＩＮＦＯＲＩＣＨ,MBO,グロース市場,サービス業,2026-02-13,2105.0,2.49,2.5,0.996,ＭＢＯの実施及び応募の推奨に関するお知らせ
2026-02-13,20:15,9927,ワットマン,MBO,スタンダード市場,小売業,2026-02-13,751.0,1.81,1.4,1.293,ＭＢＯの実施に関する賛同の意見表明及び応募の推奨に関するお知らせ
2026-02-19,17:30,4659,エイジス,賛同,スタンダード市場,サービス業,2026-02-19,4110.0,1.31,1.3,1.008,有限会社斉藤ホールディングスによる当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2026-02-25,03:00,2540,養命酒,賛同,プライム市場,食料品,2026-02-24,4595.0,1.37,1.3,1.054,株式会社レノによる当社株式に対する公開買付けに関する賛同及び応募中立の意見表明のお知らせ
2026-02-25,15:30,2692,伊藤忠食,賛同,プライム市場,卸売業,2026-02-25,12550.0,1.26,1.2,1.05,親会社である伊藤忠商事株式会社の子会社である合同会社FMDIによる当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2026-02-25,17:25,8934,サンフロンティア,賛同,プライム市場,不動産業,2026-02-25,2741.0,1.11,1.7,0.653,伊藤忠商事株式会社の完全子会社であるSI株式会社による当社株式に対する公開買付けに関する意見表明のお知らせ
2026-03-03,15:45,4834,キャリアバンク,賛同,,,2026-03-03,1196.0,1.06,,,株式会社北洋銀行による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2026-03-09,15:40,1776,三住道路,賛同,スタンダード市場,建設業,2026-03-09,1592.0,1.08,1.1,0.982,親会社である三井住友建設株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2026-03-24,19:00,6197,ソラスト,MBO,プライム市場,サービス業,2026-03-24,954.0,3.68,1.9,1.937,MBOの実施の一環としてのMP-2605株式会社による株式会社ソラスト（証券コード：6197）の普通株式に対する公開買付けの開始に関するお知らせ
2026-03-31,16:00,3294,イーグランド,賛同,スタンダード市場,不動産業,2026-03-31,1916.0,0.92,1.0,0.92,株式会社西武不動産による当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2026-03-31,23:55,4626,太陽ＨＤ,賛同,プライム市場,化学,2026-03-31,4984.0,4.79,1.4,3.421,KJ005株式会社による当社株式に対する公開買付けの開始予定に関する賛同及び応募中立の意見表明のお知らせ
2026-04-06,16:35,3271,グロバル社,賛同,スタンダード市場,不動産業,2026-04-06,1005.0,2.72,0.9,3.022,大東建託株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募の推奨のお知らせ
2026-04-07,10:45,7501,ティムコ,賛同,スタンダード市場,卸売業,2026-04-06,1857.0,1.07,0.8,1.337,堅果シナジー投資事業有限責任組合による当社株式に対する公開買付けの開始に関するお知らせ
2026-04-24,19:00,184A,Ｇ－学びエイド,賛同,グロース市場,情報・通信業,2026-04-24,341.0,2.17,2.9,0.748,ＮＯＶＡホールディングス株式会社による当社株式に対する公開買付けに関する意見表明のお知らせ
2026-04-28,16:45,5903,ＳＨＩＮＰＯ,MBO,スタンダード市場,金属製品,2026-04-28,1214.0,0.94,0.6,1.567,ＭＢＯの実施及び応募の推奨に関するお知らせ
2026-05-11,21:00,7490,日新商,MBO,スタンダード市場,卸売業,2026-05-11,1375.0,0.35,0.8,0.437,ＭＢＯの実施及び応募の推奨に関するお知らせ
2026-05-11,16:30,8283,ＰＡＬＴＡＣ,賛同,プライム市場,卸売業,2026-05-11,4645.0,0.94,1.3,0.723,当社親会社である株式会社メディパルホールディングスによる当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2026-05-12,18:00,2371,カカクコム,賛同,プライム市場,サービス業,2026-05-12,2925.0,8.93,1.8,4.961,Kamgras １株式会社による当社株券等に対する 公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2026-05-12,20:30,7183,あんしん保証,賛同,スタンダード市場,その他金融業,2026-05-12,186.0,1.29,1.2,1.075,その他の関係会社の親会社であるムニノバホールディングス株式会社による当社株式等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2026-05-13,19:15,1909,日本ドライケミカル,賛同,スタンダード市場,機械,2026-05-13,3025.0,2.51,1.0,2.51,ＴＣＧ2511株式会社による当社株式に対する公開買付けに関する意見表明及び応募推奨に関するお知らせ
2026-05-13,16:45,2180,サニーサイドアップ,賛同,スタンダード市場,サービス業,2026-05-13,1047.0,4.14,1.3,3.185,株式会社アカツキによる当社との経営統合に向けた当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2026-05-14,19:30,5644,メタルアート,賛同,スタンダード市場,鉄鋼,2026-05-14,5480.0,0.6,0.5,1.2,Gerbera holdings株式会社による当社株式に対する公開買い付けに関する賛同の意見表明及び応募推奨のお知らせ
2026-05-14,19:00,9691,両毛システム,賛同,スタンダード市場,情報・通信業,2026-05-14,4270.0,0.91,1.6,0.569,支配株主である株式会社ミツバ及び中部電力株式会社による当社株式に対する公開買付に関する賛同の意見表明及び応募推奨並びに資本業務提携に関するお知らせ
2026-05-15,19:00,5484,東北鋼,賛同,スタンダード市場,鉄鋼,2026-05-15,2414.0,0.6,0.5,1.2,その他の関係会社である大同特殊鋼株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2026-05-15,16:00,7082,Ｇ－ジモティー,賛同,グロース市場,サービス業,2026-05-15,880.0,4.45,2.2,2.023,カルチュア・コンビニエンス・クラブ株式会社による当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2026-05-15,15:35,8141,新光商,賛同,プライム市場,卸売業,2026-05-15,1525.0,0.81,1.3,0.623,加賀電子株式会社による当社株式に対する公開買付けに関する意見表明に関するお知らせ
2026-05-15,15:30,8836,ＲＩＳＥ,賛同,スタンダード市場,不動産業,2026-05-15,29.0,1.99,1.0,1.99,JTMホールディング株による当社株式に対する公開買付けに関する賛同及び応募中立の意見表明、連結子会社の異動を伴う株式譲渡及び優先株式に係る剰余金の配当
2026-05-20,16:45,4171,グローバルＩ,賛同,スタンダード市場,情報・通信業,2026-05-20,1244.0,1.44,1.6,0.9,株式会社ユーザベースによる当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2026-05-25,16:30,1948,弘電社,賛同,スタンダード市場,建設業,2026-05-25,7650.0,2.7,1.0,2.7,株式会社きんでんによる当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2026-05-28,17:30,4800,オリコン,MBO,スタンダード市場,情報・通信業,2026-05-28,1161.0,2.65,1.6,1.656,ＭＢＯの実施及び応募の推奨に関するお知らせ
2026-05-29,20:30,2162,ｎｍｓ　ＨＤ,賛同,スタンダード市場,サービス業,2026-05-29,391.0,1.46,1.3,1.123,その他の関係会社である株式会社ワールドホールディングスによる当社株式に対する公開買付けに関する賛同及び応募中立の意見表明に関するお知らせ
2026-06-01,17:30,7426,山大,賛同,スタンダード市場,卸売業,2026-06-01,500.0,0.32,0.8,0.4,ナイス株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2026-06-12,19:30,3480,ジェイ・エス・ビー,賛同,プライム市場,不動産業,2026-06-12,6930.0,3.17,1.6,1.981,Ｕｒｓａ ４株式会社による当社株券等に対する公開買付けに関する意見表明のお知らせ
2026-06-19,17:30,3544,サツドラＨＤ,MBO,スタンダード市場,小売業,2026-06-19,813.0,1.13,1.4,0.807,ＭＢＯの実施及び応募の推奨に関するお知らせ
2026-06-19,20:00,6897,ツインバード,賛同,スタンダード市場,電気機器,2026-06-19,391.0,0.63,1.4,0.45,株式会社ジャパネットホールディングスによる当社株式に対する公開買付けの開始予定に関するお知らせ
2026-07-08,18:30,2997,Ｇ－ストレージ王,賛同,グロース市場,不動産業,2026-07-08,949.0,1.64,2.0,0.82,エリアリンク株式会社による当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2026-07-10,17:40,7523,アールビバン,MBO,スタンダード市場,小売業,2026-07-10,1794.0,1.01,1.3,0.777,ＭＢＯの実施及び応募の推奨に関するお知らせ
2026-07-29,17:30,4722,フューチャー,MBO,プライム市場,情報・通信業,2026-07-29,2382.0,3.18,1.9,1.674,ＭＢＯの実施及び応募の推奨に関するお知らせ
2026-07-31,16:00,9110,ユナイテド海,賛同,プライム市場,海運業,2026-07-31,8040.0,1.0,0.7,1.429,その他の関係会社である日本郵船株式会社による当社株式に対する公開買付けの開始予定に関する賛同の表明及び応募推奨のお知らせ
2026-08-03,18:00,3276,ＪＰＭＣ,MBO,プライム市場,不動産業,2026-08-03,1822.0,3.11,1.6,1.944,ＭＢＯの実施及び応募の推奨に関するお知らせ
2026-08-05,20:00,4320,ＣＥＨＤ,賛同,スタンダード市場,情報・通信業,2026-08-05,1721.0,3.52,1.6,2.2,SK-03株式会社による当社株式に対する公開買付けに関する賛同及び応募中立の意見表明に関するお知らせ
2026-08-06,16:00,3676,デジハＨＤ,MBO,プライム市場,情報・通信業,2026-08-06,753.0,1.7,2.0,0.85,MBOの実施及び応募の推奨のお知らせ
2026-08-13,19:00,7462,ＣＡＰＩＴＡ,賛同,スタンダード市場,小売業,2026-08-13,403.0,1.82,1.3,1.4,株式会社桃の木による当社株式に対する公開買付けに関する意見表明のお知らせ
2026-08-19,08:00,4413,ボードルア,MBO,プライム市場,情報・通信業,2026-08-18,2942.0,11.37,2.0,5.685,MBOの実施及び応募の推奨に関するお知らせ
2026-08-26,18:30,7743,シード,賛同,スタンダード市場,精密機器,2026-08-26,535.0,0.85,1.4,0.607,ラックスシェア・プレシジョン・ケイマン・リミテッドによる当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨に関するお知らせ
2026-08-28,22:30,4477,Ｇ－ＢＡＳＥ,賛同,グロース市場,情報・通信業,2026-08-28,316.0,2.46,3.0,0.82,SBINM合同会社による当社株式に対する公開買付けに関する賛同及び応募中立の意見表明及びSBIHD株式会社との資本業務提携契約の締結に関するお知らせ
2026-08-28,16:00,4812,電通総研,賛同,プライム市場,情報・通信業,2026-08-28,2908.0,5.39,2.0,2.695,合同会社VICによる当社株式に対する公開買付けの開始予定に関する賛同の意見表明及び応募推奨に関するお知らせ
2026-09-01,20:45,4420,イーソル,MBO,スタンダード市場,情報・通信業,2026-09-01,910.0,2.92,1.7,1.718,ＭＢＯの実施及び応募の推奨に関するお知らせ
2026-09-08,17:15,7475,アルビス,賛同,プライム市場,小売業,2026-09-08,2500.0,0.63,2.0,0.315,株式会社ライフコーポレーションによる当社株式に対する 公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2026-09-09,20:00,3989,Ｇ－シェアリングＴ,賛同,グロース市場,情報・通信業,2026-09-09,1465.0,6.21,3.3,1.882,MP-2606株式会社による当社株券等に対する公開買付けに関する賛同及び応募推奨の意見表明のお知らせ
2026-09-14,23:45,2612,かどや製油,賛同,スタンダード市場,食料品,2026-09-14,2419.0,1.8,1.2,1.5,株式会社ITG-Gホールディングスによる当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2026-09-14,20:00,8848,レオパレス２１,賛同,プライム市場,不動産業,2026-09-14,691.0,4.56,1.6,2.85,株式会社K891による当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨並びに特定子会社の異動を伴う株式譲渡に関するお知らせ
2026-09-17,16:00,6977,日抵抗器,賛同,スタンダード市場,電気機器,2026-09-17,1275.0,,,,株式会社フェローテックによる当社株式に対する公開買付けに関する賛同の表明及び応募推奨のお知らせ
