公表日,時刻,コード,会社名,種別,市場,33業種,基準日,終値,PBR,業種平均PBR,業種相対PBR,開示タイトル
2025-05-20,17:50,1847,イチケン,賛同,スタンダード市場,建設業,2025-05-20,1490.0,0.6,0.7,0.857,株式会社マルハンによる当社株式に対する公開買付けに関する意見表明（賛同・応募中立）に関するお知らせ
2025-05-26,17:01,8793,ＮＥＣキャピ,賛同,プライム市場,その他金融業,2025-05-26,3815.0,0.67,0.9,0.744,株式会社SBI新生銀行による当社株式に対する公開買付けに関する賛同及び応募中立の意見表明に関するお知らせ
2025-05-26,12:10,9377,エージーピー,反対/留保,スタンダード市場,倉庫・運輸関連業,2025-05-23,1527.0,2.14,0.5,4.28,日本航空株式会社による株主提案（株式併合等）に対する意見表明（反対）のお知らせ
2025-05-29,15:55,7163,住信ＳＢＩネット銀,賛同,スタンダード市場,銀行業,2025-05-29,3985.0,3.44,0.3,11.467,株式会社ＮＴＴドコモによる当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨並びに業務提携契約の締結に関するお知らせ
2025-05-30,15:30,6973,協栄産,賛同,スタンダード市場,卸売業,2025-05-30,2227.0,0.36,0.7,0.514,加賀電子株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-06-03,15:30,6201,豊田織,賛同,プライム市場,輸送用機器,2025-06-03,18400.0,1.12,0.9,1.244,トヨタ不動産株式会社による当社株式に対する公開買付けの開始予定に関する賛同及び応募中立の意見表明のお知らせ
2025-06-06,17:00,6695,Ｐ－キャストリコ,賛同,,電気機器,,,,,,株式会社ＮＦＫホールディングスによる当社株券等に対する公開買付に関する意見表明及び同社との資本業務提携契約の締結に関するお知らせ
2025-06-06,16:30,7605,フジコーポレーション,賛同,プライム市場,小売業,2025-06-06,2141.0,1.32,1.9,0.695,株式会社宇佐美鉱油による当社株式等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-06-09,15:30,9696,ウィザス,賛同,スタンダード市場,サービス業,2025-06-09,2743.0,4.71,1.2,3.925,株式会社NSSK-J1による当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-06-10,20:30,6772,コスモス電,賛同,スタンダード市場,電気機器,2025-06-10,1362.0,1.23,0.8,1.537,Bourns Japan Holdings LLCによる当社株式に対する公開買付けの開始予定に関する賛同の意見表明及び応募推奨のお知らせ
2025-06-10,15:35,9164,Ｇ－トライト,賛同,グロース市場,サービス業,2025-06-10,654.0,2.17,2.6,0.835,TCG2505株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-06-16,15:30,3565,アセンテック,賛同,スタンダード市場,卸売業,2025-06-16,489.0,4.18,0.8,5.225,OPI・18 株式会社による当社株券等に対する公開買付けの開始に関する賛同の意見表明及び応募推奨のお知らせ
2025-06-16,17:00,3688,ＣＡＲＴＡ　ＨＤ,賛同,プライム市場,情報・通信業,2025-06-16,1531.0,1.59,2.4,0.663,株式会社NTTドコモによる当社株券等に対する公開買付けの開始予定に関する意見表明及び業務資本提携契約の締結のお知らせ
2025-06-16,17:00,6297,鉱研工業,賛同,スタンダード市場,機械,2025-06-16,525.0,0.87,0.7,1.243,ヒューリック株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-06-16,16:20,6411,中野冷機,賛同,スタンダード市場,機械,2025-06-16,5850.0,1.16,0.7,1.657,エムキャップ十五号株式会社による当社普通株式に対する公開買付けに係る賛同の意見表明及び応募の推奨に関するお知らせ
2025-06-30,15:30,9284,Ｉ－カナディアンソラ,賛同,,,2025-06-30,75400.0,,,,ヒューリック株式会社によるカナディアン・ソーラー・インフラ投資法人（証券コード9284）投資口に対する公開買付けに関する意見表明に関するお知らせ
2025-06-30,17:30,9386,日本コンセプト,MBO,プライム市場,倉庫・運輸関連業,2025-06-30,2231.0,1.6,1.1,1.455,MBOの実施及び応募の推奨に関するお知らせ
2025-07-04,16:30,7379,Ｇ－サーキュ,賛同,グロース市場,サービス業,2025-07-04,672.0,1.84,2.7,0.681,株式会社PKSHA Technologyによる当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-07-14,15:30,3073,ＤＤグループ,賛同,プライム市場,小売業,2025-07-14,1443.0,2.85,1.9,1.5,ＰＣＧＶＩ－１株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-07-14,17:00,6312,フロイント,MBO,スタンダード市場,機械,2025-07-14,766.0,0.82,0.7,1.171,ＭＢＯの実施及び応募の推奨に関するお知らせ
2025-07-25,15:30,7250,太平洋工,MBO,プライム市場,輸送用機器,2025-07-25,1761.0,0.58,0.9,0.644,ＭＢＯの実施及び応募の推奨に関するお知らせ
2025-07-30,08:45,6406,フジテック,賛同,プライム市場,機械,2025-07-29,6205.0,3.17,1.4,2.264,Bospolder１株式会社による当社株券等に対する公開買付けの開始予定に関する意見表明のお知らせ
2025-07-31,16:30,3341,日本調剤,賛同,プライム市場,小売業,2025-07-31,3515.0,1.76,1.9,0.926,株式会社AP86による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-08-01,15:30,5352,黒崎播磨,賛同,プライム市場,ガラス・土石製品,2025-08-01,3450.0,1.14,1.4,0.814,当社の親会社である日本製鉄株式会社による当社株式に対する公開買付けの開始予定に係る賛同の意見表明及び応募推奨に関するお知らせ
