"野村日本株高配当70・配当総額加重型 日次指数値"
※  2000年12月29日 = 10000
,円ベース
年月日,配当除く,配当含む
20121214,10321.30,13761.19
20121217,10390.57,13853.56
20121218,10484.67,13979.02
20121219,10769.84,14359.23
20121220,10780.38,14373.29
20121221,10722.14,14295.64
20121225,10782.75,14376.44
20121226,10818.80,14447.21
20121227,10826.10,14457.15
20121228,10875.12,14522.61
20130104,11201.00,14957.80
20130107,11149.83,14889.47
20130108,11100.18,14823.16
20130109,11170.45,14917.00
20130110,11281.27,15064.99
20130111,11409.43,15236.13
20130115,11534.07,15402.57
20130116,11353.78,15161.82
20130117,11411.75,15239.23
20130118,11603.90,15495.82
20130121,11542.83,15414.27
20130122,11502.49,15360.40
20130123,11365.84,15177.93
20130124,11460.84,15304.78
20130125,11706.16,15632.39
20130128,11689.77,15610.50
20130129,11784.57,15737.10
20130130,11926.46,15926.58
20130131,12049.12,16090.38
20130201,12010.94,16039.38
20130204,12103.54,16163.05
20130205,11947.07,15954.09
20130206,12247.16,16354.83
20130207,12217.31,16314.98
20130208,12086.81,16140.71
20130212,12269.94,16385.25
20130213,12173.44,16256.39
20130214,12149.36,16224.23
20130215,11977.82,15995.15
20130218,12250.14,16358.81
20130219,12253.91,16363.85
20130220,12377.46,16528.83
20130221,12256.50,16367.31
20130222,12249.50,16357.96
20130225,12462.91,16642.94
20130226,12295.33,16426.43
20130227,12093.78,16157.16
20130228,12319.89,16462.42
20130301,12430.10,16609.70
20130304,12497.33,16699.53
20130305,12459.55,16649.04
20130306,12608.22,16847.71
20130307,12624.80,16869.87
20130308,12745.83,17031.59
20130311,13055.76,17445.74
20130312,13047.30,17434.42
20130313,12951.47,17306.37
20130314,12986.46,17353.13
20130315,13085.82,17485.90
20130318,12840.04,17157.48
20130319,13057.85,17448.53
20130321,13214.17,17657.41
20130322,13016.84,17393.72
20130325,13109.94,17518.13
20130326,13051.80,17440.45
20130327,12977.63,17564.04
20130328,12813.17,17341.47
20130329,12765.63,17277.12
20130401,12354.65,16720.89
20130402,12243.03,16569.83
20130403,12399.27,16781.28
20130404,12755.40,17263.28
20130405,13000.28,17594.70
20130408,13384.23,18114.34
20130409,13424.70,18169.11
20130410,13713.87,18560.48
20130411,13949.14,18878.89
20130412,13954.35,18885.95
20130415,13759.55,18622.30
20130416,13590.88,18394.02
20130417,13787.32,18659.88
20130418,13657.67,18484.42
20130419,13677.23,18510.88
20130422,13882.29,18788.42
20130423,13850.94,18745.99
20130424,14073.05,19046.60
20130425,14201.29,19220.16
20130426,14022.14,18977.69
20130430,14071.87,19045.54
20130501,13982.06,18923.99
20130502,13958.92,18892.67
20130507,14310.08,19367.95
20130508,14356.31,19430.52
20130509,14257.52,19296.81
20130510,14434.03,19535.71
20130513,14678.83,19867.03
20130514,14677.01,19864.57
20130515,14980.27,20275.02
20130516,14847.04,20094.69
20130517,14856.96,20108.13
20130520,14989.05,20286.90
20130521,15055.91,20377.39
20130522,15105.50,20444.51
20130523,14254.90,19293.26
20130524,14206.99,19228.43
20130527,13805.98,18685.68
20130528,13885.06,18792.71
20130529,13989.17,18933.62
20130530,13513.46,18289.76
20130531,13486.16,18263.49
20130603,13127.54,17777.82
20130604,13456.15,18222.84
20130605,13032.16,17648.65
20130606,12888.22,17453.73
20130607,12705.53,17206.32
20130610,13279.93,17984.19
20130611,13166.34,17830.37
20130612,13091.59,17729.14
20130613,12516.64,16950.52
20130614,12663.11,17148.87
20130617,12963.19,17555.26
20130618,12898.48,17467.62
20130619,13238.05,17927.48
20130620,13087.54,17723.65
20130621,13222.77,17906.80
20130624,13081.90,17716.02
20130625,12975.82,17572.36
20130626,12894.23,17487.77
20130627,13188.12,17886.34
20130628,13580.68,18418.76
20130701,13756.85,18657.68
20130702,13924.99,18885.73
20130703,13913.01,18869.47
20130704,13840.33,18770.91
20130705,14033.61,19033.04
20130708,13868.69,18809.37
20130709,14155.93,19198.94
20130710,14144.67,19183.66
20130711,14115.89,19144.64
20130712,14223.07,19290.00
20130716,14288.06,19378.14
20130717,14293.87,19386.01
20130718,14449.01,19596.43
20130719,14349.36,19461.28
20130722,14377.96,19500.06
20130723,14481.48,19640.46
20130724,14439.87,19584.03
20130725,14221.77,19288.23
20130726,13808.21,18727.34
20130729,13440.91,18229.19
20130730,13575.93,18412.32
20130731,13466.22,18264.59
20130801,13831.57,18760.13
20130802,14177.72,19229.61
20130805,14066.32,19078.52
20130806,14181.92,19235.31
20130807,13739.87,18635.75
20130808,13597.86,18443.14
20130809,13638.52,18498.29
20130812,13623.34,18477.70
20130813,13861.44,18800.63
20130814,13962.09,18937.15
20130815,13780.61,18691.00
20130816,13641.62,18502.49
20130819,13684.97,18561.29
20130820,13434.34,18221.35
20130821,13424.23,18207.64
20130822,13398.75,18173.08
20130823,13625.92,18481.20
20130826,13603.74,18451.12
20130827,13566.92,18401.17
20130828,13339.69,18100.41
20130829,13354.04,18119.89
20130830,13223.98,17944.53
20130902,13327.91,18085.57
20130903,13689.85,18576.71
20130904,13777.52,18695.67
20130905,13766.60,18680.85
20130906,13676.37,18558.40
20130909,13946.58,18925.08
20130910,14113.25,19151.24
20130911,14062.41,19082.25
20130912,14015.27,19018.28
20130913,14011.43,19013.08
20130917,13906.33,18870.46
20130918,13994.46,18990.05
20130919,14235.22,19316.75
20130920,14293.39,19395.68
20130924,14292.80,19394.89
20130925,14302.58,19408.16
20130926,14291.01,19614.80
20130927,14239.59,19544.22
20130930,13964.60,19166.79
20131001,13923.78,19110.76
20131002,13727.62,18841.53
20131003,13714.79,18823.92
20131004,13660.20,18748.99
20131007,13504.05,18534.68
20131008,13505.32,18536.42
20131009,13674.76,18768.97
20131010,13842.76,18999.56
20131011,14029.37,19255.69
20131015,14052.54,19287.48
20131016,14023.59,19247.76
20131017,14130.12,19393.97
20131018,14113.10,19370.61
20131021,14173.90,19454.05
20131022,14192.91,19480.15
20131023,13990.57,19202.43
20131024,14057.25,19293.95
20131025,13750.49,18872.92
20131028,13958.75,19158.76
20131029,13964.44,19166.57
20131030,14066.78,19307.04
20131031,13969.17,19173.21
20131101,13867.00,19032.98
20131105,13828.30,18979.87
20131106,13968.70,19172.57
20131107,13923.41,19110.40
20131108,13869.63,19036.59
20131111,14034.06,19262.27
20131112,14246.91,19554.42
20131113,14243.10,19549.19
20131114,14378.07,19734.45
20131115,14575.14,20004.93
20131118,14616.49,20061.69
20131119,14557.93,19981.31
20131120,14493.68,19893.12
20131121,14639.72,20093.57
20131122,14633.71,20085.32
20131125,14710.96,20191.35
20131126,14620.92,20067.76
20131127,14558.02,19981.43
20131128,14706.43,20185.13
20131129,14694.54,20170.41
20131202,14722.08,20208.20
20131203,14748.67,20244.70
20131204,14507.21,19913.26
20131205,14387.36,19748.76
20131206,14421.23,19795.24
20131209,14638.79,20093.87
20131210,14654.33,20115.21
20131211,14609.92,20054.25
20131212,14532.27,19947.67
20131213,14451.30,19836.52
20131216,14343.56,19688.63
20131217,14424.24,19799.38
20131218,14609.71,20053.96
20131219,14743.78,20237.99
20131220,14710.54,20192.37
20131224,14697.20,20174.06
20131225,14701.50,20179.95
20131226,14864.42,20431.08
20131227,14949.68,20548.26
20131230,15128.06,20793.45
20140106,15033.35,20663.26
20140107,14975.16,20583.29
20140108,15253.24,20965.50
20140109,15116.26,20777.22
20140110,15147.02,20819.50
20140114,14884.15,20458.19
20140115,15100.88,20756.08
20140116,15097.37,20751.26
20140117,15179.71,20864.43
20140120,15129.92,20796.01
20140121,15131.47,20798.13
20140122,15178.66,20862.99
20140123,15041.96,20675.10
20140124,14803.89,20347.88
20140127,14406.83,19802.11
20140128,14333.32,19701.08
20140129,14681.92,20180.22
20140130,14347.28,19720.26
20140131,14376.58,19760.54
20140203,14114.36,19400.12
20140204,13533.54,18601.79
20140205,13782.41,18943.86
20140206,13759.98,18913.02
20140207,14117.17,19403.99
20140210,14232.89,19563.04
20140212,14431.63,19836.20
20140213,14254.90,19593.28
20140214,14134.60,19427.94
20140217,14186.05,19498.65
20140218,14530.37,19971.92
20140219,14548.92,19997.42
20140220,14313.12,19673.31
20140221,14589.09,20052.64
20140224,14583.17,20044.49
20140225,14722.25,20235.66
20140226,14650.05,20139.31
20140227,14548.52,19999.74
20140228,14513.33,19955.07
20140303,14335.03,19709.92
20140304,14392.82,19789.39
20140305,14514.55,19956.76
20140306,14649.89,20142.84
20140307,14731.46,20255.00
20140310,14606.43,20083.09
20140311,14674.83,20177.14
20140312,14398.42,19797.09
20140313,14347.95,19727.69
20140314,13927.54,19149.65
20140317,13802.21,18977.33
20140318,13924.05,19144.85
20140319,13940.41,19167.35
20140320,13774.91,18939.79
20140324,13896.77,19107.34
20140325,13918.63,19137.40
20140326,14017.86,19273.83
20140327,14014.76,19545.74
20140328,14124.53,19698.82
20140331,14318.47,19969.31
20140401,14251.84,19876.38
20140402,14311.57,19959.69
20140403,14379.25,20054.08
20140404,14366.64,20036.49
20140407,14207.58,19814.66
20140408,13996.62,19520.44
20140409,13735.28,19155.96
20140410,13739.20,19161.43
20140411,13609.40,18980.40
20140414,13605.54,18975.02
20140415,13657.72,19047.79
20140416,13934.92,19434.39
20140417,13946.51,19450.56
20140418,13982.80,19501.16
20140421,13942.13,19444.45
20140422,13887.32,19368.00
20140423,14010.78,19540.18
20140424,13927.49,19424.02
20140425,14006.40,19534.08
20140428,13979.66,19496.78
20140430,14037.12,19577.40
20140501,14214.11,19824.25
20140502,14210.03,19818.56
20140507,13949.75,19455.54
20140508,14124.92,19699.85
20140509,14189.45,19789.86
20140512,14135.32,19714.37
20140513,14370.43,20042.26
20140514,14422.83,20115.35
20140515,14384.20,20061.47
20140516,14158.73,19747.01
20140519,14096.96,19660.86
20140520,14119.55,19692.37
20140521,14090.33,19651.61
20140522,14299.78,19943.73
20140523,14414.74,20104.06
20140526,14530.30,20265.23
20140527,14518.37,20248.59
20140528,14568.57,20318.61
20140529,14575.70,20328.55
20140530,14584.67,20346.13
20140602,14759.41,20589.90
20140603,14844.92,20709.20
20140604,14910.13,20800.16
20140605,14872.21,20747.26
20140606,14883.37,20762.84
20140609,14880.87,20759.35
20140610,14815.91,20668.72
20140611,14955.59,20863.58
20140612,14989.75,20911.23
20140613,15045.60,20989.15
20140616,14956.46,20864.80
20140617,14993.34,20916.24
20140618,15096.65,21060.37
20140619,15313.23,21362.50
20140620,15288.67,21328.23
20140623,15252.39,21277.62
20140624,15274.80,21308.89
20140625,15208.14,21215.90
20140626,15229.70,21284.15
20140627,15122.43,21134.24
20140630,15202.25,21245.79
20140701,15325.59,21418.17
20140702,15404.02,21527.78
20140703,15356.10,21460.80
20140704,15410.09,21536.27
20140707,15328.58,21422.35
20140708,15321.92,21413.04
20140709,15307.05,21392.26
20140710,15159.82,21186.50
20140711,15183.03,21218.93
20140714,15315.32,21403.82
20140715,15388.62,21506.25
20140716,15386.56,21503.37
20140717,15415.11,21543.27
20140718,15302.45,21385.83
20140722,15390.55,21508.95
20140723,15366.68,21475.60
20140724,15337.52,21434.84
20140725,15454.69,21598.59
20140728,15525.51,21697.57
20140729,15591.13,21791.96
20140730,15582.53,21779.93
20140731,15524.15,21698.34
20140801,15423.05,21557.02
20140804,15404.71,21531.39
20140805,15296.00,21379.44
20140806,15135.18,21154.67
20140807,15220.55,21273.99
20140808,14900.60,20826.79
20140811,15163.53,21194.29
20140812,15237.13,21297.17
20140813,15242.26,21304.33
20140814,15366.65,21478.19
20140815,15379.09,21495.59
20140818,15399.65,21524.31
20140819,15483.97,21642.17
20140820,15494.48,21656.87
20140821,15608.98,21816.91
20140822,15557.48,21744.92
20140825,15568.99,21761.01
20140826,15529.56,21705.89
20140827,15523.43,21700.51
20140828,15492.24,21656.91
20140829,15461.10,21615.50
20140901,15526.27,21706.62
20140902,15635.78,21859.71
20140903,15679.62,21921.01
20140904,15658.43,21891.38
20140905,15622.77,21841.53
20140908,15693.04,21939.77
20140909,15708.06,21960.77
20140910,15810.00,22103.28
20140911,15875.94,22195.48
20140912,15903.82,22234.46
20140916,15885.84,22209.31
20140917,15851.73,22161.63
20140918,15957.96,22310.14
20140919,16073.69,22471.94
20140922,16126.66,22545.99
20140924,16054.98,22445.78
20140925,16227.28,22686.67
20140926,15987.44,22614.02
20140929,16041.71,22690.79
20140930,15838.09,22402.80
20141001,15757.57,22288.91
20141002,15375.98,21749.15
20141003,15380.63,21755.72
20141006,15523.67,21958.06
20141007,15481.91,21898.99
20141008,15327.32,21680.32
20141009,15198.23,21497.72
20141010,15023.06,21249.95
20141014,14704.24,20798.98
20141015,14726.67,20830.71
20141016,14452.26,20442.56
20141017,14176.05,20051.86
20141020,14724.57,20827.74
20141021,14502.54,20513.68
20141022,14848.15,21002.54
20141023,14784.73,20912.83
20141024,14910.68,21090.99
20141027,15068.49,21314.21
20141028,15030.43,21260.37
20141029,15226.65,21537.92
20141030,15288.72,21625.72
20141031,15892.89,22480.10
20141104,16227.62,22953.57
20141105,16324.72,23090.90
20141106,16140.79,22830.74
20141107,16243.50,22976.03
20141110,16147.83,22840.70
20141111,16328.40,23096.11
20141112,16300.16,23056.18
20141113,16419.54,23225.03
20141114,16480.46,23311.20
20141117,16110.14,22787.39
20141118,16386.64,23178.49
20141119,16398.37,23195.08
20141120,16425.23,23233.08
20141121,16410.93,23212.85
20141125,16475.47,23304.14
20141126,16482.66,23314.32
20141127,16317.31,23080.43
20141128,16469.48,23297.23
20141201,16529.55,23382.20
20141202,16567.82,23436.35
20141203,16574.44,23445.71
20141204,16686.17,23603.76
20141205,16735.31,23673.27
20141208,16816.80,23788.54
20141209,16741.45,23681.95
20141210,16420.55,23228.02
20141211,16284.79,23035.98
20141212,16283.39,23033.99
20141215,16039.53,22689.04
20141216,15704.02,22214.44
20141217,15648.58,22136.01
20141218,15899.86,22491.46
20141219,16279.57,23028.59
20141222,16421.26,23229.02
20141224,16511.51,23356.69
20141225,16481.66,23314.46
20141226,16488.67,23389.41
20141229,16451.89,23337.24
20141230,16284.22,23099.40
20150105,16167.95,22934.47
20150106,15733.60,22318.34
20150107,15737.00,22323.16
20150108,15966.13,22648.19
20150109,16061.73,22783.80
20150113,16033.65,22743.96
20150114,15917.45,22579.14
20150115,16084.44,22816.01
20150116,16028.92,22737.25
20150119,16185.04,22958.71
20150120,16479.73,23376.73
20150121,16436.73,23315.73
20150122,16504.15,23411.37
20150123,16603.67,23552.54
20150126,16578.47,23516.80
20150127,16825.10,23866.65
20150128,16849.24,23903.61
20150129,16631.38,23594.54
20150130,16695.39,23685.59
20150202,16669.83,23649.32
20150203,16537.62,23461.76
20150204,16825.68,23870.43
20150205,16784.49,23811.99
20150206,16842.06,23893.67
20150209,17020.59,24146.95
20150210,17120.26,24288.35
20150212,17323.79,24577.10
20150213,17366.34,24637.46
20150216,17582.50,24944.12
20150217,17567.23,24922.46
20150218,17772.71,25213.98
20150219,17920.90,25424.21
20150220,17923.21,25427.49
20150223,17958.09,25476.97
20150224,18041.47,25595.25
20150225,18029.78,25583.61
20150226,18195.33,25818.53
20150227,18192.48,25817.96
20150302,18263.24,25918.39
20150303,18327.49,26009.57
20150304,18209.26,25841.78
20150305,18341.02,26028.77
20150306,18579.19,26366.77
20150309,18442.40,26172.65
20150310,18327.81,26010.03
20150311,18288.13,25953.71
20150312,18539.48,26310.42
20150313,18599.13,26395.07
20150316,18540.68,26312.12
20150317,18633.77,26444.23
20150318,18717.93,26563.67
20150319,18595.96,26390.58
20150320,18637.72,26449.83
20150323,18878.40,26791.40
20150324,18867.63,26776.11
20150325,18892.85,26811.91
20150326,18676.68,26505.12
20150327,18396.19,26396.02
20150330,18405.80,26409.82
20150331,18193.65,26105.43
20150401,17997.28,25823.67
20150402,18315.94,26280.91
20150403,18392.01,26390.05
20150406,18347.14,26325.68
20150407,18581.54,26662.00
20150408,18691.42,26819.66
20150409,18812.88,26993.94
20150410,18761.26,26919.88
20150413,18774.95,26939.52
20150414,18834.04,27024.30
20150415,18823.79,27009.60
20150416,19067.09,27358.71
20150417,19148.21,27475.09
20150420,19115.02,27427.47
20150421,19380.63,27808.59
20150422,19531.58,28025.19
20150423,19665.34,28217.11
20150424,19581.22,28096.41
20150427,19605.27,28130.92
20150428,19655.38,28202.82
20150430,19219.37,27574.88
20150501,19218.67,27573.88
20150507,19065.40,27353.98
20150508,19229.09,27588.84
20150511,19387.79,27816.53
20150512,19417.83,27859.63
20150513,19368.48,27788.82
20150514,19234.78,27597.00
20150515,19410.29,27848.81
20150518,19750.68,28337.18
20150519,19783.81,28384.71
20150520,19856.80,28489.44
20150521,19960.53,28638.27
20150522,19939.46,28608.03
20150525,20103.61,28843.54
20150526,20107.67,28849.37
20150527,20100.64,28839.29
20150528,20273.96,29087.95
20150529,20258.31,29074.71
20150601,20356.96,29216.30
20150602,20231.02,29035.56
20150603,20211.95,29008.18
20150604,20252.86,29066.89
20150605,20117.52,28872.65
20150608,20083.66,28824.07
20150609,19780.53,28389.00
20150610,19715.50,28295.68
20150611,19920.82,28590.36
20150612,19928.39,28601.21
20150615,19914.23,28580.89
20150616,19768.21,28371.33
20150617,19690.13,28259.26
20150618,19451.86,27917.30
20150619,19584.59,28107.79
20150622,19835.40,28467.76
20150623,20166.94,28943.58
20150624,20234.31,29040.27
20150625,20150.33,28919.74
20150626,20063.10,28858.07
20150629,19582.01,28166.09
20150630,19681.74,28309.54
20150701,19639.95,28249.42
20150702,19837.34,28533.35
20150703,19967.64,28720.77
20150706,19622.48,28224.30
20150707,19750.12,28407.89
20150708,19088.60,27456.39
20150709,19069.12,27428.37
20150710,19271.36,27719.27
20150713,19581.37,28165.18
20150714,19863.61,28571.13
20150715,19974.75,28730.99
20150716,20174.87,29018.83
20150717,20212.29,29072.66
20150721,20266.21,29150.22
20150722,20105.35,28918.84
20150723,20193.92,29046.24
20150724,20062.26,28856.86
20150727,19912.14,28640.94
20150728,19746.61,28402.85
20150729,19948.18,28696.07
20150730,20219.53,29086.41
20150731,20306.65,29213.24
20150803,20369.77,29304.05
20150804,20357.88,29286.95
20150805,20345.60,29269.28
20150806,20489.77,29476.68
20150807,20578.32,29604.07
20150810,20708.27,29791.02
20150811,20670.01,29735.98
20150812,20450.88,29420.74
20150813,20410.42,29362.53
20150814,20308.71,29216.20
20150817,20401.34,29349.47
20150818,20406.48,29356.87
20150819,20184.37,29037.33
20150820,19837.40,28538.18
20150821,19333.37,27813.07
20150824,18235.63,26233.86
20150825,17609.45,25333.03
20150826,18074.50,26002.06
20150827,18404.86,26482.41
20150828,19006.81,27348.54
20150831,18874.35,27159.30
20150901,18200.23,26189.27
20150902,18091.55,26032.89
20150903,18253.08,26265.32
20150904,17883.87,25734.05
20150907,17928.87,25798.79
20150908,17645.31,25390.77
20150909,18809.44,27065.90
20150910,18376.59,26443.04
20150911,18335.87,26384.44
20150914,17956.19,25838.11
20150915,17919.83,25785.79
20150916,18103.16,26049.59
20150917,18311.20,26348.96
20150918,17953.75,25834.60
20150924,17552.07,25256.59
20150925,17881.52,25730.66
20150928,17527.59,25507.09
20150929,16648.97,24228.47
20150930,17011.06,24755.40
20151001,17363.66,25268.53
20151002,17357.74,25259.91
20151005,17560.00,25554.24
20151006,17784.20,25880.52
20151007,18088.47,26323.31
20151008,17955.41,26129.67
20151009,18417.86,26802.65
20151013,18195.79,26479.49
20151014,17790.95,25890.35
20151015,18050.13,26267.52
20151016,18240.97,26545.23
20151019,18073.52,26301.55
20151020,18270.43,26588.10
20151021,18582.01,27041.54
20151022,18484.40,26899.48
20151023,18859.72,27445.67
20151026,18942.93,27566.76
20151027,18735.27,27264.56
20151028,18797.46,27355.07
20151029,18799.43,27357.94
20151030,18951.91,27579.80
20151102,18561.61,27011.81
20151104,18776.01,27323.82
20151105,18972.06,27609.12
20151106,19052.85,27726.70
20151109,19446.84,28300.05
20151110,19449.28,28303.59
20151111,19473.49,28338.83
20151112,19389.77,28217.00
20151113,19282.41,28060.75
20151116,19169.86,27896.97
20151117,19306.70,28096.11
20151118,19300.74,28087.44
20151119,19477.02,28343.96
20151120,19443.78,28295.59
20151124,19446.90,28300.13
20151125,19289.55,28071.15
20151126,19417.87,28257.89
20151127,19342.23,28147.81
20151130,19063.72,27743.14
20151201,19323.02,28120.51
20151202,19368.39,28186.53
20151203,19466.65,28329.53
20151204,19129.20,27838.43
20151207,19218.41,27968.27
20151208,19002.69,27654.33
20151209,18846.41,27426.90
20151210,18707.54,27224.81
20151211,18800.95,27360.74
20151214,18586.43,27048.55
20151215,18291.71,26619.66
20151216,18929.49,27547.81
20151217,19167.98,27894.88
20151218,18833.92,27408.72
20151221,18811.57,27376.20
20151222,18844.39,27423.96
20151224,18755.15,27294.08
20151225,18644.69,27133.34
20151228,18757.61,27372.19
20151229,18932.17,27626.92
20151230,18948.41,27650.61
20160104,18521.88,27028.19
20160105,18506.70,27006.04
20160106,18360.31,26792.41
20160107,18014.41,26287.66
20160108,17893.25,26110.86
20160112,17375.39,25355.16
20160113,17792.83,25964.32
20160114,17395.04,25383.84
20160115,17378.79,25360.12
20160118,17226.25,25137.53
20160119,17180.84,25071.27
20160120,16642.65,24285.91
20160121,16159.52,23580.90
20160122,16975.18,24771.16
20160125,17250.28,25172.60
20160126,16867.11,24613.46
20160127,17396.39,25389.15
20160128,17404.60,25401.13
20160129,17833.54,26027.15
20160201,18135.59,26467.97
20160202,18022.11,26302.35
20160203,17528.51,25581.97
20160204,17421.04,25425.12
20160205,17325.06,25285.05
20160208,17451.52,25469.60
20160209,16545.22,24146.90
20160210,16017.91,23377.33
20160212,15142.82,22100.18
20160215,16458.17,24019.86
20160216,16517.30,24106.16
20160217,16325.18,23825.77
20160218,16701.41,24374.87
20160219,16438.40,23991.01
20160222,16524.87,24117.21
20160223,16406.96,23945.12
20160224,16259.30,23729.62
20160225,16482.17,24057.18
20160226,16529.71,24126.56
20160229,16398.84,23938.33
20160301,16444.84,24005.48
20160302,17092.94,24951.55
20160303,17457.46,25483.65
20160304,17459.77,25487.03
20160307,17342.51,25315.85
20160308,17173.84,25069.64
20160309,17065.72,24911.80
20160310,17259.58,25194.81
20160311,17368.27,25353.46
20160314,17506.58,25555.36
20160315,17378.31,25368.11
20160316,17207.06,25118.14
20160317,17194.16,25099.30
20160318,17076.64,24927.76
20160322,17379.01,25369.13
20160323,17276.67,25219.75
20160324,17072.54,24921.77
20160325,17272.94,25214.30
20160328,17459.97,25487.32
20160329,17329.79,25609.90
20160330,16998.59,25120.46
20160331,16918.71,25002.41
20160401,16389.74,24220.69
20160404,16353.13,24166.59
20160405,15892.89,23486.46
20160406,15881.69,23469.90
20160407,15941.45,23558.22
20160408,16151.46,23868.57
20160411,16037.07,23699.52
20160412,16340.80,24148.38
20160413,16782.05,24800.45
20160414,17258.74,25504.91
20160415,17135.14,25322.24
20160418,16610.66,24547.18
20160419,17154.71,25351.16
20160420,17129.47,25313.87
20160421,17507.75,25872.89
20160422,17741.07,26217.69
20160425,17629.07,26052.17
20160426,17494.96,25853.99
20160427,17362.88,25658.79
20160428,16709.64,24691.31
20160502,16284.02,24062.38
20160506,16277.47,24052.70
20160509,16348.71,24157.98
20160510,16710.44,24692.48
20160511,16731.93,24724.24
20160512,16728.89,24719.75
20160513,16481.90,24354.78
20160516,16525.64,24419.42
20160517,16609.85,24543.85
20160518,16641.33,24590.37
20160519,16611.41,24546.16
20160520,16614.47,24550.67
20160523,16590.94,24515.91
20160524,16469.58,24336.58
20160525,16728.12,24718.62
20160526,16679.76,24647.15
20160527,16737.48,24732.45
20160530,16951.76,25049.08
20160531,17131.65,25318.65
20160601,16891.66,24963.96
20160602,16507.95,24396.88
20160603,16568.55,24486.45
20160606,16514.18,24406.09
20160607,16581.00,24504.84
20160608,16727.89,24721.93
20160609,16530.01,24429.48
20160610,16457.89,24322.90
20160613,15858.11,23436.49
20160614,15718.44,23230.08
20160615,15775.41,23314.27
20160616,15369.92,22715.01
20160617,15520.47,22937.51
20160620,15865.46,23447.36
20160621,16057.94,23731.82
20160622,15975.11,23609.40
20160623,16168.27,23894.88
20160624,15053.91,22247.98
20160627,15232.65,22512.13
20160628,15133.05,22445.04
20160629,15415.55,22864.03
20160630,15380.13,22811.50
20160701,15478.55,22957.48
20160704,15660.44,23227.25
20160705,15606.65,23147.47
20160706,15336.16,22746.28
20160707,15254.45,22625.09
20160708,15082.94,22370.71
20160711,15575.42,23101.15
20160712,15928.16,23624.32
20160713,16152.26,23956.71
20160714,16259.32,24115.49
20160715,16358.76,24262.99
20160719,16495.48,24465.77
20160720,16463.16,24417.83
20160721,16605.76,24629.33
20160722,16480.43,24443.45
20160725,16435.90,24377.40
20160726,16164.38,23974.68
20160727,16289.33,24164.91
20160728,16128.80,23926.77
20160729,16250.72,24107.64
20160801,16290.18,24166.17
20160802,16008.78,23748.72
20160803,15762.95,23384.03
20160804,15976.79,23701.26
20160805,15943.59,23652.02
20160808,16305.32,24188.63
20160809,16444.90,24395.69
20160810,16388.30,24311.73
20160812,16421.84,24361.49
20160815,16348.27,24252.35
20160816,16139.58,23942.75
20160817,16395.94,24323.07
20160818,16142.26,23946.74
20160819,16254.38,24113.06
20160822,16322.75,24214.49
20160823,16225.14,24069.68
20160824,16348.05,24252.02
20160825,16328.58,24223.14
20160826,16128.84,23926.82
20160829,16471.45,24437.45
20160830,16479.53,24449.44
20160831,16660.34,24719.19
20160901,16779.57,24896.10
20160902,16845.75,24994.29
20160905,16922.59,25108.31
20160906,17002.79,25227.30
20160907,16890.49,25060.67
20160908,16831.69,24973.43
20160909,16797.73,24923.03
20160912,16547.16,24551.27
20160913,16525.56,24519.22
20160914,16386.85,24313.42
20160915,16197.94,24033.12
20160916,16257.42,24121.38
20160920,16374.87,24295.64
20160921,16820.07,24956.18
20160923,16764.13,24873.19
20160926,16624.57,24666.13
20160927,16738.33,24834.91
20160928,16429.41,24684.00
20160929,16622.61,24974.27
20160930,16386.23,24619.13
20161003,16455.81,24723.68
20161004,16573.49,24900.47
20161005,16651.31,25017.40
20161006,16720.15,25120.82
20161007,16690.23,25075.88
20161011,16765.99,25189.70
20161012,16604.37,24946.88
20161013,16590.93,24926.68
20161014,16699.43,25089.70
20161017,16730.80,25136.82
20161018,16738.59,25148.53
20161019,16735.94,25144.55
20161020,16891.74,25378.63
20161021,16817.07,25266.45
20161024,16829.78,25285.54
20161025,16938.97,25449.59
20161026,17037.15,25597.09
20161027,17006.00,25550.30
20161028,17168.57,25794.55
20161031,17239.31,25903.33
20161101,17261.42,25936.56
20161102,16964.38,25490.24
20161104,16623.26,24977.67
20161107,16792.97,25232.67
20161108,16841.51,25305.61
20161109,16077.70,24157.93
20161110,16941.83,25456.35
20161111,17022.91,25578.18
20161114,17253.00,25923.91
20161115,17345.40,26062.75
20161116,17619.59,26474.73
20161117,17596.60,26440.19
20161118,17612.84,26464.58
20161121,17802.62,26749.74
20161122,17860.28,26836.39
20161124,18051.89,27124.30
20161125,18128.66,27239.65
20161128,18271.05,27453.60
20161129,18267.25,27447.89
20161130,18267.40,27452.10
20161201,18487.16,27782.36
20161202,18479.49,27770.83
20161205,18358.49,27588.99
20161206,18516.59,27826.58
20161207,18657.20,28037.89
20161208,18973.29,28512.90
20161209,19145.77,28772.11
20161212,19166.09,28802.65
20161213,19287.73,28985.45
20161214,19276.84,28969.09
20161215,19315.43,29027.07
20161216,19417.88,29181.04
20161219,19380.05,29124.19
20161220,19360.89,29095.39
20161221,19330.22,29049.30
20161222,19359.71,29093.62
20161226,19178.21,28820.86
20161227,19174.00,28814.54
20161228,19125.93,28826.36
20161229,18886.70,28465.80
20161230,18871.06,28442.23
20170104,19336.13,29143.17
20170105,19363.77,29184.83
20170106,19278.80,29056.77
20170110,19142.21,28850.89
20170111,19266.70,29038.53
20170112,19102.06,28790.38
20170113,19208.34,28950.57
