申込日,売残_株数(百万株),売残_前週比(%),売残_金額(百万円),売残金額_前週比(%),買残_株数(百万株),買残_前週比(%),買残_金額(百万円),買残金額_前週比(%),評価損益率(%),信用倍率
2015/03/27,698,-82.3,7171,-617,4384,+15.1,30380,+653.3,-9.99,4.24
2015/04/03,717,+19,7493,+322.4,4347,-37.5,29820,-559.1,-9.76,3.98
2015/04/10,727,+10.2,7913,+419.7,4325,-21.4,29480,-340.3,-8.73,3.73
2015/04/17,769,+41.6,7995,+82.1,4291,-34.7,30116,+635.6,-8.23,3.77
2015/04/24,802,+32.4,8556,+561,4236,-54.8,29380,-736,-7.87,3.43
2015/05/01,703,-98.9,7332,-1224.4,4203,-32.9,29858,+478.2,-9.79,4.07
2015/05/15,781,+78.2,7584,+252.4,4232,+28.8,29927,+69.1,-8.01,3.95
2015/05/22,829,+47.6,8263,+678.8,4156,-76,28878,-1049.5,-6.94,3.49
2015/05/29,879,+50,8683,+420.2,4196,+40.3,28866,-11.1,-6.56,3.32
2015/06/05,872,-6.8,8460,-223.3,4251,+55.1,29907,+1040.2,-6.31,3.54
2015/06/12,827,-44.5,8044,-416.2,4316,+64.4,31127,+1220.3,-6.18,3.87
2015/06/19,801,-25.9,7785,-258.9,4451,+135.6,32247,+1119.6,-7.3,4.14
2015/06/26,824,+22.7,8076,+291,4470,+18.4,31645,-601.9,-6.09,3.92
2015/07/03,824,-0.3,7479,-596.3,4515,+45.4,32397,+752.7,-6.31,4.33
2015/07/10,722,-101.7,6433,-1046.4,4577,+61.2,34440,+2042.1,-9.08,5.35
2015/07/17,813,+91.3,7545,+1111.9,4517,-59.4,32478,-1961.4,-6.35,4.3
2015/07/24,788,-25.1,7133,-412,4601,+83.7,33718,+1239.9,-6.21,4.72
2015/07/31,775,-13,7062,-71,4575,-26.1,33943,+224.9,-6.75,4.81
2015/08/07,772,-2.9,7111,+48.9,4552,-22.3,33472,-471.3,-7.54,4.71
2015/08/14,768,-4,6957,-153.7,4579,+26.2,34028,+555.9,-7.61,4.89
2015/08/21,722,-45.6,6424,-533.2,4532,-47.1,35870,+1842.4,-11.72,5.58
2015/08/28,652,-70.3,5551,-872.3,4118,-413.1,33049,-2821,-10.92,5.95
2015/09/04,656,+4.1,5509,-42.5,4206,+87.9,34046,+996.5,-16.71,6.18
2015/09/11,677,+21,5660,+151.4,4105,-101.7,32949,-1096.3,-13.62,5.82
2015/09/18,676,-1.6,5543,-117.7,4135,+30.2,33004,+54.9,-13.78,5.95
2015/10/02,649,-26.6,5461,-82.1,4008,-126.2,32538,-466.3,-14.72,5.95
2015/10/09,711,+61.7,6043,+582.5,3878,-130.7,31533,-1004.6,-10.96,5.22
2015/10/16,733,+22.7,6099,+55.6,3931,+53.6,31855,+321.5,-11.14,5.22
2015/10/23,755,+21.7,6367,+268.5,3888,-43,30820,-1035,-10.2,4.84
2015/10/30,745,-9.8,6385,+17.8,3899,+10.8,31002,+182.4,-9.82,4.86
2015/11/06,754,+8.1,6615,+229.6,3917,+18,31058,+55.7,-10.7,4.7
2015/11/13,775,+21,6817,+202.7,3959,+41.8,31144,+85.8,-9.87,4.57
2015/11/20,802,+27,7110,+292.9,3849,-109.8,30025,-1118.9,-9.32,4.22
2015/11/27,787,-14.5,7080,-30,3911,+62.1,30698,+672.7,-8.6,4.34
2015/12/04,776,-11.1,6742,-338.1,3977,+65.5,31939,+1241.6,-7.74,4.74
2015/12/11,743,-33.3,6409,-332.7,4096,+119.4,32882,+942.4,-8.58,5.13
2015/12/18,712,-30.9,6274,-135.5,4082,-14.2,32464,-417.6,-10.27,5.17
2015/12/25,726,+14.6,6342,+67.9,4080,-2.1,32005,-458.9,-11.47,5.05
2015/12/30,704,-22.6,6010,-331.5,3907,-173.3,30610,-1395.1,-8.68,5.09
2016/01/08,669,-34.4,5634,-376.7,4019,+112.2,32731,+2120.8,-12.59,5.81
2016/01/15,663,-6.4,5302,-331.2,3948,-71.3,32038,-692.7,-15.52,6.04
2016/01/22,667,+4.5,5150,-152.3,3703,-244.1,29692,-2346.4,-16.63,5.77
2016/01/29,704,+36.9,5576,+425.9,3701,-2.1,29115,-577,-12.81,5.22
2016/02/05,735,+30.5,5591,+15.3,3777,+76,29330,+215.6,-16.5,5.25
2016/02/12,702,-32.7,5125,-466.5,3469,-308.8,26797,-2532.8,-25.76,5.23
2016/02/19,730,+27.5,5322,+197.1,3351,-117.1,25270,-1527.5,-17.91,4.75
2016/02/26,731,+1.7,5414,+92.1,3356,+4.7,24872,-397.6,-16.73,4.59
2016/03/04,785,+53.9,6237,+823.3,3311,-45.2,24497,-375.2,-12.84,3.93
2016/03/11,775,-9.8,5952,-285.1,3452,+140.6,25680,+1183.2,-11.68,4.31
2016/03/18,764,-11.2,5692,-260.4,3580,+128.2,27052,+1371.2,-10.92,4.75
2016/03/25,819,+54.8,6392,+700.3,3638,+57.7,26789,-262.3,-10.92,4.19
2016/04/01,743,-75.7,5564,-828.3,3646,+8.6,27555,+765.7,-13.15,4.95
2016/04/08,778,+35,5786,+222.5,3573,-72.9,26912,-643.5,-14.37,4.65
2016/04/15,848,+69.8,6646,+859.9,3432,-141.4,25815,-1096.6,-10.54,3.79
2016/04/22,907,+59,7346,+699.2,3309,-122.4,24624,-1190.8,-8.02,3.35
2016/04/28,872,-35.2,6708,-637.3,3337,+27.2,24997,+373.3,-11.54,3.73
2016/05/13,837,-34.6,6376,-331.7,3493,+156.5,26046,+1048.6,-10.73,4.09
2016/05/20,857,+20,6676,+300,3405,-88.2,25331,-715.2,-11.51,3.79
2016/05/27,887,+29.5,6970,+293.4,3380,-24.7,24899,-431.9,-11.32,3.57
2016/06/03,854,-32.7,6777,-192.9,3435,+54.9,25426,+527.2,-10.48,3.75
2016/06/10,830,-24.5,6843,+65.8,3477,+41.7,25549,+123.3,-10.33,3.73
2016/06/17,768,-61.6,6107,-735.9,3347,-129.5,24476,-1073.5,-16.49,4.01
2016/06/24,703,-64.7,5489,-617.4,3242,-105.7,23686,-789.6,-18.69,4.32
2016/07/01,682,-21,5947,+457.6,3180,-61.9,22872,-814.1,-15.84,3.85
2016/07/08,670,-11.7,5739,-207.8,3243,+63.1,23217,+345.1,-18.1,4.05
2016/07/15,725,+54.2,6773,+1033.7,2971,-271.6,21485,-1732,-15.31,3.17
2016/07/22,709,-15.8,6708,-64.8,2961,-9.7,22186,+700.6,-14.2,3.31
2016/07/29,711,+2.7,6447,-261.1,2926,-34.9,21550,-635.6,-14.73,3.34
2016/08/05,643,-68.2,6055,-391.6,3030,+103.5,22419,+869.2,-15.59,3.7
2016/08/12,673,+29.9,6572,+516.4,2960,-69.7,21616,-802.9,-14.34,3.29
2016/08/19,706,+32.4,6698,+126.1,2977,+17.1,22317,+700.2,-15.03,3.33
2016/08/26,727,+21.3,7203,+505,3013,+35,22528,+211.4,-15.5,3.13
2016/09/02,768,+41.3,7425,+222.3,2875,-137.4,21509,-1019.2,-13.84,2.9
2016/09/09,767,-0.8,7588,+162.4,2866,-9.2,21714,+205.3,-11.9,2.86
2016/09/16,729,-38.4,7377,-210.7,2932,+65.9,22412,+697.5,-13.57,3.04
2016/09/23,775,+45.6,7576,+198.6,2862,-70.2,21743,-668.8,-11.76,2.87
2016/09/30,666,-108.1,6933,-642.7,2766,-95.9,22073,+329.7,-12.21,3.18
2016/10/07,696,+29.6,7293,+360.3,2715,-50.9,21522,-550.9,-11.68,2.95
2016/10/14,693,-3,7356,+62.9,2763,+47.9,21832,+310.2,-12.1,2.97
2016/10/21,719,+26.3,7775,+418.9,2736,-26.3,21482,-349.7,-10.86,2.76
2016/10/28,784,+64.8,8373,+597.8,2675,-60.8,21181,-300.7,-10.48,2.52
2016/11/04,699,-85.4,7203,-1169.5,2695,-85.4,21949,+767.6,-12.37,3.05
2016/11/11,756,+57.2,7522,+318.2,2501,-194.4,20448,-1500.9,-11.31,2.72
2016/11/18,856,+100.2,8655,+1133.2,2538,+37,20580,+131.5,-8.21,2.38
2016/11/25,902,+45.8,9323,+668.3,2553,+15.1,20400,-179.9,-8.19,2.19
2016/12/02,936,+33.5,9332,+8.8,2531,-22.1,20828,+428.6,-7.26,2.23
2016/12/09,934,-1.8,9766,+433.8,2590,+58.9,21046,+217.4,-7.06,2.16
2016/12/16,927,-7,9898,+132.5,2590,-0.1,21144,+97.7,-7.31,2.14
2016/12/22,909,-17.9,9691,-207.1,2621,+31.4,21226,+82.3,-9.06,2.19
2016/12/30,837,-71.6,8855,-836.6,2628,+6.4,20938,-288,-8.54,2.36
2017/01/06,868,+30.8,9272,+417.2,2633,+5.5,21061,+123.2,-7.36,2.27
2017/01/13,872,+4.3,9181,-90.5,2689,+55.5,21669,+607.6,-7.68,2.36
2017/01/20,868,-4.2,9142,-39.6,2720,+31.6,21954,+285.4,-8.3,2.4
2017/01/27,874,+5.3,9234,+92.6,2714,-6.1,22157,+202.3,-7.21,2.4
2017/02/03,857,-16,8955,-278.9,2832,+118.1,23428,+1270.8,-7.82,2.62
2017/02/10,883,+25.5,9353,+398,2828,-4.2,23351,-72.2,-6.78,2.5
2017/02/17,924,+41.2,9439,+85.2,2860,+31.9,24139,+787.6,-6.08,2.56
2017/02/24,936,+12.1,9410,-28.7,2910,+50.4,24399,+259.9,-5.34,2.59
2017/03/03,959,+22.9,9584,+173.9,2954,+43.9,24651,+252.3,-5.53,2.57
2017/03/10,949,-9.8,9554,-30.1,2982,+27.5,24793,+141.4,-5.19,2.6
2017/03/17,918,-31.3,9583,+28.8,3051,+68.7,25465,+672.1,-6.4,2.68
2017/03/24,931,+12.5,9389,-193.7,3103,+52.7,26147,+682,-6.82,2.78
2017/03/31,850,-80.3,8597,-802,3108,+4.8,26256,+108.9,-7.83,3.05
2017/04/07,840,-10.7,8274,-312.3,3086,-22.3,25864,-392.4,-9.49,3.13
2017/04/14,807,-32.1,8146,-128.2,3023,-63.2,25433,-430.1,-11.69,3.12
2017/04/21,831,+23.4,8437,+291.3,2997,-26,25168,-265,-9.17,2.98
2017/04/28,863,+32.4,8959,+521.9,2917,-80,23948,-1220.3,-8.9,2.67
2017/05/12,902,+38.2,9678,+718.7,2886,-30.4,23261,-687,-8.49,2.4
2017/05/19,876,-26,9527,-150.7,2961,+74.8,23968,+707.2,-9.24,2.52
2017/05/26,895,+18.9,10201,+673.4,3016,+55,24512,+543.4,-9.1,2.4
2017/06/02,883,-31.8,10315,+113.8,2984,-31.8,24138,-373.5,-8.43,2.34
2017/06/09,841,-41.6,9886,-429.1,2989,+4.6,24736,+598,-8.4,2.5
2017/06/16,823,-17.7,9546,-339.3,3021,+32,25297,+560.3,-7.76,2.65
2017/06/23,836,+12.7,10045,+498.6,3060,+38.7,25421,+124.6,-7.38,2.53
2017/06/30,840,+4.1,9578,-467.1,2959,-100.4,25488,+67,-6.88,2.66
2017/07/07,853,+12.6,9541,-36.4,2959,-0.3,25964,+475.5,-7.21,2.72
2017/07/14,849,-3.6,9566,+24.3,3034,+75.7,26097,+133.5,-6.67,2.73
2017/07/21,836,-13.5,9506,-59.8,3082,+47.6,26210,+113,-6.42,2.76
2017/07/28,819,-16.5,9437,-69,3149,+67,26639,+428.6,-7.87,2.82
2017/08/04,816,-3.6,9417,-19.2,3186,+37.2,26368,-270.9,-9.2,2.8
2017/08/10,803,-12.1,9302,-115.4,3168,-18.6,26612,+244.1,-9.94,2.86
2017/08/18,786,-17,9002,-300.5,3168,+0.4,27069,+456.9,-9.05,3
2017/08/25,803,+16.8,9531,+529.9,3163,-4.9,27183,+113.7,-8.95,2.85
2017/09/01,808,+4.5,9374,-157,3193,+29.5,27090,-93.2,-8.38,2.89
2017/09/08,797,-11,9138,-236.3,3133,-59.8,26858,-231.1,-11,2.94
2017/09/15,850,+53.1,10111,+973,3092,-41,25939,-919.8,-9.85,2.57
2017/09/22,926,+76.5,11077,+965.8,3035,-57.2,25829,-109.2,-10,2.33
2017/09/29,703,-223.1,9927,-1149.5,2557,-477.8,25929,+100.1,-8.52,2.61
2017/10/06,721,+17.9,10140,+212.1,2546,-11.3,25813,-116.4,-8.8,2.55
2017/10/13,720,-1.1,10509,+369.3,2564,+18.3,25812,-1.3,-8.69,2.46
2017/10/20,715,-5.1,10670,+161.2,2554,-9.5,25728,-83.1,-9.91,2.41
2017/10/27,737,+22.2,11019,+348.4,2540,-14.5,25948,+219.8,-8.36,2.35
2017/11/02,712,-25.7,10837,-181.4,2574,+34.6,26888,+939.3,-8.02,2.48
2017/11/10,672,-39,10454,-382.8,2609,+34.9,27896,+1008.6,-8.8,2.67
2017/11/17,661,-11.8,10272,-182.6,2638,+28.8,28331,+434.3,-9.95,2.76
2017/11/24,660,-0.6,10498,+226.1,2684,+45.2,29073,+742,-8.41,2.77
2017/12/01,645,-15.3,10154,-343.5,2684,+0.7,29886,+813.3,-7.76,2.94
2017/12/08,636,-8.6,10126,-28.5,2689,+4.3,30173,+286.5,-7.6,2.98
2017/12/15,637,+0.6,9753,-372.8,2718,+29.6,31159,+986.9,-6.95,3.19
2017/12/22,644,+7,9971,+218.1,2686,-32.3,30922,-237.9,-6.11,3.1
2017/12/29,587,-56.5,8921,-1050,2619,-67.2,30212,-709,-5.77,3.39
2018/01/12,630,+42.6,9781,+860.3,2628,+9.6,31013,+800.2,-3.63,3.17
2018/01/19,621,-8.8,9996,+214.1,2711,+82.9,31382,+368.9,-5.1,3.14
2018/01/26,626,+4.7,9941,-54.2,2782,+70.6,32921,+1539.2,-4.22,3.31
2018/02/02,606,-19.5,9363,-578.3,2845,+63.5,34304,+1383,-4.77,3.66
2018/02/09,520,-86.2,7719,-1644,2758,-86.96,34097,-206.6,-10.1,4.41
2018/02/16,536,+16.2,8147,+427.7,2739,-19.7,33555,-542,-9.9,4.12
2018/02/23,585,+49.3,9520,+1373.8,2778,+38.9,34462,+906.6,-7.92,3.62
2018/03/02,530,-55.4,7916,-1604.1,2862,+83.9,36162,+1699.9,-8.86,4.57
2018/03/09,524,-6.4,8512,+595.4,2889,+27.3,35776,-386.4,-9.32,4.2
2018/03/16,531,+7.7,8633,+120.7,2934,+44.6,36024,+248,-8.56,4.17
2018/03/23,549,+18.2,9402,+769.6,2927,-7,36759,+735.1,-11.66,3.91
2018/03/30,486,-63.8,7348,-2053.9,2850,-76.3,35569,-1189.3,-8.78,4.84
2018/04/06,512,+26.8,7604,+255.2,2888,+37.4,35918,+348.3,-9.73,4.72
2018/04/13,527,+14.8,7724,+120.5,2854,-33.8,35503,-415,-9.09,4.6
2018/04/20,532,+4.8,7865,+140.7,2818,-35.7,34575,-928,-9.25,4.4
2018/04/27,514,-18.1,7638,-227,2795,-23.3,33934,-640.7,-8.93,4.44
2018/05/11,509,-4.5,8135,+497.3,2816,+21.7,33630,-303.9,-8.54,4.13
2018/05/18,517,+7.8,8232,+97.1,2760,-56.4,33086,-544.3,-8.15,4.02
2018/05/25,510,-6.7,8242,+9.7,2835,+75.4,34245,+1158.9,-9.58,4.15
2018/06/01,518,+7.2,8062,-180.1,2867,+31.4,34695,+449.9,-9.99,4.3
2018/06/08,522,+4.5,8351,+289.7,2837,-30,33678,-1016.2,-9.67,4.03
2018/06/15,539,+17.1,8530,+178.1,2862,+25.6,33525,-153.1,-9.77,3.93
2018/06/22,538,-1.2,8461,-68.7,2868,+5.7,33494,-30.8,-11.48,3.96
2018/06/29,510,-27.7,7571,-889.5,2820,-48.4,33196,-298.6,-11.57,4.38
2018/07/06,495,-15.1,7310,-261,2720,-100.2,32191,-1005,-13.8,4.4
2018/07/13,497,+1.2,7737,+427,2663,-56.8,30889,-1301.7,-12.3,3.99
2018/07/20,510,+13,7910,+173,2635,-27.2,30677,-212.1,-11.73,3.88
2018/07/27,521,+11.3,7987,+76.4,2563,-72.3,29848,-828.3,-9.9,3.74
2018/08/03,506,-14.6,7726,-260.3,2555,-7.8,30142,+293.4,-10.94,3.9
2018/08/10,523,+16.3,8082,+355,2534,-20.9,30265,+122.9,-11.93,3.74
2018/08/17,513,-9.2,7691,-390.2,2476,-58.2,30118,-147.2,-12.69,3.92
2018/08/24,545,+31.5,8379,+687.2,2475,-1,29729,-389,-10.98,3.55
2018/08/31,537,-8.1,8466,+87.8,2489,+14.1,29328,-400.3,-9.73,3.46
2018/09/07,537,±0,8264,-202.2,2561,+72.2,30748,+1419.6,-11.71,3.72
2018/09/14,567,+30.4,8951,+686.7,2530,-31.6,29594,-1153.4,-10.91,3.3
2018/09/21,635,+67.8,10673,+1722,2424,-105.7,27973,-1621.5,-9.31,2.62
2018/09/28,539,-95.7,9291,-1382.1,2285,-139.2,27815,-158,-8.92,2.99
2018/10/05,538,-1,9015,-275.8,2308,+23.2,28938,+1123,-10.25,3.21
2018/10/12,493,-45.5,7844,-1170.9,2342,+34.4,30595,+1657.3,-10.6,3.9
2018/10/19,487,-6.1,7529,-314.8,2391,+48.3,31700,+1104.6,-10.17,4.21
2018/10/26,480,-6.8,7203,-326.1,2356,-35.2,31460,-240.3,-16.07,4.37
2018/11/02,476,-3.7,7153,-50.3,2270,-85.4,30038,-1421.6,-10.44,4.2
2018/11/09,507,+30.8,7549,+396,2246,-23.8,29905,-132.5,-9.73,3.96
2018/11/16,505,-1.6,7430,-118.1,2292,+45.8,30274,+368.7,-13.14,4.07
2018/11/22,511,+6.1,7531,+100.2,2296,+3.7,29971,-302.8,-12.69,3.98
2018/11/30,526,+14.6,7954,+423.1,2294,-2.3,29105,-866.2,-10.57,3.66
2018/12/07,515,-11.4,7618,-335.6,2377,+83.6,30275,+1169.5,-12.54,3.97
2018/12/14,516,+1,7428,-190.1,2358,-19,29738,-536.6,-13.63,4
2018/12/21,544,+28,7800,+372.2,2235,-122.9,28259,-1479.3,-19.21,3.62
2018/12/28,464,-79.1,6539,-1260.8,1981,-254.1,24780,-3478.6,-18.78,3.79
2019/01/11,511,+46.4,7359,+820.1,1967,-13.6,24605,-174.9,-16.21,3.34
2019/01/18,521,+10,7457,+97.4,1968,+0.3,24521,-84.3,-14.34,3.29
2019/01/25,537,+15.9,7609,+151.6,1976,+8.4,24633,+112.4,-13.33,3.24
2019/02/01,535,-2.3,7732,+123.8,2013,+37,24539,-93.9,-15,3.17
2019/02/08,538,+2.9,7877,+144.4,2040,+27.1,25006,+467.1,-15.95,3.17
2019/02/15,562,+24.4,8525,+647.7,2020,-20,24316,-689.8,-15.13,2.85
2019/02/22,597,+34.6,9275,+750.7,2018,-2.1,23842,-474.6,-13.23,2.57
2019/03/01,569,-27.6,8766,-509,2024,+5.8,23692,-150.1,-13.15,2.7
2019/03/08,599,+29.4,8870,+103.7,2112,+87.9,24616,+924.7,-16.01,2.78
2019/03/15,615,+16.5,9307,+436.6,2072,-40.5,24117,-499.7,-14.05,2.59
2019/03/22,675,+60.2,10636,+1329,2064,-7.3,23907,-209.5,-13,2.25
2019/03/29,584,-91.1,8552,-2083.6,2068,+3.4,23558,-349.2,-13.36,2.75
2019/04/05,617,+32.5,9299,+747,1994,-73.5,21695,-1862.9,-12.96,2.33
2019/04/12,583,-34,9340,+41,2034,+39.7,21842,+147.1,-14.26,2.34
2019/04/19,586,+2.9,9771,+431,1989,-44.8,21190,-652.1,-13.71,2.17
2019/04/26,537,-49,8974,-797.3,1964,-25,20781,-408.9,-13.65,2.32
2019/05/10,532,-5,8439,-535.1,2028,+64.5,22232,+1450.1,-14.75,2.63
2019/05/17,544,+12.8,8529,+90.7,2012,-16.8,21999,-232,-15.39,2.58
2019/05/24,577,+12.9,8630,+100.7,2023,+11,22395,+395.8,-15.88,2.59
2019/05/31,565,+7.8,8479,-151,2052,+29,22849,+453.8,-15.92,2.69
2019/06/07,563,-2.5,8795,+315.4,1982,-69.5,21961,-888.2,-15.67,2.5
2019/06/14,575,+12.6,9099,+304.1,2000,+18,21984,+23.4,-15.01,2.41
2019/06/21,613,+37.3,9693,+594.6,1978,-22.3,21762,-222.5,-15.9,2.24
2019/06/28,600,-12.8,8953,-740.1,1984,+5.8,21663,-98.5,-14.79,2.42
2019/07/05,622,+22.5,9550,+596.9,1957,-26.4,21112,-551.3,-13.47,2.21
2019/07/12,606,-16.6,9514,-36.4,1983,+25.9,21707,+594.8,-,2.28
2019/07/19,604,-2,9288,-226.2,1999,+15.4,21995,+288.6,-14.23,2.37
2019/07/26,610,+6.7,9523,+235.3,2006,+7.5,21950,-45.3,-14.41,2.3
2019/08/02,588,-22,8902,-620.6,2049,+42.1,23144,+1193.7,-14.2,2.6
2019/08/09,593,+4.7,8631,-271.3,2059,+10.4,23624,+479.7,-14.67,2.73
2019/08/16,600,+6.8,8755,+124.2,2066,+6.8,23794,+170.8,-15.44,2.72
2019/08/23,625,+24.8,9370,+615,2049,-17.1,23433,-361.8,-14.83,2.5
2019/08/30,604,-20.9,9001,-369.1,1998,-50.2,22832,-601,-15.93,2.54
2019/09/06,623,+19.1,9594,+593,1974,-24.4,22090,-741.2,-15.15,2.3
2019/09/13,695,+71.6,11048,+1453.9,1880,-94.3,20748,-1342.5,-13.89,1.88
2019/09/20,705,+10.1,11261,+213.3,1857,-22.3,20506,-241.8,-13.74,1.82
2019/09/27,629,-75.9,9962,-1299.3,1869,+12.1,20926,+419.9,-13.48,2.1
2019/10/04,581,-48,9021,-940.7,1897,+27.2,21516,+589.6,-14.05,2.39
2019/10/11,586,+5.7,9114,+92.9,1900,+3,21403,-112.1,-13.63,2.35
2019/10/18,596,+9.2,9548,+433.6,1876,-23.4,20828,-575.2,-12.63,2.18
2019/10/25,610,+14,9878,+330.2,1862,-14.2,20860,+31.5,-11.64,2.11
2019/11/01,594,-15.7,9809,-68.9,1875,+12.9,20718,-141.1,-12.09,2.11
2019/11/08,602,+8.1,9912,+102.7,1868,-6.5,20812,+93,-12.57,2.1
2019/11/15,600,-2.5,9913,+1.4,1883,+14.9,21233,+421.9,-12.41,2.14
2019/11/22,591,-8.1,9783,-130.1,1946,+63.1,21944,+710.3,-12.37,2.24
2019/11/29,603,+11.8,10153,+370.1,1959,+12.8,22169,+225,-12.1,2.18
2019/12/06,606,+3.1,10287,+133.8,1968,+8.9,22561,+392.1,-11.74,2.19
2019/12/13,603,-3,10492,+205.3,1966,-2.2,22208,-352.5,-11.42,2.12
2019/12/20,596,-7,10123,-368.9,1967,+0.9,22736,+527.5,-11.7,2.25
2019/12/27,533,-62.8,8920,-1203.4,1932,-35.2,22236,-500,-11.07,2.49
2020/01/10,538,+4.5,8950,+30,1964,+32,22742,+506.6,-10.86,2.54
2020/01/17,539,+1.4,8921,-28.6,2034,+70,23584,+841.5,-10.6,2.64
2020/01/24,532,-7.8,8817,-104.6,2086,+52,24399,+815.1,-10.7,2.77
2020/01/31,524,-7.9,8706,-110.6,2060,-25.9,24637,+238,-13.19,2.83
2020/02/07,540,+16,9405,+699.2,2035,-25.3,23677,-959.9,-12.55,2.52
2020/02/14,536,-3.8,9218,-187.5,2065,+30.4,23963,+285.7,-13.59,2.6
2020/02/21,545,+8.7,9383,+165,2045,-20.2,23934,-28.8,-15.25,2.55
2020/02/28,477,-67.6,7435,-1947.3,1915,-129.8,23479,-454.6,-21.35,3.16
2020/03/06,503,+26,7485,+49.5,1931,+16.1,23721,+241.8,-20.39,3.17
2020/03/13,556,+52.9,7503,+17.6,1691,-240.3,19681,-4040.4,-31.02,2.62
2020/03/19,617,+60.7,8182,+679,1624,-66.4,18440,-1240.3,-31.37,2.25
2020/03/27,746,+129.3,10825,+2642.9,1582,-42.5,17540,-900.2,-25.07,1.62
2020/04/03,496,-250.4,7269,-3555.2,1665,+83.7,18015,+475.3,-30.51,2.48
2020/04/10,523,+27.1,7971,+701.3,1688,+22.2,17947,-68.2,-25.49,2.25
2020/04/17,520,-2.5,8321,+349.8,1788,+99.9,18526,+578.6,-24.33,2.23
2020/04/24,515,-5,7919,-401.8,1847,+59.8,19212,+686,-24.7,2.43
2020/05/01,508,-7.6,7762,-156.7,1849,+1.2,19200,-11.5,-22.49,2.47
2020/05/15,522,+14.2,8026,+264.2,1940,+91,20231,+1031,-20.1,2.52
2020/05/22,530,+8.5,8320,+293.5,1995,+54.9,20442,+210.9,-17.7,2.46
2020/05/29,548,+18.1,8774,+453.7,2006,+10.8,20136,-305.8,-15.51,2.29
2020/06/05,587,+38.7,9413,+639.6,2002,-3.5,20040,-95.9,-14.65,2.13
2020/06/12,547,-39.9,8992,-420.9,2136,+134.4,21080,+1039.3,-16.33,2.34
2020/06/19,548,+0.8,9136,+143.6,2159,+22.9,21482,+402.3,-14.87,2.35
2020/06/26,600,+51.8,10267,+1131.1,2247,+87.2,22154,+672.2,-16.35,2.16
2020/07/03,558,-42.1,9164,-1103.2,2209,-37.7,21949,-205.5,-18.01,2.4
2020/07/10,545,-12.6,8833,-330.6,2272,+62.8,22746,+797.3,-18.71,2.58
2020/07/17,570,+25.1,8927,+93.7,2164,-108,22246,-500.5,-18.14,2.49
2020/07/22,556,-14,8799,-128,2145,-19.2,21988,-257.7,-17.33,2.5
2020/07/31,545,-11.4,8532,-266.8,2189,+44.4,22716,+727.9,-20.6,2.66
2020/08/07,568,+22.9,8871,+339.3,2135,-53.8,22547,-168.4,-17.86,2.54
2020/08/14,612,+44,9503,+631.8,2058,-77.3,21249,-1298.4,-15.58,2.24
2020/08/21,603,-8.5,9388,-115.2,2098,+40.6,22293,+1044.2,-14.68,2.37
2020/08/28,570,-33.2,9007,-381.3,2062,-36.6,22823,+530.3,-15.85,2.53
2020/09/04,572,+2.1,9211,+204.1,2099,+37.1,23521,+697.9,-13.79,2.55
2020/09/11,597,+24.5,9905,+694.3,2125,+25.6,23864,+342.2,-13.36,2.41
2020/09/18,628,+30.7,10120,+214.6,2114,-10.8,23826,-37.8,-11.21,2.35
2020/09/25,602,-25.9,10412,+292.4,2154,+40.5,24412,+586.3,-11.89,2.34
2020/10/02,465,-136.6,7958,-2454.8,2165,+10.7,24815,+403.3,-12.8,3.12
2020/10/09,471,+5.8,8283,+325.4,2139,-26.3,24626,-189.8,-10.07,2.97
2020/10/16,465,-5.9,8283,-0.3,2183,+43.9,25565,+939.3,-12.42,3.09
2020/10/23,472,+7.3,8417,+134.7,2173,-9.5,25587,+21.6,-12.62,3.04
2020/10/30,445,-27.3,7491,-926.4,2228,+54.6,25641,+54.1,-15.4,3.42
2020/11/06,456,+10.9,7973,+481.6,2172,-55.6,24318,-1322.4,-12.42,3.05
2020/11/13,471,+15.3,8565,+592.5,2127,-45,24346,+27.7,-12.4,2.84
2020/11/20,484,+12.7,8524,-41.5,2098,-28.8,24288,-57.9,-12.85,2.85
2020/11/27,487,+3,9051,+527.5,2080,-18.5,23879,-408.6,-12.35,2.64
2020/12/04,488,+1,9042,-8.9,2135,+55.6,25028,+1148.9,-12.37,2.77
2020/12/11,494,+5.9,8979,-63.1,2148,+12.3,24946,-82.6,-13.16,2.78
2020/12/18,490,-3.6,9103,+123.6,2144,-4.1,25032,+86.3,-12.98,2.75
2020/12/25,487,-3.6,9091,-11.9,2122,-21.3,24951,-81.3,-13.76,2.74
2020/12/30,414,-72.8,7976,-1114.7,2093,-29,24051,-899.1,-12.4,3.02
2021/01/08,457,+43.4,8593,+617.3,2071,-22.4,24124,+72.2,-11.12,2.81
2021/01/15,457,-0.3,8456,-137.5,2080,+9.1,25162,+1038.3,-11.93,2.98
2021/01/22,460,+3.1,8371,-84.5,2125,+44.9,26105,+942.7,-10.05,3.12
2021/01/29,435,-25.3,7736,-635.2,2162,+36.7,27695,+1590.5,-11.61,3.58
2021/02/05,474,+39.5,8404,+667.8,2145,-17.1,27381,-313.9,-8.33,3.26
2021/02/12,485,+10.8,8879,+474.9,2186,+41.5,27264,-117.7,-8.01,3.07
2021/02/19,493,+7.4,9106,+227.2,2247,+61.3,28183,+919.5,-9.69,3.09
